rank,pid,title,country,rating,games,b-day
 1,carlsen magnus, g, nor, 2821, 10, 1990-11-30
 2,anand viswanathan, g, ind, 2817, 0, 1969-12-11
 3,aronian levon, g, arm, 2805, 4, 1982-10-06
 4,karjakin sergey, g, rus, 2788, 10, 1990-01-12
 5,kramnik vladimir, g, rus, 2781, 8, 1975-06-25
 6,nakamura hikaru, g, usa, 2770, 16, 1987-12-09
 7,ivanchuk vassily, g, ukr, 2768, 20, 1969-03-18
 8,topalov veselin, g, bul, 2768, 4, 1975-03-15
 9,mamedyarov shakhriyar, g, aze, 2765, 4, 1985-04-12
 10,ponomariov ruslan, g, ukr, 2764, 17, 1983-10-11
 11,gashimov vugar, g, aze, 2760, 0, 1986-07-24
 12,gelfand boris, g, isr, 2746, 14, 1968-06-24
 13,grischuk alexander, g, rus, 2746, 14, 1983-10-31
 14,radjabov teimour, g, aze, 2744, 14, 1987-03-12
 15,kamsky gata, g, usa, 2741, 12, 1974-06-02
 16,svidler peter, g, rus, 2739, 0, 1976-06-17
 17,jakovenko dmitry, g, rus, 2736, 6, 1983-06-28
 18,vitiugov nikita, g, rus, 2733, 0, 1987-02-04
 19,almasi zoltan, g, hun, 2726, 8, 1976-08-29
 20,vallejo pons francisco, g, esp, 2724, 18, 1982-08-21
 21,navara david, g, cze, 2722, 30, 1985-03-27
 22,vachier-lagrave maxime, g, fra, 2722, 13, 1990-10-21
 23,dominguez perez leinier, g, cub, 2719, 10, 1983-09-23
 24,wang hao, g, chn, 2718, 15, 1989-08-04
 25,leko peter, g, hun, 2717, 0, 1979-09-08
 26,moiseenko alexander, g, ukr, 2715, 24, 1980-05-17
 27,le quang liem, g, vie, 2715, 22, 1991-03-13
 28,adams michael, g, eng, 2715, 14, 1971-11-17
 29,shirov alexei, g, esp, 2714, 12, 1972-07-04
 30,jobava baadur, g, geo, 2713, 13, 1983-11-26
 31,dreev aleksey, g, rus, 2711, 12, 1969-01-30
 32,caruana fabiano, g, ita, 2711, 9, 1992-07-30
 33,nepomniachtchi ian, g, rus, 2711, 0, 1990-07-14
 34,bacrot etienne, g, fra, 2710, 11, 1983-01-22
 35,wang yue, g, chn, 2709, 24, 1987-03-31
 36,tomashevsky evgeny, g, rus, 2707, 0, 1987-07-01
 37,naiditsch arkadij, g, ger, 2706, 24, 1985-10-25
 38,efimenko zahar, g, ukr, 2706, 12, 1985-07-03
 39,malakhov vladimir, g, rus, 2706, 3, 1980-11-27
 40,giri anish, g, ned, 2701, 12, 1994-06-28
 41,sutovsky emil, g, isr, 2700, 15, 1977-09-19
 42,movsesian sergei, g, arm, 2700, 6, 1978-11-03
 43,polgar judit, g, hun, 2699, 0, 1976-07-23
 44,fressinet laurent, g, fra, 2698, 14, 1981-11-30
 45,eljanov pavel, g, ukr, 2697, 21, 1983-05-10
 46,berkes ferenc, g, hun, 2696, 20, 1985-08-08
 47,andreikin dmitry, g, rus, 2696, 10, 1990-02-05
 48,morozevich alexander, g, rus, 2694, 0, 1977-07-18
 49,zhigalko sergei, g, blr, 2689, 7, 1989-03-28
 50,riazantsev alexander, g, rus, 2688, 11, 1985-09-12
 51,short nigel d, g, eng, 2687, 9, 1965-06-01
 52,motylev alexander, g, rus, 2685, 3, 1979-06-17
 53,rublevsky sergei, g, rus, 2684, 2, 1974-10-15
 54,van wely loek, g, ned, 2683, 16, 1972-10-07
 55,wojtaszek radoslaw, g, pol, 2683, 16, 1987-01-13
 56,volokitin andrei, g, ukr, 2683, 11, 1986-06-18
