,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,Modesty,Loss,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Modesty,Loss,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,Food5,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Food5,Win,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Food5,Loss,
+,11-06-28,Shinhan10-11 Prole..,Neo Beltway,Bogus,Loss,
+,11-06-21,Shinhan10-11 Prole..,Neo Beltway,ZerO,Loss,
+,11-06-18,Shinhan10-11 Prole..,New Bloody Ridge,Jaehoon,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Larva,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Larva,Loss,
+,11-06-13,Shinhan10-11 Prole..,La Mancha,Canata,Win,
+,11-06-04,Shinhan10-11 Prole..,Circuit Breaker,sKyHigh,Win,
+,11-05-22,Shinhan10-11 Prole..,Circuit Breaker,Iris,Win,
+,11-05-03,Shinhan10-11 Prole..,New Bloody Ridge,Reach,Win,
+,11-03-03,2011 Spring MST Pr..,La Mancha,hero,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,hero,Loss,
+,11-03-03,2011 Spring MST Pr..,La Mancha,yeOngJae,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,yeOngJae,Win,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,yeOngJae,Loss,
+,10-12-28,Shinhan10-11 Prole..,Fortress,Fantasy,Loss,
+,10-12-25,Shinhan10-11 Prole..,Circuit Breaker,fOrGG,Win,
+,10-12-20,Shinhan10-11 Prole..,Fortress,Sea,Win,
+,10-12-11,Shinhan10-11 Prole..,Bloody Ridge,herO[jOin],Loss,
+,10-12-01,Shinhan10-11 Prole..,Fortress,Really,Loss,
+,10-11-28,Shinhan10-11 Prole..,Circuit Breaker,firebathero,Win,
+,10-07-11,Shinhan09-10 Prole..,Judgment Day,Snow,Loss,
+,10-07-04,Shinhan09-10 Prole..,Fortress,Kal,Win,
+,10-06-28,Shinhan09-10 Prole..,Fighting Spirit,Killer,Win,
+,10-06-19,Shinhan09-10 Prole..,Match Point,Saint,Loss,
+,10-06-15,Shinhan09-10 Prole..,Fighting Spirit,great,Loss,
+,10-06-12,MBC Survivor 20th,Triathlon,Really,Loss,
+,10-06-12,MBC Survivor 20th,Match Point,Modesty,Win,
+,10-06-12,MBC Survivor 20th,Fighting Spirit,Really,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,Twilight,Loss,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,Twilight,Loss,
+,10-06-02,Shinhan09-10 Prole..,Fortress,Action,Loss,
+,10-05-30,Shinhan09-10 Prole..,Fighting Spirit,MVP,Loss,
+,10-05-27,2010 Summer MST Pr..,Match Point,Killer,Win,
+,10-05-27,2010 Summer MST Pr..,Odd-Eye 2,Killer,Win,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,Killer,Loss,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,Smart,Win,
+,10-05-27,2010 Summer MST Pr..,Match Point,Smart,Win,
+,10-05-24,Shinhan09-10 Prole..,Fighting Spirit,Hydra,Loss,
+,10-05-18,Shinhan09-10 Prole..,Roadrunner,HoGiL,Loss,
+,10-05-15,Shinhan09-10 Prole..,Roadrunner,HyuN,Win,
+,10-05-10,Shinhan09-10 Prole..,Polaris Rhapsody,fOrGG,Loss,
+,10-05-01,Shinhan09-10 Prole..,Fighting Spirit,Calm,Win,
+,10-04-28,Shinhan09-10 Prole..,Match Point,Action,Win,
+,10-04-19,Shinhan09-10 Prole..,Match Point,Killer,Win,
+,10-04-11,Shinhan09-10 Prole..,Polaris Rhapsody,Fantasy,Loss,
+,10-03-11,MBC Survivor 19th,Match Point,FireFist,Loss,
+,10-03-11,MBC Survivor 19th,Fighting Spirit,Calm,Loss,
+,10-03-09,Shinhan 2010 Winne..,Neo Moon Glaive,Juni,Loss,
+,10-03-06,Shinhan 2010 Winne..,Roadrunner,Fantasy,Win,
+,10-02-24,Shinhan 2010 Winne..,New Tornado,BaBy,Loss,
+,10-02-05,2010 Spring OSL Pr..,Eye of the Storm,Really,Loss,
+,10-02-05,2010 Spring OSL Pr..,Match Point,Really,Loss,
+,10-02-05,2010 Spring OSL Pr..,Eye of the Storm,Crazy-Hydra,Win,
+,10-02-05,2010 Spring OSL Pr..,Match Point,Crazy-Hydra,Loss,
+,10-02-05,2010 Spring OSL Pr..,Fighting Spirit,Crazy-Hydra,Win,
+,10-02-05,2010 Spring OSL Pr..,Match Point,Hwan,Win,
+,10-02-05,2010 Spring OSL Pr..,Fighting Spirit,Hwan,Loss,
+,10-02-05,2010 Spring OSL Pr..,Eye of the Storm,Hwan,Win,
+,10-02-01,Shinhan 2010 Winne..,Judgment Day,815,Loss,
+,10-01-24,Shinhan 2010 Winne..,Match Point,GuemChi,Loss,
+,10-01-09,Shinhan09-10 Prole..,Fighting Spirit,Tyson,Loss,
+,10-01-03,Shinhan09-10 Prole..,Match Point,Leta,Loss,
+,09-12-28,Shinhan09-10 Prole..,Match Point,RorO,Loss,
+,09-12-19,Shinhan09-10 Prole..,Fighting Spirit,HoeJJa,Loss,
+,09-12-13,Shinhan09-10 Prole..,Match Point,EffOrt,Loss,
+,09-12-07,Shinhan09-10 Prole..,Match Point,Really,Loss,
+,09-11-29,Shinhan09-10 Prole..,Match Point,free,Win,
+,09-11-24,Shinhan09-10 Prole..,Fighting Spirit,Hyuk,Win,
+,09-11-21,Shinhan09-10 Prole..,Match Point,Violet,Loss,
+,09-11-03,Shinhan09-10 Prole..,Match Point,Movie,Loss,
+,09-10-26,Shinhan09-10 Prole..,Heartbreak Ridge,great,Loss,
+,09-10-26,Shinhan09-10 Prole..,Fighting Spirit,great,Win,
+,09-10-18,Shinhan09-10 Prole..,Heartbreak Ridge,herb,Win,
+,09-10-15,MBC Survivor 18th,Heartbreak Ridge,DaezanG,Loss,
+,09-10-15,MBC Survivor 18th,Byzantium 3,hero,Loss,
+,09-09-30,2009 Fall OSL Prel..,Destination,yCh[z-zOne],Loss,
+,09-09-30,2009 Fall OSL Prel..,Heartbreak Ridge,yCh[z-zOne],Loss,
+,09-07-24,e-Stars Heritage L..,Python,ToSsGirL,Win,
+,09-07-21,e-Stars Heritage L..,Destination,Reach,Win,
+,09-07-20,e-Stars Heritage L..,Outsider,YellOw,Loss,
+,09-07-14,e-Stars Heritage L..,Destination,BoxeR,Loss,
