,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-04,Shinhan10-11 Prole..,Neo Beltway,By.Sun,Loss,
+,11-07-04,Shinhan10-11 Prole..,Icarus,Ssak,Win,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,Killer,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Killer,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,LuCifer,Win,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,LuCifer,Win,
+,11-06-29,Shinhan10-11 Prole..,New Empire of th..,Light,Win,
+,11-06-26,Shinhan10-11 Prole..,La Mancha,Bogus,Loss,
+,11-06-22,Shinhan10-11 Prole..,Icarus,Reality,Win,
+,11-06-20,Shinhan10-11 Prole..,La Mancha,Action,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,BaBy,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,BaBy,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,By.Sun,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,By.Sun,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,By.Sun,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Lizzy,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Lizzy,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Lizzy,Win,
+,11-06-14,Shinhan10-11 Prole..,New Empire of th..,LuCifer,Win,
+,11-06-02,KeSPA 10-11 Dream ..,New Bloody Ridge,Classic,Win,
+,11-06-02,KeSPA 10-11 Dream ..,Icarus,Last,Win,
+,11-06-02,KeSPA 10-11 Dream ..,New Empire of th..,Trap,Win,
+,11-05-21,Shinhan10-11 Prole..,Icarus,TurN,Loss,
+,11-05-12,KeSPA 10-11 Dream ..,Circuit Breaker,Sharp,Loss,
+,11-05-01,Shinhan10-11 Prole..,Circuit Breaker,Stats,Loss,
+,11-04-28,KeSPA 10-11 Dream ..,Beltway,Progamer,Loss,
+,11-04-21,KeSPA 10-11 Dream ..,Benzene,NoroO,Win,
+,11-04-21,KeSPA 10-11 Dream ..,Fortress SE,Dear,Win,
+,11-04-14,KeSPA 10-11 Dream ..,La Mancha,yeOngJae,Win,
+,11-04-14,KeSPA 10-11 Dream ..,Icarus,Ssak,Win,
+,11-04-14,KeSPA 10-11 Dream ..,La Mancha,Mercury,Win,
+,11-03-10,KeSPA 10-11 Dream ..,Bloody Ridge,ZerG[kaL],Loss,
+,11-03-10,KeSPA 10-11 Dream ..,Benzene,Lazy,Win,
+,11-03-10,KeSPA 10-11 Dream ..,La Mancha,Sang,Win,
+,11-03-10,KeSPA 10-11 Dream ..,Circuit Breaker,hOn_sin,Loss,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Hyuk,Loss,
+,11-03-03,2011 Spring MST Pr..,La Mancha,Hyuk,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Hyuk,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Anyppi,Win,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Anyppi,Win,
+,11-02-22,SWL 2011,Circuit Breaker,Action,Loss,
+,11-02-20,SWL 2011,Bloody Ridge,Killer,Loss,
+,11-02-20,SWL 2011,Circuit Breaker,Jaedong,Win,
+,11-02-16,SWL 2011,Circuit Breaker,ggaemo,Win,
+,11-02-10,KeSPA 10-11 Dream ..,Bloody Ridge,Sang,Win,
+,11-01-27,KeSPA 10-11 Dream ..,Bloody Ridge,Last,Loss,
+,11-01-27,KeSPA 10-11 Dream ..,Empire of the Sun,yCh[z-zOne],Win,
+,11-01-27,KeSPA 10-11 Dream ..,Bloody Ridge,hyvaa,Win,
+,11-01-11,SWL 2011,Icarus,Sea,Loss,
+,10-12-23,KeSPA 10-11 Dream ..,Fortress,NoroO,Win,
+,10-12-23,KeSPA 10-11 Dream ..,Bloody Ridge,Klaus,Win,
+,10-12-18,Shinhan10-11 Prole..,Fortress,Shuttle,Loss,
+,10-12-14,Shinhan10-11 Prole..,Benzene,JangBi,Win,
+,10-11-13,MBC Survivor 21st,Triathlon,Action,Loss,
+,10-11-13,MBC Survivor 21st,Circuit Breaker,Shine,Loss,
+,10-11-13,MBC Survivor 21st,Aztec,Action,Win,
+,10-11-03,Shinhan10-11 Prole..,Grand Line SE,Really,Loss,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Tempest,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Tempest,Win,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Tempest,Loss,
+,10-10-28,2010 Winter MST Pr..,Triathlon,Woon,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,Woon,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,SoO,Win,
