,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-04,Shinhan10-11 Prole..,New Empire of th..,sKyHigh,Win,
+,11-06-26,Shinhan10-11 Prole..,Circuit Breaker,HiyA,Win,
+,11-06-22,Shinhan10-11 Prole..,La Mancha,Wooki,Win,
+,11-06-22,Shinhan10-11 Prole..,Circuit Breaker,RorO,Loss,
+,11-06-20,Shinhan10-11 Prole..,Neo Aztec,Tyson,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,hyvaa,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,hyvaa,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,hyvaa,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Rudy,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Rudy,Win,
+,11-06-14,Shinhan10-11 Prole..,La Mancha,Always,Win,
+,11-06-12,Shinhan10-11 Prole..,Alternative,Action,Win,
+,11-06-07,Shinhan10-11 Prole..,La Mancha,Flying,Win,
+,11-06-04,Shinhan10-11 Prole..,Alternative,Modesty,Win,
+,11-05-21,Shinhan10-11 Prole..,Alternative,BaBy,Win,
+,11-05-17,Shinhan10-11 Prole..,Neo Aztec,Horang2,Loss,
+,11-05-14,Shinhan10-11 Prole..,La Mancha,Jaedong,Win,
+,11-05-11,Shinhan10-11 Prole..,Icarus,Bogus,Win,
+,11-05-11,Shinhan10-11 Prole..,La Mancha,Classic,Win,
+,11-05-08,Shinhan10-11 Prole..,Neo Aztec,great,Win,
+,11-05-04,Shinhan10-11 Prole..,Neo Aztec,ZerO,Loss,
+,11-05-04,Shinhan10-11 Prole..,Circuit Breaker,free,Win,
+,11-05-01,Shinhan10-11 Prole..,Neo Aztec,HyuN,Win,
+,11-04-25,Shinhan10-11 Prole..,Alternative,Crazy-Hydra,Win,
+,11-04-23,Shinhan10-11 Prole..,Alternative,ggaemo,Win,
+,11-04-23,Shinhan10-11 Prole..,New Bloody Ridge,M18M,Win,
+,11-04-21,ABC Mart MSL,Dante&#039;s Pea..,Flash,Loss,
+,11-04-21,ABC Mart MSL,Circuit Breaker,Sea,Win,
+,11-04-21,ABC Mart MSL,Monte Cristo,Flash,Loss,
+,11-04-17,Shinhan10-11 All-S..,Benzene,Flash,Loss,
+,11-04-09,SWL 2011,Aztec,Flash,Win,
+,11-04-02,SWL 2011,Fortress SE,Jaedong,Win,
+,11-03-24,MBC Survivor 22nd,Empire of the Sun,PerfectMan,Win,
+,11-03-24,MBC Survivor 22nd,Circuit Breaker,Sharp,Win,
+,11-03-20,SWL 2011,Benzene,Jaedong,Loss,
+,11-03-16,SWL 2011,Bloody Ridge,Stats,Loss,
+,11-03-14,SWL 2011,Icarus,Leta,Loss,
+,11-03-08,SWL 2011,La Mancha,free,Loss,
+,11-03-08,SWL 2011,Icarus,Really,Win,
+,11-03-08,SWL 2011,Benzene,Neo.G_Soulkey,Win,
+,11-03-06,SWL 2011,Benzene,Sea,Win,
+,11-02-28,SWL 2011,Benzene,Stork,Loss,
+,11-02-28,SWL 2011,Aztec,Reality,Win,
+,11-02-26,SWL 2011,Circuit Breaker,Kal,Loss,
+,11-02-26,SWL 2011,Aztec,FrOzen,Win,
+,11-02-26,SWL 2011,Empire of the Sun,Calm,Win,
+,11-02-20,SWL 2011,Empire of the Sun,firebathero,Win,
+,11-02-20,SWL 2011,Bloody Ridge,Peace,Win,
+,11-02-16,SWL 2011,Circuit Breaker,HiyA,Loss,
+,11-02-16,SWL 2011,Fortress SE,Jaedong,Win,
+,11-02-16,SWL 2011,Benzene,sHy,Win,
+,11-02-16,SWL 2011,Bloody Ridge,Killer,Win,
+,11-02-01,SWL 2011,Circuit Breaker,Hydra,Loss,
+,11-02-01,SWL 2011,Icarus,Movie,Win,
+,11-02-01,SWL 2011,Benzene,Horang2,Win,
