,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-05,Shinhan10-11 Prole..,Icarus,Stork,Loss,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,ByuL,Loss,
+,11-06-30,2011 Summer MST Pr..,La Mancha,ByuL,Loss,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,ByuL,Win,
+,11-06-29,Shinhan10-11 Prole..,Icarus,s2,Win,
+,11-06-27,Shinhan10-11 Prole..,Alternative,ZerO,Loss,
+,11-06-21,Shinhan10-11 Prole..,Icarus,Bogus,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Brave,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Brave,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,wOw,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,wOw,Win,
+,11-06-13,Shinhan10-11 Prole..,La Mancha,Anytime,Loss,
+,11-06-05,Shinhan10-11 Prole..,New Bloody Ridge,Action,Win,
+,11-03-17,MBC Survivor 22nd,Empire of the Sun,Tyson,Loss,
+,11-03-17,MBC Survivor 22nd,Circuit Breaker,free,Loss,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Ample,Win,
+,11-03-03,2011 Spring MST Pr..,La Mancha,Ample,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Ample,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Woon,Win,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Woon,Win,
+,10-12-21,Shinhan10-11 Prole..,Fortress,Juni,Loss,
+,10-12-01,Shinhan10-11 Prole..,Grand Line SE,Bogus,Loss,
+,10-11-11,MBC Survivor 21st,Triathlon,great,Loss,
+,10-11-11,MBC Survivor 21st,Circuit Breaker,Shuttle,Win,
+,10-11-11,MBC Survivor 21st,Aztec,great,Loss,
+,10-10-29,2010 Winter OSL Pr..,Aztec,HyuN,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,HyuN,Loss,
+,10-10-29,2010 Winter OSL Pr..,Aztec,PerfectMan,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,PerfectMan,Loss,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,PerfectMan,Win,
+,10-10-28,2010 Winter MST Pr..,Triathlon,Saint,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,Saint,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,Perfective,Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,Perfective,Win,
+,10-10-16,Shinhan10-11 Prole..,Central Plains,Violet,Loss,
+,10-08-07,Shinhan09-10 Prole..,New Heartbreak R..,Violet,Loss,
+,10-08-01,Shinhan09-10 Prole..,Roadrunner,FrOzen,Win,
+,10-07-31,Shinhan09-10 Prole..,Roadrunner,Modesty,Win,
+,10-07-24,Shinhan09-10 Prole..,Fighting Spirit,RorO,Loss,
+,10-07-20,Shinhan09-10 Prole..,Grand Line SE,BByong,Win,
+,10-07-12,Shinhan09-10 Prole..,Grand Line SE,hero,Win,
+,10-07-06,Shinhan09-10 Prole..,Fortress,HiyA,Loss,
+,10-06-16,Korean Air OSL S2,Flight-Dreamliner,free,Loss,
+,10-06-16,Korean Air OSL S2,Eye of the Storm,free,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,Light,Loss,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,GuemChi,Win,
+,10-06-11,2010 Summer OSL Pr..,Match Point,GuemChi,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,GuemChi,Win,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,hOpe,Win,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,hOpe,Win,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,Sharp,Loss,
+,10-05-27,2010 Summer MST Pr..,Match Point,Sharp,Loss,
+,10-05-25,Shinhan09-10 Prole..,Grand Line,Shuttle,Loss,
+,10-05-17,Shinhan09-10 Prole..,Grand Line,Shine,Loss,
+,10-05-11,Shinhan09-10 Prole..,Fighting Spirit,Action,Loss,
+,10-04-18,Shinhan09-10 Prole..,Judgment Day,Twilight,Loss,
+,10-04-14,Shinhan09-10 Prole..,Grand Line,ZerO,Loss,
+,10-03-09,Shinhan 2010 Winne..,Neo Moon Glaive,Kwanro,Loss,
+,10-03-03,Shinhan 2010 Winne..,Neo Moon Glaive,Light,Loss,
+,10-02-28,Shinhan 2010 Winne..,New Tornado,HoGiL,Win,
+,10-02-25,MBC Survivor 19th,Odd-Eye 2,Action,Loss,
+,10-02-25,MBC Survivor 19th,Match Point,Pure,Loss,
+,10-02-25,MBC Survivor 19th,Fighting Spirit,PianO,Win,
+,10-02-23,Shinhan 2010 Winne..,Judgment Day,HiyA,Loss,
+,10-02-05,2010 Spring OSL Pr..,Match Point,herO[jOin],Loss,
