,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-03,Shinhan10-11 Prole..,Neo Beltway,Mind,Win,
+,11-06-28,Shinhan10-11 Prole..,La Mancha,HiyA,Win,
+,11-06-26,Shinhan10-11 Prole..,Neo Beltway,Leta,Win,
+,11-06-18,Shinhan10-11 Prole..,New Empire of th..,Tempest,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,JangBi,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Movie,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,BaBy,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,BaBy,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Action,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Action,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Saint,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Saint,Win,
+,11-06-04,Shinhan10-11 Prole..,New Empire of th..,Fantasy,Loss,
+,11-06-02,KeSPA 10-11 Dream ..,New Bloody Ridge,BByong,Loss,
+,11-06-02,KeSPA 10-11 Dream ..,Circuit Breaker,Mong,Win,
+,11-05-26,KeSPA 10-11 Dream ..,New Empire of th..,Sky,Win,
+,11-05-26,KeSPA 10-11 Dream ..,Beltway,Bee,Win,
+,11-05-26,KeSPA 10-11 Dream ..,Icarus,sHy,Win,
+,11-05-22,Shinhan10-11 Prole..,Icarus,Woon,Win,
+,11-05-19,KeSPA 10-11 Dream ..,Circuit Breaker,hOn_sin,Loss,
+,11-05-12,KeSPA 10-11 Dream ..,Icarus,Alone,Win,
+,11-05-11,Shinhan10-11 Prole..,La Mancha,Bisu,Loss,
+,11-05-05,KeSPA 10-11 Dream ..,New Empire of th..,Dream.t)check,Win,
+,11-05-05,KeSPA 10-11 Dream ..,New Empire of th..,Sharp,Loss,
+,11-05-05,KeSPA 10-11 Dream ..,La Mancha,Always,Win,
+,11-05-05,KeSPA 10-11 Dream ..,Neo Aztec,hOpe,Win,
+,11-04-30,Shinhan10-11 Prole..,Icarus,great,Loss,
+,11-04-28,KeSPA 10-11 Dream ..,Beltway,Where,Loss,
+,11-04-28,KeSPA 10-11 Dream ..,La Mancha,Rush,Win,
+,11-04-27,Shinhan10-11 Prole..,New Empire of th..,Stats,Loss,
+,11-04-24,Shinhan10-11 Prole..,Beltway,Mind,Loss,
+,11-04-16,ABC Mart MSL,La Mancha,Hyuk,Loss,
+,11-04-16,ABC Mart MSL,Circuit Breaker,great,Loss,
+,11-04-14,KeSPA 10-11 Dream ..,Circuit Breaker,hOn_sin,Loss,
+,11-03-17,MBC Survivor 22nd,Dante&#039;s Pea..,HoeJJa,Win,
+,11-03-17,MBC Survivor 22nd,Empire of the Sun,Really,Loss,
+,11-03-17,MBC Survivor 22nd,Circuit Breaker,BeSt,Win,
+,11-02-10,KeSPA 10-11 Dream ..,Empire of the Sun,GuemChi,Loss,
+,11-01-27,KeSPA 10-11 Dream ..,Icarus,Mong,Win,
+,11-01-20,KeSPA 10-11 Dream ..,Circuit Breaker,sHy,Loss,
