,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,sHy,Loss,
+,11-06-30,2011 Summer MST Pr..,Unknown,sHy,Win,
+,11-06-30,2011 Summer MST Pr..,Unknown,sHy,Loss,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Gwak,Win,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Gwak,Win,
+,11-06-28,Shinhan10-11 Prole..,Neo Aztec,HyuN,Loss,
+,11-06-25,Shinhan10-11 Prole..,La Mancha,Mind,Loss,
+,11-06-20,Shinhan10-11 Prole..,Alternative,Movie,Loss,
+,11-06-18,Shinhan10-11 Prole..,Alternative,Calm,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,LuCifer,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,LuCifer,Loss,
+,11-06-15,Shinhan10-11 Prole..,La Mancha,Lomo,Win,
+,11-06-08,Shinhan10-11 Prole..,Alternative,JangBi,Loss,
+,11-06-05,Shinhan10-11 Prole..,Circuit Breaker,PianO,Loss,
+,11-05-23,Shinhan10-11 Prole..,Alternative,HyuN,Win,
+,11-05-18,Shinhan10-11 Prole..,Icarus,TurN,Win,
+,11-05-15,Shinhan10-11 Prole..,Alternative,free,Loss,
+,11-05-10,Shinhan10-11 Prole..,Circuit Breaker,Mind,Win,
+,11-05-07,Shinhan10-11 Prole..,New Bloody Ridge,Peace,Loss,
+,11-05-03,Shinhan10-11 Prole..,Icarus,Killer,Loss,
+,11-05-01,Shinhan10-11 Prole..,Neo Aztec,Hydra,Win,
+,11-04-27,Shinhan10-11 Prole..,New Bloody Ridge,Calm,Win,
+,11-04-25,Shinhan10-11 Prole..,Alternative,Bisu,Loss,
+,11-04-09,SWL 2011,Fortress SE,s2,Loss,
+,11-03-21,SWL 2011,Circuit Breaker,Sea,Win,
+,11-03-21,SWL 2011,Fortress SE,Jaehoon,Win,
+,11-03-21,SWL 2011,Benzene,Tyson,Win,
+,11-03-21,SWL 2011,Bloody Ridge,HyuN,Win,
+,11-03-15,SWL 2011,Aztec,Stork,Loss,
+,11-03-15,SWL 2011,Fortress SE,JangBi,Win,
+,11-03-15,SWL 2011,Bloody Ridge,Juni,Win,
+,11-03-03,2011 Spring MST Pr..,La Mancha,Rush,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Rush,Win,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Rush,Loss,
+,11-03-02,SWL 2011,Bloody Ridge,Killer,Loss,
+,11-02-15,SWL 2011,Circuit Breaker,Mind,Loss,
+,11-01-19,SWL 2011,Benzene,Lomo,Loss,
+,11-01-12,SWL 2011,Icarus,ggaemo,Win,
+,10-12-28,Shinhan10-11 Prole..,Icarus,Kal,Win,
+,10-12-26,Shinhan10-11 Prole..,Aztec,RorO,Win,
+,10-12-21,Shinhan10-11 Prole..,Benzene,Hydra,Loss,
+,10-12-12,Shinhan10-11 Prole..,Icarus,Juni,Win,
+,10-12-08,Shinhan10-11 Prole..,Icarus,Hyuk,Win,
+,10-12-01,Shinhan10-11 Prole..,Icarus,Alone,Loss,
+,10-11-29,Shinhan10-11 Prole..,Icarus,HyuN,Win,
+,10-11-13,Shinhan10-11 Prole..,Benzene,Jaedong,Loss,
+,10-11-07,Shinhan10-11 Prole..,Aztec,Jaehoon,Loss,
+,10-11-03,Shinhan10-11 Prole..,Benzene,Movie,Loss,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Bogus,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Bogus,Loss,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Bogus,Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,Jaehoon,Loss,
+,10-10-28,2010 Winter MST Pr..,Triathlon,Jaehoon,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,Jaehoon,Loss,
+,10-10-28,2010 Winter MST Pr..,Match Point,Rush,Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,Rush,Win,
+,10-10-26,Shinhan10-11 Prole..,Fortress,Kwanro,Win,
+,10-10-23,Shinhan10-11 Prole..,Icarus,Chavi,Win,
+,10-10-18,Shinhan10-11 Prole..,Benzene,LuCifer,Win,
+,10-10-16,Shinhan10-11 Prole..,Aztec,RuBy,Loss,
+,10-08-09,STX Masters 2010,Fighting Spirit,EffOrt,Loss,
+,10-07-08,KeSPA 09-10 Dream ..,Grand Line SE,BByong,Loss,
+,10-07-01,KeSPA 09-10 Dream ..,Judgment Day,Maestro,Win,
+,10-06-19,Shinhan09-10 Prole..,Match Point,Horang2,Loss,
+,10-06-17,KeSPA 09-10 Dream ..,Judgment Day,Sherry,Win,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,Sexy,Loss,
+,10-06-11,2010 Summer OSL Pr..,Match Point,Sexy,Loss,
+,10-05-27,2010 Summer MST Pr..,Odd-Eye 2,sKyHigh,Loss,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,sKyHigh,Loss,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,Tempest,Win,
+,10-05-27,2010 Summer MST Pr..,Match Point,Tempest,Win,
+,10-05-20,KeSPA 09-10 Dream ..,Judgment Day,yeOngJae,Loss,
+,10-05-20,KeSPA 09-10 Dream ..,Roadrunner,Pusan,Win,
+,10-05-13,KeSPA 09-10 Dream ..,Judgment Day,NeeL,Win,
+,10-05-13,KeSPA 09-10 Dream ..,Roadrunner,Major,Win,
+,10-05-06,KeSPA 09-10 Dream ..,Judgment Day,TurN,Win,
+,10-05-04,Shinhan09-10 Prole..,Roadrunner,Calm,Loss,
+,10-03-14,Shinhan 2010 Winne..,Neo Moon Glaive,Action,Loss,
