,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-04,Shinhan10-11 Prole..,Neo Aztec,Where,Loss,
+,11-06-26,Shinhan10-11 Prole..,Neo Beltway,Jaedong,Loss,
+,11-06-22,Shinhan10-11 Prole..,New Empire of th..,Mind,Loss,
+,11-06-20,Shinhan10-11 Prole..,New Empire of th..,Sea,Loss,
+,11-06-14,Shinhan10-11 Prole..,New Empire of th..,Reality,Loss,
+,11-06-07,Shinhan10-11 Prole..,Neo Aztec,ZerO,Loss,
+,11-06-04,Shinhan10-11 Prole..,New Empire of th..,Classic,Win,
+,11-05-21,Shinhan10-11 Prole..,La Mancha,Shine,Win,
+,11-05-17,Shinhan10-11 Prole..,Beltway,sKyHigh,Loss,
+,11-05-14,Shinhan10-11 Prole..,Beltway,Lomo,Win,
+,11-05-11,Shinhan10-11 Prole..,New Empire of th..,Shuttle,Loss,
+,11-05-08,Shinhan10-11 Prole..,La Mancha,Stork,Win,
+,11-05-08,Shinhan10-11 Prole..,New Empire of th..,Reality,Win,
+,11-05-04,Shinhan10-11 Prole..,Beltway,Light,Loss,
+,11-05-01,Shinhan10-11 Prole..,New Empire of th..,Sea,Win,
+,11-05-01,Shinhan10-11 Prole..,Beltway,Sea,Loss,
+,11-04-25,Shinhan10-11 Prole..,Circuit Breaker,Action,Loss,
+,11-04-23,Shinhan10-11 Prole..,New Empire of th..,Much,Win,
+,11-04-18,ABC Mart MSL,Monte Cristo,Neo.G_Soulkey,Loss,
+,11-04-18,ABC Mart MSL,La Mancha,RorO,Win,
+,11-04-18,ABC Mart MSL,Dante&#039;s Pea..,Neo.G_Soulkey,Loss,
+,11-04-17,Shinhan10-11 All-S..,Circuit Breaker,Jaedong,Loss,
+,11-04-02,SWL 2011,Icarus,Jaedong,Loss,
+,11-03-26,SWL 2011,Circuit Breaker,Movie,Win,
+,11-03-26,SWL 2011,Aztec,Snow,Win,
+,11-03-26,SWL 2011,Empire of the Sun,Hydra,Win,
+,11-03-24,MBC Survivor 22nd,Empire of the Sun,ggaemo,Win,
+,11-03-24,MBC Survivor 22nd,Circuit Breaker,Trap,Win,
+,11-03-20,SWL 2011,Aztec,Jaedong,Loss,
+,11-03-20,SWL 2011,Fortress SE,PerfectMan,Win,
+,11-03-20,SWL 2011,Circuit Breaker,Dear,Win,
+,11-03-20,SWL 2011,Empire of the Sun,HiyA,Win,
+,11-03-16,SWL 2011,Icarus,Stats,Loss,
+,11-03-16,SWL 2011,Icarus,Perfective,Win,
+,11-03-14,SWL 2011,Fortress SE,Movie,Loss,
+,11-03-06,SWL 2011,Icarus,Sea,Loss,
+,11-03-06,SWL 2011,Empire of the Sun,Tyson,Win,
+,11-03-06,SWL 2011,Aztec,Jaehoon,Win,
+,11-03-06,SWL 2011,Fortress SE,HyuN,Win,
+,11-02-28,SWL 2011,Fortress SE,Reality,Loss,
+,11-02-26,SWL 2011,Icarus,Calm,Loss,
+,11-02-26,SWL 2011,Benzene,hero,Win,
+,11-02-22,SWL 2011,La Mancha,BaBy,Win,
+,11-02-22,SWL 2011,Benzene,RorO,Win,
+,11-02-22,SWL 2011,Empire of the Sun,Mind,Win,
+,11-02-22,SWL 2011,Fortress SE,Shine,Win,
+,11-02-16,SWL 2011,Empire of the Sun,HiyA,Win,
+,11-02-01,SWL 2011,La Mancha,Horang2,Loss,
+,11-01-30,SWL 2011,Empire of the Sun,Stork,Loss,
+,11-01-29,Bacchus2010 OSL,Pathfinder,Stork,Win,
+,11-01-29,Bacchus2010 OSL,Aztec,Stork,Win,
+,11-01-29,Bacchus2010 OSL,Gladiator,Stork,Win,
+,11-01-24,SWL 2011,Icarus,ZerO,Loss,
+,11-01-24,SWL 2011,La Mancha,free,Win,
+,11-01-24,SWL 2011,Fortress SE,Neo.G_Soulkey,Win,
+,11-01-22,SWL 2011,Fortress SE,ggaemo,Loss,
+,11-01-18,SWL 2011,Bloody Ridge,Jaehoon,Loss,
+,11-01-18,SWL 2011,Fortress SE,Sea,Win,
+,11-01-14,Bacchus2010 OSL,Aztec,Calm,Win,
+,11-01-14,Bacchus2010 OSL,Pathfinder,Calm,Win,
+,11-01-14,Bacchus2010 OSL,Gladiator,Calm,Loss,
+,11-01-14,Bacchus2010 OSL,Icarus,Calm,Win,
