,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-22,ODT2011-1,La Mancha,Bogus,Win,
+,11-06-22,ODT2011-1,Gladiator,Jaedong,Loss,
+,11-06-22,ODT2011-1,New Bloody Ridge,HyuN,Win,
+,11-06-20,Shinhan10-11 Prole..,Icarus,Hydra,Loss,
+,11-06-18,Shinhan10-11 Prole..,La Mancha,Shuttle,Loss,
+,11-06-15,Shinhan10-11 Prole..,Neo Aztec,Jaedong,Loss,
+,11-06-12,Shinhan10-11 Prole..,Circuit Breaker,BeSt,Loss,
+,11-06-11,ABC Mart MSL,Circuit Breaker,ZerO,Win,
+,11-06-11,ABC Mart MSL,La Mancha,ZerO,Win,
+,11-06-11,ABC Mart MSL,Monte Cristo,ZerO,Win,
+,11-06-08,Shinhan10-11 Prole..,Neo Beltway,Reality,Loss,
+,11-06-05,Shinhan10-11 Prole..,Neo Beltway,firebathero,Win,
+,11-06-02,ABC Mart MSL,Circuit Breaker,Hydra,Win,
+,11-06-02,ABC Mart MSL,Monte Cristo,Hydra,Win,
+,11-06-02,ABC Mart MSL,La Mancha,Hydra,Win,
+,11-05-23,Shinhan10-11 Prole..,Circuit Breaker,ZerG[kaL],Win,
+,11-05-21,ABC Mart MSL,Monte Cristo,Leta,Win,
+,11-05-21,ABC Mart MSL,Dante&#039;s Pea..,Leta,Loss,
+,11-05-21,ABC Mart MSL,La Mancha,Leta,Win,
+,11-05-18,Shinhan10-11 Prole..,New Empire of th..,Reality,Win,
+,11-05-15,Shinhan10-11 Prole..,Circuit Breaker,Really,Win,
+,11-05-12,ABC Mart MSL,Circuit Breaker,Leta,Win,
+,11-05-10,Shinhan10-11 Prole..,Icarus,Shine,Win,
+,11-05-07,Shinhan10-11 Prole..,Alternative,ggaemo,Win,
+,11-05-07,Shinhan10-11 Prole..,New Empire of th..,Much,Loss,
+,11-05-05,ABC Mart MSL,La Mancha,Really,Win,
+,11-05-05,ABC Mart MSL,Circuit Breaker,Really,Loss,
+,11-05-03,Shinhan10-11 Prole..,Circuit Breaker,Jaedong,Loss,
+,11-05-01,Shinhan10-11 Prole..,Icarus,Hydra,Win,
+,11-05-01,Shinhan10-11 Prole..,Beltway,Movie,Win,
+,11-04-30,ABC Mart MSL,Dante&#039;s Pea..,Really,Win,
+,11-04-25,Shinhan10-11 Prole..,La Mancha,BeSt,Loss,
+,11-04-21,ABC Mart MSL,Dante&#039;s Pea..,Bisu,Win,
+,11-04-21,ABC Mart MSL,Circuit Breaker,Jaedong,Loss,
+,11-04-21,ABC Mart MSL,Monte Cristo,Bisu,Win,
+,11-04-17,Shinhan10-11 All-S..,Benzene,Bisu,Win,
+,11-04-09,SWL 2011,Aztec,Bisu,Loss,
+,11-04-09,SWL 2011,Circuit Breaker,s2,Win,
+,11-03-22,SWL 2011,Empire of the Sun,BaBy,Loss,
+,11-03-22,SWL 2011,Circuit Breaker,Mind,Win,
+,11-03-22,SWL 2011,Fortress SE,RorO,Win,
+,11-03-13,SWL 2011,Benzene,Stork,Win,
+,11-03-12,MBC Survivor 22nd,Empire of the Sun,Midas,Win,
+,11-03-12,MBC Survivor 22nd,Circuit Breaker,Food5,Win,
+,11-03-09,SWL 2011,Bloody Ridge,Tyson,Loss,
+,11-03-09,SWL 2011,Circuit Breaker,HyuN,Win,
+,11-03-09,SWL 2011,La Mancha,Sea,Win,
+,11-03-07,SWL 2011,Benzene,Jaedong,Win,
