,Date&nbsp;,League,Map,Opponent,Result,
+,11-02-14,SWL 2011,Bloody Ridge,Kal,Loss,
+,11-01-19,SWL 2011,Fortress SE,TurN,Loss,
+,10-12-27,Shinhan10-11 Prole..,Icarus,Stork,Loss,
+,10-12-13,Shinhan10-11 Prole..,Benzene,Reach,Win,
+,10-12-05,Shinhan10-11 Prole..,Benzene,Light,Win,
+,10-11-30,Shinhan10-11 Prole..,Aztec,Horang2,Loss,
+,10-11-28,Shinhan10-11 Prole..,Aztec,Jaedong,Loss,
+,10-11-17,Shinhan10-11 Prole..,Benzene,BaBy,Win,
+,10-11-08,Shinhan10-11 Prole..,Benzene,HiyA,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,BarrackS,Loss,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,BarrackS,Loss,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,PerfectMan,Loss,
+,10-10-28,2010 Winter MST Pr..,Triathlon,PerfectMan,Loss,
+,10-10-28,2010 Winter MST Pr..,Match Point,PerfectMan,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,ToSsGirL,Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,ToSsGirL,Win,
+,10-10-26,Shinhan10-11 Prole..,Aztec,Stats,Loss,
+,10-10-19,Shinhan10-11 Prole..,Benzene,hero,Loss,
+,10-10-16,Shinhan10-11 Prole..,Benzene,ZerO,Loss,
+,10-07-07,Shinhan09-10 Prole..,Judgment Day,Shine,Loss,
+,10-07-04,Shinhan09-10 Prole..,Judgment Day,FrOzen,Loss,
+,10-06-28,Shinhan09-10 Prole..,Judgment Day,HiyA,Win,
+,10-06-22,Shinhan09-10 Prole..,Judgment Day,PuMa,Loss,
+,10-06-19,Shinhan09-10 Prole..,Judgment Day,HyuN,Win,
+,10-06-12,Shinhan09-10 Prole..,Judgment Day,Hyuk,Win,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,IdrA,Loss,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,IdrA,Loss,
+,10-06-11,2010 Summer OSL Pr..,Match Point,IdrA,Win,
+,10-06-07,Shinhan09-10 Prole..,Judgment Day,FireFist,Win,
+,10-06-02,Shinhan09-10 Prole..,Judgment Day,Classic,Loss,
+,10-05-27,2010 Summer MST Pr..,Odd-Eye 2,Violet,Loss,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,Violet,Loss,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,mini,Win,
+,10-05-27,2010 Summer MST Pr..,Match Point,mini,Win,
+,10-05-10,Shinhan09-10 Prole..,Fighting Spirit,Stats,Win,
+,10-05-01,Shinhan09-10 Prole..,Match Point,Kal,Loss,
+,10-04-25,Shinhan09-10 Prole..,Judgment Day,Neo.G_Soulkey,Loss,
+,10-04-14,Shinhan09-10 Prole..,Judgment Day,firebathero,Win,
+,10-03-01,Shinhan 2010 Winne..,New Tornado,Jaedong,Loss,
+,10-02-05,2010 Spring OSL Pr..,Match Point,ToSsGirL,Loss,
+,10-02-05,2010 Spring OSL Pr..,Fighting Spirit,ToSsGirL,Loss,
+,10-02-05,2010 Spring OSL Pr..,Eye of the Storm,ToSsGirL,Win,
+,10-02-04,2010 Spring MST Pr..,Match Point,BaBy,Loss,
+,10-02-04,2010 Spring MST Pr..,Fighting Spirit,BaBy,Loss,
+,10-02-04,2010 Spring MST Pr..,Odd-Eye,BaBy,Win,
+,10-02-04,2010 Spring MST Pr..,Odd-Eye,Paralyze,Win,
+,10-02-04,2010 Spring MST Pr..,Match Point,Paralyze,Win,
+,10-01-27,Shinhan 2010 Winne..,Roadrunner,Bomber,Loss,
+,10-01-24,Shinhan 2010 Winne..,New Tornado,Kwanro,Loss,
+,10-01-24,Shinhan 2010 Winne..,Neo Moon Glaive,free,Win,
+,10-01-24,Shinhan 2010 Winne..,Match Point,ZerO,Win,
+,10-01-18,Shinhan09-10 Prole..,New Heartbreak R..,Kwanro,Loss,
+,10-01-12,Shinhan09-10 Prole..,Match Point,Brave,Loss,
+,10-01-09,Shinhan09-10 Prole..,Match Point,HyuN,Win,
+,10-01-06,Shinhan09-10 Prole..,Match Point,hero,Loss,
+,10-01-03,Shinhan09-10 Prole..,Fighting Spirit,HoGiL,Loss,
+,09-12-22,Shinhan09-10 Prole..,New Heartbreak R..,n.Die_soO,Loss,
+,09-11-24,Shinhan09-10 Prole..,Heartbreak Ridge,Bisu,Loss,
+,09-11-21,Shinhan09-10 Prole..,Heartbreak Ridge,815,Loss,
+,09-11-11,Shinhan09-10 Prole..,Heartbreak Ridge,Shine,Loss,
