,Date&nbsp;,League,Map,Opponent,Result,
+,11-01-15,PDPop MSL,Benzene,Snow,Loss,
+,11-01-11,SWL 2011,Empire of the Sun,Tyson,Loss,
+,11-01-08,PDPop MSL,Circuit Breaker,Snow,Loss,
+,10-12-30,PDPop MSL,Benzene,PerfectMan,Win,
+,10-12-30,PDPop MSL,Triathlon,Midas,Win,
+,10-12-29,Shinhan10-11 Prole..,Aztec,Jaehoon,Win,
+,10-12-24,Bacchus2010 OSL,Aztec,Jaedong,Win,
+,10-12-18,Shinhan10-11 Prole..,Benzene,Calm,Loss,
+,10-12-15,Bacchus2010 OSL,Icarus,HiyA,Loss,
+,10-12-08,Bacchus2010 OSL,Gladiator,Calm,Loss,
+,10-12-06,Shinhan10-11 Prole..,Fortress,Lomo,Loss,
+,10-11-30,Shinhan10-11 Prole..,Circuit Breaker,M18M,Win,
+,10-11-26,Bacchus2010 OSL,Aztec,ZerO,Win,
+,10-11-26,Bacchus2010 OSL,Gladiator,ZerO,Win,
+,10-11-26,Bacchus2010 OSL,Pathfinder,ZerO,Loss,
+,10-11-24,Bacchus2010 OSL,Aztec,Stats,Win,
+,10-11-24,Bacchus2010 OSL,Gladiator,Stats,Loss,
+,10-11-24,Bacchus2010 OSL,Pathfinder,Stats,Win,
+,10-11-18,MBC Survivor 21st,Triathlon,Reality,Win,
+,10-11-18,MBC Survivor 21st,Circuit Breaker,free,Loss,
+,10-11-18,MBC Survivor 21st,Aztec,RuBy,Win,
+,10-11-14,Shinhan10-11 Prole..,Empire of the Sun,Suny,Win,
+,10-11-09,Shinhan10-11 Prole..,Fortress,Light,Loss,
+,10-11-06,Shinhan10-11 Prole..,Aztec,Classic,Win,
+,10-11-01,Shinhan10-11 Prole..,Fortress,M18M,Win,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Modesty,Loss,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Ssak,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Ssak,Win,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Sky,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Sky,Win,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Sky,Loss,
+,10-10-23,Shinhan10-11 Prole..,Icarus,Bisu,Loss,
+,10-07-26,STX Masters 2010,Fortress,Classic,Loss,
+,10-07-26,STX Masters 2010,Judgment Day,Really,Win,
+,10-07-08,Bigfile MSL,Polaris Rhapsody,free,Loss,
+,10-07-08,Bigfile MSL,Triathlon,fOrGG,Loss,
+,10-06-22,Shinhan09-10 Prole..,Grand Line SE,RuBy,Loss,
+,10-06-11,2010 Summer OSL Pr..,Match Point,Brave,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,Brave,Loss,
+,10-06-11,2010 Summer OSL Pr..,Match Point,yeOngJae,Win,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,yeOngJae,Loss,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,yeOngJae,Win,
+,10-06-06,Shinhan09-10 Prole..,Judgment Day,Calm,Loss,
+,10-06-03,MBC Survivor 20th,Triathlon,Mind,Win,
+,10-06-03,MBC Survivor 20th,Match Point,Kal,Loss,
+,10-06-03,MBC Survivor 20th,Fighting Spirit,Mind,Win,
+,10-06-01,Shinhan09-10 Prole..,Judgment Day,HyuN,Loss,
+,10-05-27,2010 Summer MST Pr..,Odd-Eye 2,Casy,Win,
