,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-02,Shinhan10-11 Prole..,New Bloody Ridge,Orion,Win,
+,11-06-28,Shinhan10-11 Prole..,Neo Aztec,Crazy-Hydra,Win,
+,11-06-25,Shinhan10-11 Prole..,Neo Aztec,JangBi,Loss,
+,11-06-22,ODT2011-1,Gladiator,Bogus,Loss,
+,11-06-22,ODT2011-1,New Bloody Ridge,Flash,Loss,
+,11-06-20,Shinhan10-11 Prole..,Alternative,s2,Loss,
+,11-06-18,Shinhan10-11 Prole..,Neo Aztec,PerfectMan,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Woon,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Woon,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Woon,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Sacsri,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Sacsri,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Suny,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Suny,Win,
+,11-06-15,Shinhan10-11 Prole..,Neo Aztec,Kal,Win,
+,11-06-12,Shinhan10-11 Prole..,Alternative,Hydra,Loss,
+,11-06-08,Shinhan10-11 Prole..,Neo Aztec,Wooki,Loss,
+,11-06-05,Shinhan10-11 Prole..,Icarus,Neo.G_Soulkey,Loss,
+,11-05-23,Shinhan10-11 Prole..,Alternative,Crazy-Hydra,Loss,
+,11-05-18,Shinhan10-11 Prole..,Neo Aztec,Midas,Loss,
+,11-05-15,Shinhan10-11 Prole..,Neo Aztec,PianO,Loss,
+,11-05-15,Shinhan10-11 Prole..,Icarus,PianO,Loss,
+,11-05-10,Shinhan10-11 Prole..,New Bloody Ridge,Stork,Win,
+,11-05-10,Shinhan10-11 Prole..,Neo Aztec,Stork,Win,
+,11-05-07,Shinhan10-11 Prole..,Icarus,free,Win,
+,11-05-03,Shinhan10-11 Prole..,Icarus,Bogus,Win,
+,11-05-01,Shinhan10-11 Prole..,Neo Aztec,Bisu,Loss,
+,11-04-27,Shinhan10-11 Prole..,New Empire of th..,HiyA,Loss,
+,11-04-25,Shinhan10-11 Prole..,New Bloody Ridge,Horang2,Win,
+,11-04-19,ABC Mart MSL,Monte Cristo,Horang2,Loss,
+,11-04-19,ABC Mart MSL,Dante&#039;s Pea..,ZerO,Loss,
+,11-03-24,MBC Survivor 22nd,Dante&#039;s Pea..,PerfectMan,Win,
+,11-03-24,MBC Survivor 22nd,Empire of the Sun,Sharp,Win,
+,11-03-24,MBC Survivor 22nd,Circuit Breaker,PerfectMan,Loss,
+,11-03-21,SWL 2011,Bloody Ridge,Crazy-Hydra,Loss,
+,11-03-21,SWL 2011,Aztec,free,Win,
+,11-03-21,SWL 2011,Icarus,ZerO,Win,
+,11-03-14,SWL 2011,Aztec,Bogus,Loss,
+,11-03-14,SWL 2011,Icarus,Calm,Win,
+,11-03-12,SWL 2011,Circuit Breaker,M18M,Loss,
+,11-03-09,SWL 2011,Circuit Breaker,Flash,Loss,
+,11-03-06,SWL 2011,Fortress SE,Fantasy,Loss,
+,11-03-06,SWL 2011,Bloody Ridge,n.Die_soO,Win,
+,11-03-03,2011 Spring MST Pr..,La Mancha,Last,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Last,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,SorrOw,Win,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,SorrOw,Win,
+,11-03-01,SWL 2011,Empire of the Sun,BaBy,Loss,
+,11-03-01,SWL 2011,Aztec,Sacsri,Win,
+,11-02-26,SWL 2011,Empire of the Sun,Movie,Loss,
+,11-02-21,SWL 2011,Aztec,Brave,Loss,
+,11-02-14,SWL 2011,Icarus,Jaedong,Loss,
+,11-02-12,SWL 2011,Benzene,Calm,Loss,
+,11-02-12,SWL 2011,Aztec,Bogus,Win,
+,11-02-12,SWL 2011,Fortress SE,Kal,Win,
+,11-01-31,SWL 2011,La Mancha,Action,Loss,
+,11-01-31,SWL 2011,Aztec,HoeJJa,Win,
+,11-01-18,SWL 2011,Benzene,By.Sun,Loss,
+,11-01-16,SWL 2011,Empire of the Sun,Stork,Loss,
+,11-01-09,SWL 2011,Benzene,free,Loss,
+,11-01-09,SWL 2011,Aztec,Neo.G_Soulkey,Win,
+,10-12-29,Shinhan10-11 Prole..,Bloody Ridge,Snow,Win,
+,10-12-26,Shinhan10-11 Prole..,Bloody Ridge,BeSt,Win,
+,10-12-20,Shinhan10-11 Prole..,Aztec,Killer,Win,
+,10-12-14,Shinhan10-11 Prole..,Icarus,Major,Loss,
+,10-12-11,Shinhan10-11 Prole..,Icarus,Classic,Win,
+,10-12-07,Shinhan10-11 Prole..,Aztec,Tempest,Win,
+,10-12-05,Shinhan10-11 Prole..,Aztec,ggaemo,Win,
+,10-11-29,Shinhan10-11 Prole..,Icarus,Crazy-Hydra,Loss,
+,10-11-27,Shinhan10-11 Prole..,Icarus,Stork,Loss,
+,10-11-18,MBC Survivor 21st,Triathlon,Really,Loss,
+,10-11-18,MBC Survivor 21st,Circuit Breaker,Orion,Win,
+,10-11-18,MBC Survivor 21st,Aztec,Really,Loss,
+,10-11-17,Shinhan10-11 Prole..,Aztec,Action,Win,
+,10-11-15,Shinhan10-11 Prole..,Aztec,Pure,Win,
+,10-11-12,Bacchus2010 OSL,Gladiator,Fantasy,Loss,
+,10-11-12,Bacchus2010 OSL,Pathfinder,Fantasy,Loss,
+,10-11-10,Bacchus2010 OSL,Aztec,Horang2,Win,
+,10-11-10,Bacchus2010 OSL,Gladiator,Horang2,Loss,
+,10-11-10,Bacchus2010 OSL,Pathfinder,Horang2,Win,
+,10-11-09,Shinhan10-11 Prole..,Grand Line SE,Hydra,Win,
+,10-11-07,Shinhan10-11 Prole..,Fortress,Really,Loss,
+,10-11-02,Shinhan10-11 Prole..,Benzene,Bogus,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Horang2,Loss,
+,10-10-29,2010 Winter OSL Pr..,Aztec,sKyHigh,Win,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Canata,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Canata,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,SoO,Win,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,SoO,Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,yeOngJae,Win,
+,10-10-28,2010 Winter MST Pr..,Triathlon,yeOngJae,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,yeOngJae,Loss,
+,10-10-28,2010 Winter MST Pr..,Match Point,BisAnG,Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,BisAnG,Win,
+,10-10-27,Shinhan10-11 Prole..,Benzene,Alone,Loss,
+,10-10-20,Shinhan10-11 Prole..,Grand Line SE,JangBi,Win,
+,10-10-18,Shinhan10-11 Prole..,Aztec,Bisu,Loss,
+,10-08-15,STX Masters 2010,Fighting Spirit,ZerO,Loss,
+,10-08-15,STX Masters 2010,Match Point,Neo.G_Soulkey,Win,
+,10-07-20,Shinhan09-10 Prole..,Grand Line SE,Midas,Loss,
+,10-07-18,Shinhan09-10 Prole..,Grand Line SE,RorO,Loss,
+,10-07-17,Shinhan09-10 Prole..,Match Point,BaBy,Win,
+,10-07-05,Shinhan09-10 Prole..,Judgment Day,EffOrt,Loss,
+,10-06-27,Shinhan09-10 Prole..,Grand Line SE,great,Loss,
+,10-06-19,Shinhan09-10 Prole..,Judgment Day,GoRush,Loss,
+,10-06-17,MBC Survivor 20th,Triathlon,sKyHigh,Loss,
+,10-06-17,MBC Survivor 20th,Match Point,815,Win,
+,10-06-17,MBC Survivor 20th,Fighting Spirit,sKyHigh,Loss,
+,10-06-14,Shinhan09-10 Prole..,Judgment Day,Classic,Win,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,Ssak,Loss,
+,10-06-11,2010 Summer OSL Pr..,Match Point,Ssak,Loss,
