,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-30,2011 Summer MST Pr..,La Mancha,BByong,Loss,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,BByong,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Grape,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Grape,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Grape,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Crazy-Hydra,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Crazy-Hydra,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Saber,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Saber,Win,
+,11-06-14,Shinhan10-11 Prole..,New Empire of th..,BByong,Loss,
+,11-05-02,Shinhan10-11 Prole..,New Bloody Ridge,Peace,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Last,Loss,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Last,Loss,
+,11-02-13,SWL 2011,Benzene,Flash,Loss,
+,10-12-29,Shinhan10-11 Prole..,Benzene,Stork,Win,
+,10-11-17,Shinhan10-11 Prole..,Central Plains,M18M,Win,
+,10-11-15,Shinhan10-11 Prole..,Central Plains,Tyson,Loss,
+,10-11-09,Shinhan10-11 Prole..,Central Plains,JangBi,Win,
+,10-11-07,Shinhan10-11 Prole..,Central Plains,BeSt,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Classic,Loss,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Classic,Loss,
+,10-10-28,2010 Winter MST Pr..,Triathlon,oDin,Loss,
+,10-10-28,2010 Winter MST Pr..,Match Point,oDin,Loss,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,oDin,Win,
+,10-10-20,Shinhan10-11 Prole..,Grand Line SE,Hydra,Loss,
+,10-10-18,Shinhan10-11 Prole..,Benzene,Crazy-Hydra,Loss,
+,10-08-10,STX Masters 2010,Judgment Day,Neo.G_Soulkey,Loss,
+,10-06-24,KeSPA 09-10 Dream ..,Match Point,yeOngJae,Win,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,Hydra,Loss,
+,10-06-11,2010 Summer OSL Pr..,Match Point,Hydra,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,Hydra,Win,
+,10-06-11,2010 Summer OSL Pr..,Match Point,firebathero,Win,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,firebathero,Loss,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,firebathero,Win,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,45[Name],Win,
+,10-06-11,2010 Summer OSL Pr..,Match Point,45[Name],Win,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,Lomo,Loss,
+,10-05-27,2010 Summer MST Pr..,Match Point,Lomo,Loss,
+,10-05-27,2010 Summer MST Pr..,Match Point,ByuL,Win,
+,10-05-27,2010 Summer MST Pr..,Odd-Eye 2,ByuL,Win,
+,10-04-20,Shinhan09-10 Prole..,Grand Line,Iris,Loss,
+,10-04-13,Shinhan09-10 Prole..,Match Point,Killer,Loss,
+,10-02-25,KeSPA 09-10 Dream ..,Match Point,Spear,Loss,
+,10-02-25,KeSPA 09-10 Dream ..,Match Point,Tazza,Loss,
+,10-02-18,KeSPA 09-10 Dream ..,Fighting Spirit,Chavi,Win,
+,10-02-18,KeSPA 09-10 Dream ..,Match Point,hOpe,Win,
+,10-02-18,KeSPA 09-10 Dream ..,Match Point,45[Name],Win,
+,10-02-05,2010 Spring OSL Pr..,Eye of the Storm,hyvaa,Loss,
+,10-02-05,2010 Spring OSL Pr..,Match Point,hyvaa,Loss,
+,10-02-05,2010 Spring OSL Pr..,Fighting Spirit,hyvaa,Win,
+,10-02-05,2010 Spring OSL Pr..,Fighting Spirit,hOn_sin,Win,
+,10-02-05,2010 Spring OSL Pr..,Eye of the Storm,hOn_sin,Win,
+,10-02-04,2010 Spring MST Pr..,Match Point,PianO,Loss,
+,10-02-04,2010 Spring MST Pr..,Fighting Spirit,PianO,Loss,
+,10-02-04,2010 Spring MST Pr..,Odd-Eye,PianO,Win,
+,10-02-04,2010 Spring MST Pr..,Odd-Eye,Sharp,Win,
+,10-02-04,2010 Spring MST Pr..,Match Point,Sharp,Win,
+,09-12-13,Shinhan09-10 Prole..,Match Point,Killer,Loss,
+,09-12-07,Shinhan09-10 Prole..,New Heartbreak R..,ZerO,Loss,
+,09-11-29,Shinhan09-10 Prole..,Match Point,Flying,Win,
+,09-11-03,Shinhan09-10 Prole..,Match Point,PerfectMan,Win,
+,09-09-30,2009 Fall OSL Prel..,Destination,RuBy,Loss,
+,09-09-30,2009 Fall OSL Prel..,Heartbreak Ridge,RuBy,Win,
+,09-09-30,2009 Fall OSL Prel..,Return of the King,RuBy,Loss,
+,09-09-30,2009 Fall OSL Prel..,Return of the King,Just,Win,
+,09-09-30,2009 Fall OSL Prel..,Destination,Just,Win,
+,09-09-30,2009 Fall OSL Prel..,Destination,Tiny,Win,
+,09-09-30,2009 Fall OSL Prel..,Heartbreak Ridge,Tiny,Win,
+,09-09-29,2009 Fall MST Prel..,Destination,Hydra,Loss,
+,09-09-29,2009 Fall MST Prel..,Heartbreak Ridge,Hydra,Loss,
+,09-09-22,2009 MBC Team Eval..,Judgment Day,FireFist,Loss,
+,09-09-08,SPL 2009 MapTest,Match Point,Leta,Win,
+,09-09-08,SPL 2009 MapTest,Acro,HoGiL,Loss,
+,09-05-05,GOM Classic Season 3,Neo Medusa,EffOrt,Loss,
+,09-05-05,GOM Classic Season 3,Destination,EffOrt,Loss,
