,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,BarrackS,Win,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,BarrackS,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,BarrackS,Loss,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Rudy,Win,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Rudy,Win,
+,11-06-26,Shinhan10-11 Prole..,Neo Aztec,By.Sun,Loss,
+,11-06-21,Shinhan10-11 Prole..,La Mancha,Light,Loss,
+,11-06-18,Shinhan10-11 Prole..,Neo Aztec,HyuN,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,hero,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,hero,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,huro,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,huro,Win,
+,11-06-13,Shinhan10-11 Prole..,Alternative,Peace,Win,
+,11-05-16,Shinhan10-11 Prole..,Neo Aztec,hyvaa,Loss,
+,11-05-11,Shinhan10-11 Prole..,Neo Aztec,Movie,Loss,
+,11-05-09,Shinhan10-11 Prole..,Beltway,Light,Loss,
+,11-04-30,Shinhan10-11 Prole..,La Mancha,Mind,Loss,
+,11-04-27,Shinhan10-11 Prole..,La Mancha,Tyson,Win,
+,11-04-24,Shinhan10-11 Prole..,Neo Aztec,Grape,Win,
+,11-04-02,SWL 2011,Circuit Breaker,s2,Loss,
+,11-04-02,SWL 2011,Aztec,Ssak,Win,
+,11-03-24,MBC Survivor 22nd,Dante&#039;s Pea..,HyuN,Loss,
+,11-03-24,MBC Survivor 22nd,Empire of the Sun,Bisu,Loss,
+,11-03-24,MBC Survivor 22nd,Circuit Breaker,HyuN,Win,
+,11-03-20,SWL 2011,Fortress SE,Fantasy,Loss,
+,11-03-15,SWL 2011,Fortress SE,firebathero,Win,
+,11-03-07,SWL 2011,Circuit Breaker,Stats,Loss,
+,11-02-23,SWL 2011,Circuit Breaker,Sea,Loss,
+,11-02-23,SWL 2011,La Mancha,Light,Win,
+,11-02-20,SWL 2011,Fortress SE,Leta,Loss,
+,11-02-14,SWL 2011,Fortress SE,Light,Win,
+,11-01-22,SWL 2011,Circuit Breaker,Snow,Loss,
+,11-01-22,SWL 2011,La Mancha,Leta,Win,
+,11-01-22,SWL 2011,Aztec,Horang2,Win,
+,11-01-17,SWL 2011,La Mancha,Violet,Loss,
+,11-01-10,SWL 2011,Bloody Ridge,herO[jOin],Loss,
+,10-12-30,PDPop MSL,Circuit Breaker,Midas,Loss,
+,10-12-30,PDPop MSL,Benzene,HoGiL,Loss,
+,10-12-28,Shinhan10-11 Prole..,Circuit Breaker,Ssak,Win,
+,10-12-25,Shinhan10-11 Prole..,Aztec,Action,Win,
+,10-12-13,Shinhan10-11 Prole..,Empire of the Sun,Bogus,Loss,
+,10-12-06,Shinhan10-11 Prole..,Empire of the Sun,Snow,Loss,
+,10-11-28,Shinhan10-11 Prole..,Benzene,ggaemo,Loss,
+,10-11-25,MBC Survivor 21st,Triathlon,hero,Win,
+,10-11-25,MBC Survivor 21st,Circuit Breaker,Juni,Win,
+,10-11-25,MBC Survivor 21st,Aztec,hero,Loss,
+,10-11-16,Shinhan10-11 Prole..,Benzene,Bisu,Loss,
+,10-11-13,Shinhan10-11 Prole..,Central Plains,free,Loss,
+,10-11-08,Shinhan10-11 Prole..,Empire of the Sun,firebathero,Loss,
+,10-11-06,Shinhan10-11 Prole..,Empire of the Sun,great,Loss,
+,10-11-02,Shinhan10-11 Prole..,Aztec,Shine,Win,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Canata,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Canata,Win,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Canata,Loss,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,GoRush,Win,
+,10-10-28,2010 Winter MST Pr..,Triathlon,GoRush,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,GoRush,Loss,
+,10-10-28,2010 Winter MST Pr..,Triathlon,SuperNoVa,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,SuperNoVa,Loss,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,SuperNoVa,Win,
+,10-10-27,Shinhan10-11 Prole..,Icarus,Saint,Win,
+,10-10-25,Shinhan10-11 Prole..,Grand Line SE,Last,Win,
+,10-10-19,Shinhan10-11 Prole..,Aztec,Tempest,Win,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,JangBi,Loss,
+,10-06-11,2010 Summer OSL Pr..,Match Point,JangBi,Win,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,JangBi,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,n.Die_soO,Win,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,n.Die_soO,Win,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,ToSsGirL,Win,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,ToSsGirL,Loss,
+,10-06-11,2010 Summer OSL Pr..,Match Point,ToSsGirL,Win,
+,10-05-27,2010 Summer MST Pr..,Odd-Eye 2,TurN,Loss,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,TurN,Win,
+,10-05-27,2010 Summer MST Pr..,Match Point,TurN,Loss,
+,10-05-05,Shinhan09-10 Prole..,Grand Line,BeSt,Loss,
+,10-04-24,Shinhan09-10 Prole..,Polaris Rhapsody,Leta,Loss,
+,10-04-19,Shinhan09-10 Prole..,Judgment Day,Casy,Win,
+,10-04-13,Shinhan09-10 Prole..,Judgment Day,Midas,Loss,
+,10-03-19,Korean Air OSL S1,Fighting Spirit,ZerO,Loss,
+,10-03-19,Korean Air OSL S1,Great Barrier Reef,ZerO,Loss,
+,10-03-19,Korean Air OSL S1,Eye of the Storm,Light,Win,
+,10-03-19,Korean Air OSL S1,Fighting Spirit,Light,Win,
+,10-03-19,Korean Air OSL S1,Great Barrier Reef,Light,Loss,
