,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-05,Shinhan10-11 Prole..,Neo Beltway,Midas,Win,
+,11-06-29,Shinhan10-11 Prole..,Circuit Breaker,Mong,Win,
+,11-06-21,Shinhan10-11 Prole..,Circuit Breaker,Jaedong,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Anyppi,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Anyppi,Loss,
+,11-06-13,Shinhan10-11 Prole..,Icarus,Modesty,Loss,
+,11-06-07,Shinhan10-11 Prole..,New Empire of th..,BeSt,Loss,
+,11-06-05,Shinhan10-11 Prole..,Neo Aztec,Tyson,Loss,
+,11-05-22,Shinhan10-11 Prole..,New Empire of th..,Shuttle,Loss,
+,11-05-17,Shinhan10-11 Prole..,Circuit Breaker,firebathero,Loss,
+,11-05-15,Shinhan10-11 Prole..,Circuit Breaker,Flash,Loss,
+,11-05-09,Shinhan10-11 Prole..,New Empire of th..,Dear,Win,
+,11-05-05,ABC Mart MSL,La Mancha,Flash,Loss,
+,11-05-05,ABC Mart MSL,Circuit Breaker,Flash,Win,
+,11-05-04,Shinhan10-11 Prole..,La Mancha,BeSt,Loss,
+,11-05-02,Shinhan10-11 Prole..,New Empire of th..,Stork,Loss,
+,11-04-30,ABC Mart MSL,Dante&#039;s Pea..,Flash,Loss,
+,11-04-26,Shinhan10-11 Prole..,New Empire of th..,Pure,Win,
+,11-04-23,Shinhan10-11 Prole..,Circuit Breaker,sKyHigh,Loss,
+,11-04-21,ABC Mart MSL,Circuit Breaker,Shine,Win,
+,11-04-21,ABC Mart MSL,La Mancha,Kal,Win,
+,11-03-17,MBC Survivor 22nd,Empire of the Sun,Classic,Win,
+,11-03-17,MBC Survivor 22nd,Circuit Breaker,HoeJJa,Win,
+,11-03-08,SWL 2011,Icarus,Bisu,Loss,
+,11-03-02,SWL 2011,Fortress SE,Killer,Loss,
+,11-02-28,SWL 2011,Circuit Breaker,Movie,Loss,
+,11-02-28,SWL 2011,Fortress SE,Leta,Win,
+,11-02-28,SWL 2011,Benzene,Hydra,Win,
+,11-02-21,SWL 2011,Empire of the Sun,hero,Win,
+,11-02-15,SWL 2011,Fortress SE,BaBy,Loss,
+,11-02-15,SWL 2011,Empire of the Sun,Mind,Win,
+,11-02-12,SWL 2011,Aztec,Stork,Loss,
+,11-02-12,SWL 2011,Circuit Breaker,great,Win,
+,11-01-30,SWL 2011,Empire of the Sun,Snow,Loss,
+,11-01-26,SWL 2011,Icarus,Flash,Loss,
+,11-01-24,SWL 2011,Circuit Breaker,By.Sun,Loss,
+,11-01-16,SWL 2011,Circuit Breaker,Bogus,Loss,
+,11-01-16,SWL 2011,La Mancha,FrOzen,Win,
+,11-01-12,SWL 2011,La Mancha,ggaemo,Loss,
+,11-01-09,SWL 2011,Circuit Breaker,Tyson,Loss,
+,11-01-09,SWL 2011,Empire of the Sun,Light,Win,
+,10-12-30,PDPop MSL,Dante&#039;s Peak,Shine,Loss,
+,10-12-30,PDPop MSL,Benzene,Kal,Loss,
+,10-12-28,Shinhan10-11 Prole..,Empire of the Sun,Shuttle,Win,
+,10-12-26,Shinhan10-11 Prole..,Grand Line SE,Major,Win,
+,10-12-21,Shinhan10-11 Prole..,Empire of the Sun,Horang2,Win,
+,10-12-19,Shinhan10-11 Prole..,Icarus,Flash,Loss,
+,10-12-15,Shinhan10-11 Prole..,Empire of the Sun,Iris,Loss,
