,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-03,Shinhan10-11 Prole..,Alternative,Kal,Loss,
+,11-07-01,ODT2011-1,Gladiator,Paralyze,Loss,
+,11-07-01,ODT2011-1,New Bloody Ridge,HiyA,Loss,
+,11-06-27,Shinhan10-11 Prole..,Circuit Breaker,Grape,Loss,
+,11-06-25,Shinhan10-11 Prole..,Neo Aztec,HoeJJa,Loss,
+,11-06-22,Shinhan10-11 Prole..,Circuit Breaker,Bisu,Win,
+,11-06-19,Shinhan10-11 Prole..,Neo Beltway,Iris,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Movie,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Movie,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Flying,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Flying,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Flying,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,yeOngJae,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,yeOngJae,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,yeOngJae,Win,
+,11-06-08,Shinhan10-11 Prole..,Alternative,Dream.t)check,Win,
+,11-06-06,Shinhan10-11 Prole..,New Empire of th..,Sky,Win,
+,11-05-18,Shinhan10-11 Prole..,New Empire of th..,Jaehoon,Win,
+,11-05-16,Shinhan10-11 Prole..,New Bloody Ridge,Brave,Loss,
+,11-05-08,Shinhan10-11 Prole..,Alternative,Snow,Loss,
+,11-05-02,Shinhan10-11 Prole..,Icarus,PianO,Loss,
+,11-04-30,Shinhan10-11 Prole..,Icarus,Killer,Loss,
+,11-04-26,Shinhan10-11 Prole..,Icarus,Neo.G_Soulkey,Loss,
+,11-04-24,Shinhan10-11 Prole..,Icarus,Calm,Win,
+,11-04-18,ABC Mart MSL,La Mancha,Fantasy,Loss,
+,11-04-18,ABC Mart MSL,Circuit Breaker,Calm,Loss,
+,11-03-31,MBC Survivor 22nd,Dante&#039;s Pea..,By.Sun,Win,
+,11-03-31,MBC Survivor 22nd,Empire of the Sun,Jaehoon,Win,
+,11-03-31,MBC Survivor 22nd,Circuit Breaker,By.Sun,Loss,
+,11-03-22,SWL 2011,Fortress SE,Flash,Loss,
+,11-03-22,SWL 2011,Benzene,Perfective,Win,
+,11-03-22,SWL 2011,Bloody Ridge,Stats,Win,
+,11-03-22,SWL 2011,Aztec,Action,Win,
+,11-03-16,SWL 2011,Circuit Breaker,sKyHigh,Loss,
+,11-03-16,SWL 2011,La Mancha,Leta,Win,
+,11-03-13,SWL 2011,Bloody Ridge,free,Loss,
+,11-03-13,SWL 2011,La Mancha,ZerO,Win,
+,11-03-07,SWL 2011,Benzene,firebathero,Loss,
+,11-03-07,SWL 2011,Bloody Ridge,Iris,Win,
+,11-03-07,SWL 2011,Aztec,ggaemo,Win,
+,11-03-07,SWL 2011,Icarus,XellOs,Win,
+,11-02-27,SWL 2011,Benzene,Jaedong,Loss,
+,11-02-27,SWL 2011,Aztec,HiyA,Win,
+,11-02-22,SWL 2011,Benzene,Fantasy,Loss,
+,11-01-31,SWL 2011,Aztec,FrOzen,Loss,
+,11-01-26,SWL 2011,La Mancha,TurN,Loss,
+,11-01-26,SWL 2011,Icarus,Grape,Win,
+,11-01-23,SWL 2011,La Mancha,Light,Loss,
+,11-01-15,PDPop MSL,Benzene,Kal,Loss,
+,11-01-15,SWL 2011,Empire of the Sun,Bisu,Loss,
+,11-01-15,SWL 2011,Fortress SE,By.Sun,Win,
+,11-01-08,PDPop MSL,Dante&#039;s Peak,Kal,Loss,
+,11-01-08,SWL 2011,Bloody Ridge,Hydra,Loss,
+,11-01-08,SWL 2011,Icarus,sKyHigh,Win,
+,11-01-08,SWL 2011,Circuit Breaker,Leta,Win,
+,11-01-08,SWL 2011,La Mancha,Where,Win,
+,10-12-26,Shinhan10-11 Prole..,Aztec,Crazy-Hydra,Loss,
+,10-12-23,PDPop MSL,Dante&#039;s Peak,Stork,Win,
+,10-12-23,PDPop MSL,Circuit Breaker,sHy,Win,
+,10-12-20,Shinhan10-11 Prole..,Benzene,Kal,Loss,
+,10-12-14,Shinhan10-11 Prole..,Benzene,Saint,Win,
+,10-12-11,Shinhan10-11 Prole..,Grand Line SE,Lomo,Win,
+,10-12-07,Shinhan10-11 Prole..,Aztec,ggaemo,Loss,
+,10-12-05,Shinhan10-11 Prole..,Grand Line SE,Flash,Loss,
+,10-11-29,Shinhan10-11 Prole..,Benzene,Bisu,Loss,
+,10-11-27,Shinhan10-11 Prole..,Benzene,Movie,Win,
+,10-11-20,MBC Survivor 21st,Circuit Breaker,Horang2,Win,
+,10-11-20,MBC Survivor 21st,Aztec,Lomo,Win,
+,10-11-17,Shinhan10-11 Prole..,Grand Line SE,firebathero,Win,
+,10-11-15,Shinhan10-11 Prole..,Grand Line SE,Light,Win,
+,10-11-09,Shinhan10-11 Prole..,Circuit Breaker,Reality,Loss,
+,10-11-07,Shinhan10-11 Prole..,Circuit Breaker,Ssak,Win,
+,10-11-04,MBC Survivor 21st,Triathlon,Bisu,Loss,
+,10-11-04,MBC Survivor 21st,Aztec,Midas,Win,
+,10-11-02,Shinhan10-11 Prole..,Icarus,Jaedong,Loss,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Tempest,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Tempest,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Reality,Win,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Reality,Win,
+,10-10-27,Shinhan10-11 Prole..,Aztec,hero,Win,
+,10-10-24,Shinhan10-11 Prole..,Benzene,Flash,Loss,
+,10-10-20,Shinhan10-11 Prole..,Benzene,Horang2,Win,
+,10-08-10,STX Masters 2010,Fortress,Neo.G_Soulkey,Loss,
+,10-07-31,Bigfile MSL,Odd-Eye 3,Light,Loss,
+,10-07-31,Bigfile MSL,Fighting Spirit,Light,Win,
+,10-07-25,Shinhan09-10 Prole..,Roadrunner,n.Die_soO,Win,
+,10-07-24,Shinhan09-10 Prole..,Fighting Spirit,Canata,Win,
+,10-07-22,Bigfile MSL,Polaris Rhapsody,Light,Loss,
+,10-07-20,Shinhan09-10 Prole..,Fighting Spirit,Sea,Win,
+,10-07-18,Shinhan09-10 Prole..,Grand Line SE,HyuN,Win,
+,10-07-17,Shinhan09-10 Prole..,Grand Line SE,Sea,Loss,
+,10-07-12,Shinhan09-10 Prole..,Fortress,Sharp,Win,
+,10-07-07,Shinhan09-10 Prole..,Fortress,RuBy,Win,
+,10-07-04,Shinhan09-10 Prole..,Polaris Rhapsody,ZerO,Loss,
+,10-07-01,Bigfile MSL,Triathlon,sKyHigh,Win,
+,10-07-01,Bigfile MSL,Odd-Eye 3,Jaedong,Loss,
+,10-07-01,Bigfile MSL,Fighting Spirit,sKyHigh,Win,
+,10-06-29,Shinhan09-10 Prole..,Judgment Day,EffOrt,Loss,
+,10-06-26,Shinhan09-10 Prole..,Judgment Day,Classic,Win,
+,10-06-21,Shinhan09-10 Prole..,Fighting Spirit,Bisu,Loss,
+,10-06-21,Shinhan09-10 Prole..,Judgment Day,Fantasy,Loss,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,Pusan,Loss,
+,10-06-11,2010 Summer OSL Pr..,Match Point,Pusan,Win,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,Pusan,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,SoO,Win,
