,Date&nbsp;,League,Map,Opponent,Result,
+,11-05-22,Shinhan10-11 Prole..,Beltway,Jaedong,Loss,
+,11-05-09,Shinhan10-11 Prole..,La Mancha,Shuttle,Loss,
+,11-04-26,Shinhan10-11 Prole..,La Mancha,Stork,Loss,
+,11-04-19,ABC Mart MSL,Circuit Breaker,Horang2,Loss,
+,11-04-19,ABC Mart MSL,Monte Cristo,ZerO,Loss,
+,11-04-19,ABC Mart MSL,La Mancha,Horang2,Win,
+,11-03-29,MBC Survivor 22nd,Dante&#039;s Pea..,JangBi,Win,
+,11-03-29,MBC Survivor 22nd,Empire of the Sun,Mind,Loss,
+,11-03-29,MBC Survivor 22nd,Circuit Breaker,Action,Win,
+,11-03-05,SWL 2011,Circuit Breaker,ZerO,Loss,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Alone,Win,
+,11-03-03,2011 Spring MST Pr..,La Mancha,Alone,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Alone,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Klaus,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Klaus,Win,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Klaus,Loss,
+,11-03-02,SWL 2011,Bloody Ridge,Juni,Loss,
+,11-01-25,SWL 2011,Empire of the Sun,Tyson,Loss,
+,11-01-12,SWL 2011,Empire of the Sun,free,Loss,
+,11-01-10,SWL 2011,Circuit Breaker,Stats,Loss,
+,11-01-10,SWL 2011,Empire of the Sun,BarrackS,Win,
+,10-12-25,Shinhan10-11 Prole..,Benzene,Bogus,Win,
+,10-12-13,Shinhan10-11 Prole..,Bloody Ridge,Action,Loss,
+,10-12-07,Shinhan10-11 Prole..,Benzene,Pure,Win,
+,10-12-05,Shinhan10-11 Prole..,Icarus,Sang,Win,
+,10-11-30,Shinhan10-11 Prole..,Bloody Ridge,Hydra,Loss,
+,10-11-28,Shinhan10-11 Prole..,Grand Line SE,BackHo,Win,
+,10-11-18,MBC Survivor 21st,Circuit Breaker,Reality,Loss,
+,10-11-18,MBC Survivor 21st,Aztec,HoGiL,Loss,
+,10-11-17,Shinhan10-11 Prole..,Aztec,Shine,Loss,
+,10-11-14,Shinhan10-11 Prole..,Grand Line SE,TurN,Loss,
+,10-11-01,Shinhan10-11 Prole..,Empire of the Sun,Leta,Loss,
+,10-10-29,2010 Winter OSL Pr..,Aztec,FrOzen,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,FrOzen,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Ryul2,Win,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Ryul2,Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,Sacsri,Win,
+,10-10-28,2010 Winter MST Pr..,Triathlon,Sacsri,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,Sacsri,Loss,
+,10-10-28,2010 Winter MST Pr..,Match Point,ByuL,Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,ByuL,Win,
+,10-10-26,Shinhan10-11 Prole..,Circuit Breaker,Flash,Loss,
+,10-10-19,Shinhan10-11 Prole..,Grand Line SE,Classic,Loss,
+,10-10-16,Shinhan10-11 Prole..,Aztec,Crazy-Hydra,Win,
