,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-05,Shinhan10-11 Prole..,New Bloody Ridge,Woon,Loss,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Last,Loss,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Last,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,HyuN,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,HyuN,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,M18M,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,M18M,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,M18M,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,KangTaeWan,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,KangTaeWan,Win,
+,11-05-16,Shinhan10-11 Prole..,Neo Aztec,JangBi,Loss,
+,11-04-30,Shinhan10-11 Prole..,Beltway,HiyA,Win,
+,11-03-09,SWL 2011,Icarus,Kal,Loss,
+,11-03-03,2011 Spring MST Pr..,La Mancha,Pusan,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Pusan,Loss,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Pusan,Win,
+,11-03-01,SWL 2011,Aztec,HyuN,Loss,
+,11-03-01,SWL 2011,Fortress SE,Jaehoon,Win,
+,11-01-26,SWL 2011,Benzene,Grape,Loss,
+,10-10-29,2010 Winter OSL Pr..,Aztec,sKyHigh,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,sKyHigh,Loss,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Brave,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Brave,Loss,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Brave,Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,RuBy,Loss,
+,10-10-28,2010 Winter MST Pr..,Triathlon,RuBy,Loss,
+,10-10-28,2010 Winter MST Pr..,Match Point,RuBy,Win,
+,10-10-28,2010 Winter MST Pr..,Triathlon,Nbs,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,Nbs,Loss,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,Nbs,Win,
+,10-08-10,STX Masters 2010,Fighting Spirit,Neo.G_Soulkey,Loss,
+,10-07-24,Shinhan09-10 Prole..,Roadrunner,s2,Loss,
+,10-06-24,KeSPA 09-10 Dream ..,Fortress,ZerG[kaL],Loss,
+,10-06-17,KeSPA 09-10 Dream ..,Match Point,Trap,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,Snow,Loss,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,Snow,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,Hwan,Win,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,Hwan,Loss,
+,10-06-11,2010 Summer OSL Pr..,Match Point,Hwan,Win,
+,10-06-03,KeSPA 09-10 Dream ..,Judgment Day,BByong,Loss,
+,10-05-27,2010 Summer MST Pr..,Odd-Eye 2,Special,Loss,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,Special,Win,
+,10-05-27,2010 Summer MST Pr..,Match Point,Special,Loss,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,ModeL,Win,
+,10-05-27,2010 Summer MST Pr..,Match Point,ModeL,Loss,
+,10-05-27,2010 Summer MST Pr..,Odd-Eye 2,ModeL,Win,
+,10-05-13,KeSPA 09-10 Dream ..,Judgment Day,Ample,Win,
+,10-05-13,KeSPA 09-10 Dream ..,Judgment Day,Neo.G_Soulkey,Loss,
+,10-05-06,KeSPA 09-10 Dream ..,Judgment Day,Dear,Win,
+,10-03-04,MBC Survivor 19th,Match Point,HyuN,Loss,
+,10-03-04,MBC Survivor 19th,Fighting Spirit,Stork,Loss,
+,10-02-21,Shinhan 2010 Winne..,Roadrunner,free,Loss,
+,10-02-21,Shinhan 2010 Winne..,New Tornado,GuemChi,Win,
+,10-02-05,2010 Spring OSL Pr..,Fighting Spirit,Tempest,Loss,
+,10-02-05,2010 Spring OSL Pr..,Eye of the Storm,Tempest,Loss,
+,10-02-04,2010 Spring MST Pr..,Match Point,Lomo,Win,
+,10-02-04,2010 Spring MST Pr..,Fighting Spirit,Lomo,Win,
+,10-02-04,2010 Spring MST Pr..,Match Point,Tyson,Win,
+,10-02-04,2010 Spring MST Pr..,Fighting Spirit,Tyson,Loss,
+,10-02-04,2010 Spring MST Pr..,Odd-Eye,Tyson,Win,
+,10-02-04,2010 Spring MST Pr..,Odd-Eye,Nbs,Win,
+,10-02-04,2010 Spring MST Pr..,Match Point,Nbs,Win,
+,09-09-30,2009 Fall OSL Prel..,Return of the King,MVP,Loss,
+,09-09-30,2009 Fall OSL Prel..,Destination,MVP,Loss,
+,09-09-30,2009 Fall OSL Prel..,Heartbreak Ridge,MVP,Win,
+,09-09-29,2009 Fall MST Prel..,Destination,Miracle,Loss,
+,09-09-29,2009 Fall MST Prel..,Heartbreak Ridge,Miracle,Win,
+,09-09-29,2009 Fall MST Prel..,Byzantium 3,Miracle,Loss,
+,09-09-29,2009 Fall MST Prel..,Destination,PuMa,Win,
