,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-05,Shinhan10-11 Prole..,La Mancha,Chavi,Loss,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,Pure,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Pure,Win,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,mini,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,mini,Loss,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,mini,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,cOre[kaL],Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,cOre[kaL],Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,cOre[kaL],Win,
+,11-06-08,Shinhan10-11 Prole..,La Mancha,HoeJJa,Win,
+,11-05-21,Shinhan10-11 Prole..,Icarus,BByong,Win,
+,11-05-18,Shinhan10-11 Prole..,Icarus,Crazy-Hydra,Loss,
+,11-05-10,Shinhan10-11 Prole..,Circuit Breaker,Tyson,Loss,
+,11-05-08,Shinhan10-11 Prole..,Circuit Breaker,BeSt,Win,
+,11-04-26,Shinhan10-11 Prole..,Beltway,Iris,Loss,
+,11-03-21,SWL 2011,Fortress SE,Calm,Loss,
+,11-03-05,SWL 2011,Empire of the Sun,Jaedong,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Food5,Loss,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Food5,Loss,
+,11-02-21,SWL 2011,Fortress SE,Sea,Loss,
+,11-01-26,SWL 2011,Empire of the Sun,Shine,Loss,
+,11-01-26,SWL 2011,Bloody Ridge,BaBy,Win,
+,11-01-26,SWL 2011,La Mancha,RorO,Win,
+,11-01-19,SWL 2011,La Mancha,firebathero,Win,
+,11-01-19,SWL 2011,Fortress SE,GoRush,Win,
+,11-01-19,SWL 2011,Empire of the Sun,ggaemo,Win,
+,10-12-27,Shinhan10-11 Prole..,Circuit Breaker,Iris,Loss,
+,10-12-21,Shinhan10-11 Prole..,Empire of the Sun,Fantasy,Win,
+,10-12-14,Shinhan10-11 Prole..,Grand Line SE,Leta,Loss,
+,10-12-06,Shinhan10-11 Prole..,Fortress,Trap,Loss,
+,10-11-30,Shinhan10-11 Prole..,Fortress,Flash,Loss,
+,10-11-14,Shinhan10-11 Prole..,Grand Line SE,RuBy,Win,
+,10-11-06,Shinhan10-11 Prole..,Fortress,HiyA,Win,
+,10-11-03,Shinhan10-11 Prole..,Empire of the Sun,Kwanro,Win,
+,10-11-01,Shinhan10-11 Prole..,Empire of the Sun,HoeJJa,Win,
+,10-10-29,2010 Winter OSL Pr..,Aztec,n.Die_soO,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,n.Die_soO,Win,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,n.Die_soO,Loss,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Lazy,Win,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Lazy,Win,
+,10-10-28,2010 Winter MST Pr..,Triathlon,Orion,Loss,
+,10-10-28,2010 Winter MST Pr..,Match Point,Orion,Loss,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,Orion,Win,
+,10-10-25,Shinhan10-11 Prole..,Empire of the Sun,Orion,Win,
+,10-10-23,Shinhan10-11 Prole..,Fortress,Really,Win,
+,10-10-17,Shinhan10-11 Prole..,Grand Line SE,Modesty,Win,
+,10-07-12,Shinhan09-10 Prole..,Fighting Spirit,NaDa,Loss,
