,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-04,Shinhan10-11 Prole..,Neo Aztec,Fantasy,Win,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,BisAnG,Win,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,BisAnG,Loss,
+,11-06-30,2011 Summer MST Pr..,La Mancha,BisAnG,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Rock,Win,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Rock,Win,
+,11-06-29,Shinhan10-11 Prole..,Alternative,Woon,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Sharp,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Bogus,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Bogus,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Stats,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Stats,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Stats,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Much,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Much,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,ajuk12,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,ajuk12,Win,
+,11-06-02,KeSPA 10-11 Dream ..,Neo Aztec,hyvaa,Win,
+,11-05-12,KeSPA 10-11 Dream ..,Icarus,hOpe,Loss,
+,11-05-04,Shinhan10-11 Prole..,Neo Aztec,PianO,Loss,
+,11-04-28,KeSPA 10-11 Dream ..,Beltway,Classic,Win,
+,11-04-28,KeSPA 10-11 Dream ..,Circuit Breaker,Last,Win,
+,11-04-28,KeSPA 10-11 Dream ..,Icarus,Progamer,Win,
+,11-04-28,KeSPA 10-11 Dream ..,Neo Aztec,Trap,Win,
+,11-04-21,KeSPA 10-11 Dream ..,Icarus,HoeJJa,Win,
+,11-04-21,KeSPA 10-11 Dream ..,La Mancha,sHy,Loss,
+,11-04-21,KeSPA 10-11 Dream ..,Aztec,Ryul2,Win,
+,11-04-14,KeSPA 10-11 Dream ..,Circuit Breaker,n.Die_soO,Win,
+,11-03-17,MBC Survivor 22nd,Dante&#039;s Pea..,Tyson,Loss,
+,11-03-17,MBC Survivor 22nd,Empire of the Sun,free,Loss,
+,11-03-17,MBC Survivor 22nd,Circuit Breaker,Tyson,Win,
+,11-03-10,KeSPA 10-11 Dream ..,Aztec,Dream.t)check,Win,
+,11-03-10,KeSPA 10-11 Dream ..,Icarus,Woon,Win,
+,11-02-10,KeSPA 10-11 Dream ..,Icarus,Dream.t)check,Win,
+,11-01-27,KeSPA 10-11 Dream ..,Benzene,Sky,Loss,
+,11-01-08,SWL 2011,La Mancha,RorO,Loss,
+,11-01-08,SWL 2011,Aztec,herO[jOin],Win,
+,10-12-23,KeSPA 10-11 Dream ..,Bloody Ridge,Lizzy,Win,
+,10-12-23,KeSPA 10-11 Dream ..,Aztec,Sea.Hak,Win,
+,10-12-16,PDPop MSL,Benzene,Classic,Loss,
