,Date&nbsp;,League,Map,Opponent,Result,
+,11-03-07,SWL 2011,Icarus,RorO,Loss,
+,11-02-16,SWL 2011,Fortress SE,Movie,Loss,
+,10-12-25,Shinhan10-11 Prole..,Fortress,Shuttle,Win,
+,10-12-19,Shinhan10-11 Prole..,Fortress,Fantasy,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Neo.G_Soulkey,Loss,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Neo.G_Soulkey,Loss,
+,10-10-28,2010 Winter MST Pr..,Match Point,Paralyze,Loss,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,Paralyze,Loss,
+,10-06-22,Shinhan09-10 Prole..,Match Point,Britney,Win,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,HyuN,Loss,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,HyuN,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,Virus,Win,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,Virus,Win,
+,10-06-11,2010 Summer OSL Pr..,Match Point,Virus,Loss,
+,10-05-27,2010 Summer MST Pr..,Odd-Eye 2,RorO,Loss,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,RorO,Loss,
+,10-05-27,2010 Summer MST Pr..,Odd-Eye 2,Twilight,Win,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,Twilight,Loss,
+,10-05-27,2010 Summer MST Pr..,Match Point,Twilight,Win,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,SonGDuri,Win,
+,10-05-27,2010 Summer MST Pr..,Match Point,SonGDuri,Loss,
+,10-05-27,2010 Summer MST Pr..,Odd-Eye 2,SonGDuri,Win,
+,10-05-01,Shinhan09-10 Prole..,Polaris Rhapsody,hero,Loss,
+,10-04-19,Shinhan09-10 Prole..,Roadrunner,HiyA,Loss,
+,10-02-05,2010 Spring OSL Pr..,Match Point,Kal,Loss,
+,10-02-05,2010 Spring OSL Pr..,Fighting Spirit,Kal,Loss,
+,10-02-05,2010 Spring OSL Pr..,Fighting Spirit,fOru,Win,
+,10-02-05,2010 Spring OSL Pr..,Eye of the Storm,fOru,Win,
+,10-02-04,2010 Spring MST Pr..,Fighting Spirit,By.Rage,Loss,
+,10-02-04,2010 Spring MST Pr..,Odd-Eye,By.Rage,Win,
+,10-02-04,2010 Spring MST Pr..,Match Point,By.Rage,Loss,
+,10-01-27,Shinhan 2010 Winne..,Judgment Day,Flying,Loss,
+,10-01-27,Shinhan 2010 Winne..,Fighting Spirit,Bomber,Win,
+,09-12-22,Shinhan09-10 Prole..,Neo Moon Glaive,Canata,Loss,
+,09-09-30,2009 Fall OSL Prel..,Heartbreak Ridge,great,Loss,
+,09-09-30,2009 Fall OSL Prel..,Return of the King,great,Win,
