,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-01,ODT2011-1,La Mancha,Hyuk,Loss,
+,11-07-01,ODT2011-1,Gladiator,BaBy,Loss,
+,11-07-01,ODT2011-1,New Bloody Ridge,hero,Win,
+,11-06-27,Shinhan10-11 Prole..,New Empire of th..,firebathero,Loss,
+,11-06-21,Shinhan10-11 Prole..,New Empire of th..,HiyA,Win,
+,11-06-13,Shinhan10-11 Prole..,Alternative,Calm,Loss,
+,11-06-07,Shinhan10-11 Prole..,New Bloody Ridge,Hyuk,Loss,
+,11-06-05,Shinhan10-11 Prole..,New Bloody Ridge,Jaehoon,Loss,
+,11-05-22,Shinhan10-11 Prole..,Alternative,Calm,Loss,
+,11-05-17,Shinhan10-11 Prole..,New Bloody Ridge,Peace,Win,
+,11-05-15,Shinhan10-11 Prole..,Alternative,Crazy-Hydra,Win,
+,11-05-07,Shinhan10-11 Prole..,Icarus,HyuN,Loss,
+,11-05-04,Shinhan10-11 Prole..,Circuit Breaker,Bisu,Loss,
+,11-05-02,Shinhan10-11 Prole..,New Bloody Ridge,Grape,Win,
+,11-04-26,Shinhan10-11 Prole..,La Mancha,Midas,Win,
+,11-04-14,ABC Mart MSL,Dante&#039;s Pea..,firebathero,Loss,
+,11-04-14,ABC Mart MSL,Circuit Breaker,Mind,Loss,
+,11-03-21,SWL 2011,Aztec,HyuN,Loss,
+,11-03-19,SWL 2011,Circuit Breaker,Stats,Loss,
+,11-03-17,MBC Survivor 22nd,Empire of the Sun,Where,Win,
+,11-03-17,MBC Survivor 22nd,Circuit Breaker,Canata,Win,
+,11-03-13,SWL 2011,Aztec,Shine,Win,
+,11-03-13,SWL 2011,Empire of the Sun,Pure,Win,
+,11-03-13,SWL 2011,Bloody Ridge,RorO,Win,
+,11-03-08,SWL 2011,Bloody Ridge,s2,Loss,
+,11-03-08,SWL 2011,La Mancha,Bisu,Win,
+,11-03-05,SWL 2011,Benzene,firebathero,Loss,
+,11-01-24,SWL 2011,La Mancha,Fantasy,Loss,
+,11-01-19,SWL 2011,Circuit Breaker,Jaedong,Loss,
+,11-01-19,SWL 2011,Icarus,Lomo,Win,
+,11-01-16,SWL 2011,Benzene,FrOzen,Loss,
+,11-01-12,SWL 2011,Fortress SE,ggaemo,Loss,
+,11-01-12,SWL 2011,Empire of the Sun,RuBy,Win,
+,11-01-12,SWL 2011,Bloody Ridge,Much,Win,
+,11-01-12,SWL 2011,Circuit Breaker,Iris,Win,
+,11-01-09,SWL 2011,La Mancha,Sea,Loss,
+,11-01-09,SWL 2011,Benzene,HyuN,Win,
+,10-12-28,Shinhan10-11 Prole..,Aztec,Modesty,Loss,
+,10-12-28,Shinhan10-11 Prole..,Circuit Breaker,Calm,Loss,
+,10-12-26,Shinhan10-11 Prole..,Circuit Breaker,Midas,Win,
+,10-12-24,Bacchus2010 OSL,Pathfinder,Modesty,Win,
+,10-12-21,Shinhan10-11 Prole..,Fortress,Snow,Loss,
+,10-12-17,Bacchus2010 OSL,Gladiator,Fantasy,Loss,
+,10-12-16,PDPop MSL,Circuit Breaker,Snow,Loss,
+,10-12-16,PDPop MSL,Benzene,Stats,Win,
+,10-12-16,PDPop MSL,Triathlon,Snow,Loss,
+,10-12-12,Shinhan10-11 Prole..,Grand Line SE,great,Loss,
+,10-12-10,Bacchus2010 OSL,Aztec,Hydra,Loss,
+,10-12-08,Shinhan10-11 Prole..,Benzene,s2,Loss,
+,10-12-01,Shinhan10-11 Prole..,Empire of the Sun,HiyA,Win,
+,10-11-29,Shinhan10-11 Prole..,Circuit Breaker,Sea,Loss,
+,10-11-18,MBC Survivor 21st,Circuit Breaker,HoGiL,Win,
+,10-11-18,MBC Survivor 21st,Aztec,Reality,Win,
+,10-11-16,Shinhan10-11 Prole..,Fortress,FrOzen,Win,
+,10-11-13,Shinhan10-11 Prole..,Central Plains,PerfectMan,Win,
+,10-11-10,Shinhan10-11 Prole..,Aztec,Tempest,Win,
+,10-11-07,Shinhan10-11 Prole..,Grand Line SE,Light,Loss,
+,10-11-03,Shinhan10-11 Prole..,Fortress,Hydra,Loss,
+,10-11-03,Shinhan10-11 Prole..,Circuit Breaker,Hydra,Win,
+,10-10-26,Shinhan10-11 Prole..,Central Plains,BeSt,Loss,
+,10-10-23,Shinhan10-11 Prole..,Benzene,Grape,Win,
+,10-10-18,Shinhan10-11 Prole..,Central Plains,Mind,Win,
+,10-10-16,Shinhan10-11 Prole..,Central Plains,ggaemo,Win,
+,10-09-03,Korean Air OSL S2,Eye of the Storm,Flash,Loss,
+,10-09-03,Korean Air OSL S2,Polaris Rhapsody,Flash,Win,
+,10-09-03,Korean Air OSL S2,Flight-Dreamliner,Flash,Loss,
+,10-09-03,Korean Air OSL S2,Grand Line SE,Flash,Loss,
+,10-08-27,Korean Air OSL S2,Flight-Dreamliner,ZerO,Win,
+,10-08-20,Korean Air OSL S2,Grand Line SE,ZerO,Win,
+,10-08-16,STX Masters 2010,Grand Line SE,Modesty,Loss,
+,10-08-11,Korean Air OSL S2,Polaris Rhapsody,Stork,Win,
+,10-08-08,STX Masters 2010,Match Point,Jaedong,Loss,
+,10-08-05,WCG2010 Korea,Fighting Spirit,Pure,Loss,
+,10-08-05,WCG2010 Korea,Polaris Rhapsody,Pure,Win,
+,10-08-05,WCG2010 Korea,Grand Line SE,Pure,Loss,
+,10-08-02,Korean Air OSL S2,Grand Line SE,Fantasy,Win,
+,10-07-30,Korean Air OSL S2,Eye of the Storm,Kal,Win,
+,10-07-11,Shinhan09-10 Prole..,Match Point,Grape,Win,
+,10-07-08,Bigfile MSL,Fighting Spirit,fOrGG,Loss,
+,10-07-08,Bigfile MSL,Polaris Rhapsody,HoGiL,Win,
+,10-07-08,Bigfile MSL,Odd-Eye 3,Hyuk,Loss,
+,10-07-07,Shinhan09-10 Prole..,Polaris Rhapsody,Modesty,Win,
+,10-07-04,Shinhan09-10 Prole..,Match Point,Pure,Win,
+,10-06-28,Shinhan09-10 Prole..,Match Point,Flash,Win,
+,10-06-22,Shinhan09-10 Prole..,Fighting Spirit,Pusan,Loss,
+,10-06-18,Korean Air OSL S2,Flight-Dreamliner,Calm,Win,
+,10-06-18,Korean Air OSL S2,Eye of the Storm,Calm,Win,
+,10-06-16,Korean Air OSL S2,Flight-Dreamliner,Canata,Win,
+,10-06-16,Korean Air OSL S2,Eye of the Storm,Canata,Win,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,Sea,Loss,
