,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,PianO,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,PianO,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Hwan,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Hwan,Win,
+,11-06-08,Shinhan10-11 Prole..,Icarus,Action,Loss,
+,11-06-06,Shinhan10-11 Prole..,Neo Aztec,Kal,Loss,
+,11-06-06,Shinhan10-11 Prole..,Alternative,Calm,Loss,
+,11-05-16,Shinhan10-11 Prole..,Alternative,Wooki,Loss,
+,11-05-10,Shinhan10-11 Prole..,Beltway,Lazy,Win,
+,11-05-08,Shinhan10-11 Prole..,Neo Aztec,Bisu,Loss,
+,11-04-30,Shinhan10-11 Prole..,Alternative,hero,Win,
+,11-04-30,Shinhan10-11 Prole..,Icarus,Classic,Win,
+,11-04-26,Shinhan10-11 Prole..,Icarus,Iris,Loss,
+,11-04-26,Shinhan10-11 Prole..,Neo Aztec,PianO,Win,
+,11-04-24,Shinhan10-11 Prole..,Circuit Breaker,Jaedong,Win,
+,11-04-16,ABC Mart MSL,Monte Cristo,Hyuk,Loss,
+,11-04-16,ABC Mart MSL,La Mancha,Leta,Loss,
+,11-04-16,ABC Mart MSL,Circuit Breaker,Classic,Win,
+,11-03-19,SWL 2011,La Mancha,BaBy,Loss,
+,11-03-15,SWL 2011,Icarus,ZerO,Loss,
+,11-03-13,SWL 2011,Bloody Ridge,Stats,Loss,
+,11-03-13,SWL 2011,Circuit Breaker,BarrackS,Win,
+,11-03-08,SWL 2011,Aztec,Horang2,Loss,
+,11-03-05,SWL 2011,Fortress SE,Jaedong,Loss,
+,11-03-02,SWL 2011,Aztec,Much,Win,
+,11-02-19,PDPop MSL,Triathlon,Hydra,Loss,
+,11-02-19,PDPop MSL,Benzene,Hydra,Loss,
+,11-02-19,PDPop MSL,Circuit Breaker,Hydra,Loss,
+,11-02-19,PDPop MSL,Dante&#039;s Peak,Hydra,Win,
+,11-02-15,SWL 2011,Aztec,Stats,Loss,
+,11-02-12,SWL 2011,Circuit Breaker,Really,Loss,
+,11-02-12,SWL 2011,Icarus,Neo.G_Soulkey,Win,
+,11-02-10,PDPop MSL,Benzene,ZerO,Win,
+,11-02-10,PDPop MSL,Dante&#039;s Peak,ZerO,Win,
+,11-02-10,PDPop MSL,Triathlon,ZerO,Loss,
+,11-02-10,PDPop MSL,Circuit Breaker,ZerO,Win,
+,11-01-30,SWL 2011,Icarus,n.Die_soO,Loss,
+,11-01-29,PDPop MSL,Benzene,Kal,Win,
+,11-01-29,PDPop MSL,Circuit Breaker,Kal,Win,
+,11-01-29,PDPop MSL,Dante&#039;s Peak,Kal,Loss,
+,11-01-29,PDPop MSL,Triathlon,Kal,Loss,
+,11-01-24,SWL 2011,Bloody Ridge,Hydra,Loss,
+,11-01-20,PDPop MSL,Benzene,Kal,Win,
+,11-01-16,SWL 2011,La Mancha,Jaehoon,Loss,
+,11-01-13,PDPop MSL,Dante&#039;s Peak,Action,Win,
+,11-01-09,SWL 2011,Bloody Ridge,Shuttle,Loss,
+,11-01-09,SWL 2011,Icarus,Calm,Win,
+,11-01-06,PDPop MSL,Benzene,Action,Win,
+,10-12-29,Shinhan10-11 Prole..,Grand Line SE,Midas,Loss,
+,10-12-27,Shinhan10-11 Prole..,Grand Line SE,ggaemo,Win,
+,10-12-27,Shinhan10-11 Prole..,Empire of the Sun,firebathero,Win,
+,10-12-25,PDPop MSL,Circuit Breaker,Neo.G_Soulkey,Win,
+,10-12-25,PDPop MSL,Benzene,Leta,Win,
