,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-01,ODT2011-1,Gladiator,Hyuk,Loss,
+,11-07-01,ODT2011-1,New Bloody Ridge,free,Loss,
+,11-06-28,Shinhan10-11 Prole..,New Empire of th..,Sky,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Leta,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Leta,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,PerfectMan,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,PerfectMan,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Reach,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Reach,Win,
+,11-06-15,Shinhan10-11 Prole..,La Mancha,Sang,Loss,
+,11-06-06,Shinhan10-11 Prole..,Neo Beltway,Juni,Loss,
+,11-05-16,Shinhan10-11 Prole..,Alternative,Alone,Loss,
+,11-05-14,Shinhan10-11 Prole..,New Empire of th..,Leta,Loss,
+,11-05-09,Shinhan10-11 Prole..,Circuit Breaker,Iris,Loss,
+,11-05-05,ABC Mart MSL,Monte Cristo,ZerO,Loss,
+,11-05-03,Shinhan10-11 Prole..,New Empire of th..,Tyson,Loss,
+,11-04-30,ABC Mart MSL,Circuit Breaker,ZerO,Loss,
+,11-04-30,Shinhan10-11 Prole..,Alternative,great,Loss,
+,11-04-30,Shinhan10-11 Prole..,Neo Aztec,JangBi,Win,
+,11-04-27,Shinhan10-11 Prole..,Circuit Breaker,BarrackS,Loss,
+,11-04-16,ABC Mart MSL,Circuit Breaker,Snow,Win,
+,11-04-16,ABC Mart MSL,Monte Cristo,Grape,Loss,
+,11-04-16,ABC Mart MSL,Dante&#039;s Pea..,Snow,Win,
+,11-03-29,MBC Survivor 22nd,Dante&#039;s Pea..,Ssak,Win,
+,11-03-29,MBC Survivor 22nd,Empire of the Sun,Stats,Win,
+,11-03-29,MBC Survivor 22nd,Circuit Breaker,Ssak,Loss,
+,11-03-21,SWL 2011,Circuit Breaker,Stork,Loss,
+,11-03-21,SWL 2011,La Mancha,JangBi,Win,
+,11-03-14,SWL 2011,Fortress SE,Tyson,Loss,
+,11-03-14,SWL 2011,Benzene,Jaehoon,Win,
+,11-03-12,SWL 2011,Empire of the Sun,HiyA,Loss,
+,11-03-12,SWL 2011,Aztec,Killer,Win,
+,11-03-12,SWL 2011,Fortress SE,Sky,Win,
+,11-03-06,SWL 2011,Bloody Ridge,Movie,Loss,
+,11-03-03,2011 Spring MST Pr..,La Mancha,Anytime,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Anytime,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Minus)Black,Win,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Minus)Black,Win,
+,11-02-26,SWL 2011,Benzene,Fantasy,Loss,
+,11-02-21,SWL 2011,Empire of the Sun,Really,Loss,
+,11-02-21,SWL 2011,Bloody Ridge,Flying,Win,
+,11-02-21,SWL 2011,Icarus,ZerO,Win,
+,11-02-12,SWL 2011,Empire of the Sun,Light,Loss,
+,11-01-23,SWL 2011,Fortress SE,Violet,Loss,
+,11-01-18,SWL 2011,Bloody Ridge,Hydra,Loss,
+,11-01-18,SWL 2011,Circuit Breaker,Leta,Win,
+,11-01-11,SWL 2011,Empire of the Sun,Bisu,Loss,
+,11-01-09,SWL 2011,La Mancha,JangBi,Loss,
+,10-12-28,Shinhan10-11 Prole..,Grand Line SE,PianO,Win,
+,10-12-25,Shinhan10-11 Prole..,Grand Line SE,ggaemo,Win,
+,10-12-20,Shinhan10-11 Prole..,Aztec,Shine,Loss,
+,10-12-18,Shinhan10-11 Prole..,Empire of the Sun,Leta,Loss,
+,10-12-13,Shinhan10-11 Prole..,Circuit Breaker,Jaedong,Loss,
+,10-12-11,Shinhan10-11 Prole..,Fortress,Tiny,Win,
+,10-12-06,Shinhan10-11 Prole..,Circuit Breaker,Reality,Win,
+,10-12-01,Shinhan10-11 Prole..,Circuit Breaker,Ssak,Loss,
+,10-11-28,Shinhan10-11 Prole..,Icarus,HoeJJa,Win,
+,10-11-25,MBC Survivor 21st,Triathlon,PerfectMan,Loss,
+,10-11-25,MBC Survivor 21st,Circuit Breaker,Leta,Loss,
+,10-11-25,MBC Survivor 21st,Aztec,PerfectMan,Win,
+,10-11-13,Shinhan10-11 Prole..,Icarus,n.Die_soO,Win,
+,10-11-04,MBC Survivor 21st,Circuit Breaker,Kal,Loss,
+,10-11-03,Bacchus2010 OSL,Gladiator,Mind,Loss,
+,10-11-03,Bacchus2010 OSL,Pathfinder,Mind,Loss,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Calm,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,fOrGG,Win,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Paralyze,Win,
+,10-10-29,2010 Winter OSL Pr..,Aztec,n.Die_soO,Win,
