,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-01,ODT2011-1,La Mancha,Paralyze,Win,
+,11-07-01,ODT2011-1,Gladiator,HiyA,Loss,
+,11-07-01,ODT2011-1,New Bloody Ridge,Paralyze,Win,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,Anyppi,Loss,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Anyppi,Win,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Anyppi,Loss,
+,11-06-26,Shinhan10-11 Prole..,Alternative,Hydra,Loss,
+,11-06-21,Shinhan10-11 Prole..,New Bloody Ridge,ggaemo,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Grape,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Grape,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Grape,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Bisu,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Bisu,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Bisu,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Lomo,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Lomo,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,hudadak,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,hudadak,Win,
+,11-06-15,Shinhan10-11 Prole..,Circuit Breaker,Sea,Loss,
+,11-06-13,Shinhan10-11 Prole..,New Bloody Ridge,Flying,Win,
+,11-06-06,Shinhan10-11 Prole..,La Mancha,Stork,Loss,
+,11-06-02,KeSPA 10-11 Dream ..,Neo Aztec,Where,Loss,
+,11-05-26,KeSPA 10-11 Dream ..,New Bloody Ridge,Sky,Loss,
+,11-05-22,Shinhan10-11 Prole..,Neo Aztec,Light,Loss,
+,11-05-19,KeSPA 10-11 Dream ..,Alternative,hOn_sin,Win,
+,11-05-19,KeSPA 10-11 Dream ..,Icarus,Woon,Win,
+,11-05-19,KeSPA 10-11 Dream ..,Neo Aztec,Flying,Win,
+,11-05-16,Shinhan10-11 Prole..,Neo Aztec,PerfectMan,Win,
+,11-05-09,Shinhan10-11 Prole..,Icarus,M18M,Win,
+,11-05-03,Shinhan10-11 Prole..,Beltway,ZerG[kaL],Win,
+,11-04-30,Shinhan10-11 Prole..,New Bloody Ridge,Juni,Win,
+,11-04-14,KeSPA 10-11 Dream ..,Aztec,BisAnG,Loss,
+,11-03-17,KeSPA 10-11 Dream ..,Circuit Breaker,yeOngJae,Loss,
+,11-03-17,KeSPA 10-11 Dream ..,Icarus,Anyppi,Win,
+,11-03-17,KeSPA 10-11 Dream ..,Icarus,Tempest,Win,
+,11-03-03,2011 Spring MST Pr..,La Mancha,Horang2,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Horang2,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Bee,Win,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Bee,Win,
+,11-02-23,SWL 2011,Fortress SE,M18M,Win,
+,11-02-10,KeSPA 10-11 Dream ..,Circuit Breaker,GuemChi,Loss,
+,11-02-10,KeSPA 10-11 Dream ..,Icarus,Minus)Black,Win,
+,11-02-10,KeSPA 10-11 Dream ..,La Mancha,Woon,Win,
+,11-01-27,KeSPA 10-11 Dream ..,Aztec,Always,Win,
+,11-01-27,KeSPA 10-11 Dream ..,Circuit Breaker,Sharp,Win,
+,11-01-27,KeSPA 10-11 Dream ..,Icarus,ByuL,Win,
+,11-01-27,KeSPA 10-11 Dream ..,Bloody Ridge,BByong,Loss,
+,11-01-20,KeSPA 10-11 Dream ..,Aztec,sHy,Loss,
+,11-01-06,KeSPA 10-11 Dream ..,Bloody Ridge,Sang,Win,
+,10-12-23,KeSPA 10-11 Dream ..,Benzene,Klaus,Loss,
+,10-12-23,KeSPA 10-11 Dream ..,Circuit Breaker,Sea.Hak,Win,
+,10-12-23,KeSPA 10-11 Dream ..,Aztec,Tempest,Loss,
+,10-12-23,KeSPA 10-11 Dream ..,Empire of the Sun,Ample,Win,
+,10-11-27,MBC Survivor 21st,Circuit Breaker,Where,Loss,
+,10-11-27,MBC Survivor 21st,Aztec,Stats,Loss,
