,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-24,Homestory Cup #3,Terminus SE,Tarson,Loss,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,Tarson,Loss,
+,11-06-24,Homestory Cup #3,Tal&#039;Darim A..,Tarson,Win,
+,11-06-24,Homestory Cup #3,Xel&#039;Naga Ca..,NaNiwa,Loss,
+,11-06-24,Homestory Cup #3,Terminus SE,NaNiwa,Win,
+,11-06-24,Homestory Cup #3,Metalopolis 1.1,NaNiwa,Loss,
+,11-06-18,2011 Dreamhack Sum..,Shakuras Plateau..,NightEnD,Win,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,NightEnD,Win,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,NightEnD,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,Socke,Loss,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,Socke,Loss,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,DieStar,Win,
+,11-06-18,2011 Dreamhack Sum..,Shakuras Plateau..,DieStar,Win,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,BRAT_OK,Loss,
+,11-06-18,2011 Dreamhack Sum..,Shakuras Plateau..,BRAT_OK,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,MorroW,Win,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,MorroW,Win,
+,11-06-13,GameCreds Cup #18,The Shattered Te..,Beastyqt,Win,
+,11-06-13,GameCreds Cup #18,Shakuras Plateau..,Beastyqt,Win,
+,11-06-13,GameCreds Cup #18,iCCup Neo Enigma,Beastyqt,Loss,
+,11-06-13,GameCreds Cup #18,iCCup Testbug,Beastyqt,Win,
+,11-06-13,GameCreds Cup #18,Tal&#039;Darim A..,Beastyqt,Loss,
+,11-06-13,GameCreds Cup #18,iCCup Testbug,GoOdy,Win,
+,11-06-13,GameCreds Cup #18,The Shattered Te..,GoOdy,Loss,
+,11-06-13,GameCreds Cup #18,Shakuras Plateau..,GoOdy,Win,
+,11-06-13,GameCreds Cup #18,Metalopolis 1.1,Orly,Win,
+,11-06-13,GameCreds Cup #18,Xel&#039;Naga Ca..,Orly,Win,
+,11-06-11,Sennheiser Cup Fin..,Terminus SE,Tefel,Loss,
+,11-06-11,Sennheiser Cup Fin..,Tal&#039;Darim A..,Tefel,Win,
+,11-06-11,Sennheiser Cup Fin..,Shakuras Plateau..,Tefel,Loss,
+,11-06-07,EU Go4SC2 Final #13,The Shattered Te..,Happy,Loss,
+,11-06-07,EU Go4SC2 Final #13,Tal&#039;Darim A..,Happy,Loss,
+,11-06-02,4pl.de CC #2011-47,Xel&#039;Naga Ca..,Happy,Loss,
+,11-06-02,4pl.de CC #2011-47,Scrap Station,Happy,Win,
+,11-06-02,4pl.de CC #2011-47,iCCup Testbug,Happy,Loss,
+,11-06-02,4pl.de CC #2011-47,Typhon Peaks,Tefel,Win,
+,11-06-02,4pl.de CC #2011-47,Metalopolis,Tefel,Loss,
+,11-06-02,4pl.de CC #2011-47,Crevasse,Tefel,Win,
+,11-05-21,HD World Tournament,Crossfire SE,Strelok,Loss,
+,11-05-21,HD World Tournament,The Shattered Te..,Strelok,Loss,
+,11-05-21,HD World Tournament,Terminus RE,Strelok,Win,
+,11-05-21,HD World Tournament,Shakuras Plateau..,Strelok,Loss,
+,11-05-21,HD World Tournament,iCCup Testbug,Strelok,Loss,
+,11-05-21,HD World Tournament,Tal&#039;Darim A..,Strelok,Win,
+,11-05-21,HD World Tournament,Crevasse,Strelok,Win,
+,11-05-21,EU Champions Troph..,The Shattered Te..,Stephano,Loss,
+,11-05-21,EU Champions Troph..,Metalopolis,Stephano,Win,
+,11-05-21,EU Champions Troph..,Terminus SE,Stephano,Loss,
+,11-05-21,EU Champions Troph..,Xel&#039;Naga Ca..,Stephano,Loss,
+,11-05-21,EU Champions Troph..,Shakuras Plateau..,Stephano,Win,
+,11-05-21,EU Champions Troph..,Tal&#039;Darim A..,DeMusliM,Win,
+,11-05-21,EU Champions Troph..,Xel&#039;Naga Ca..,DeMusliM,Win,
+,11-05-21,EU Champions Troph..,Terminus SE,Satiini,Win,
+,11-05-21,EU Champions Troph..,Tal&#039;Darim A..,Satiini,Win,
+,11-05-21,EU Champions Troph..,Shakuras Plateau..,Naama,Win,
+,11-05-21,EU Champions Troph..,Xel&#039;Naga Ca..,Naama,Loss,
+,11-05-21,EU Champions Troph..,Tal&#039;Darim A..,Naama,Win,
+,11-05-16,GameCreds Cup #14,Xel&#039;Naga Ca..,ToD,Loss,
+,11-05-16,GameCreds Cup #14,Tal&#039;Darim A..,ToD,Loss,
+,11-05-16,GameCreds Cup #14,Shakuras Plateau..,ToD,Loss,
+,11-05-16,GameCreds Cup #14,iCCup Testbug,ToD,Win,
+,11-05-16,GameCreds Cup #14,Xel&#039;Naga Ca..,DieStar,Win,
+,11-05-16,GameCreds Cup #14,iCCup Pawn Re,DieStar,Win,
+,11-05-16,GameCreds Cup #14,Shakuras Plateau..,KsP,Win,
+,11-05-16,GameCreds Cup #14,Xel&#039;Naga Ca..,KsP,Win,
+,11-05-16,StarsWar Killer 6,Metalopolis,Hotmail,Loss,
+,11-05-16,StarsWar Killer 6,Xel&#039;Naga Ca..,Hotmail,Loss,
+,11-05-16,StarsWar Killer 6,Tal&#039;Darim A..,Hotmail,Win,
+,11-05-15,EU ZOTAC Cup #56,Crevasse,DieStar,Win,
+,11-05-15,EU ZOTAC Cup #56,Metalopolis,DieStar,Win,
+,11-05-15,EU ZOTAC Cup #56,iCCup Testbug,DieStar,Loss,
+,11-05-15,EU ZOTAC Cup #56,Xel&#039;Naga Ca..,DieStar,Win,
+,11-05-15,EU ZOTAC Cup #56,Tal&#039;Darim A..,RaNgeD,Win,
+,11-05-15,EU ZOTAC Cup #56,Xel&#039;Naga Ca..,RaNgeD,Loss,
+,11-05-15,EU ZOTAC Cup #56,The Shattered Te..,RaNgeD,Win,
+,11-05-12,HD World Tournament,Crevasse,Socke,Win,
+,11-05-12,HD World Tournament,Shakuras Plateau,Socke,Loss,
+,11-05-12,HD World Tournament,Tal&#039;Darim A..,Socke,Win,
+,11-05-12,HD World Tournament,iCCup Testbug,Socke,Loss,
+,11-05-10,HD World Tournament,Terminus SE,Socke,Win,
+,11-05-10,StarsWar Killer 6,Terminus SE,ToD,Win,
+,11-05-10,StarsWar Killer 6,Metalopolis,ToD,Win,
+,11-05-09,GameCreds Cup #13,Tal&#039;Darim A..,Kalin,Loss,
+,11-05-09,GameCreds Cup #13,Metalopolis,Kalin,Win,
+,11-05-09,GameCreds Cup #13,The Shattered Te..,Kalin,Loss,
+,11-05-09,GameCreds Cup #13,iCCup Pawn Re,Kalin,Win,
+,11-05-09,GameCreds Cup #13,iCCup Testbug,Kalin,Loss,
+,11-05-09,GameCreds Cup #13,Tal&#039;Darim A..,FuRy,Win,
+,11-05-09,GameCreds Cup #13,Xel&#039;Naga Ca..,FuRy,Loss,
+,11-05-09,GameCreds Cup #13,iCCup Pawn Re,FuRy,Win,
+,11-05-09,GameCreds Cup #13,iCCup Pawn Re,Laukyo,Win,
+,11-05-09,GameCreds Cup #13,Xel&#039;Naga Ca..,Laukyo,Win,
+,11-05-03,2011 Dailymotion C..,Xel&#039;Naga Ca..,Kalin,Loss,
+,11-05-03,2011 Dailymotion C..,The Shattered Te..,Kalin,Loss,
+,11-05-03,2011 Dailymotion C..,The Shattered Te..,Satiini,Loss,
+,11-05-03,2011 Dailymotion C..,Terminus SE,Satiini,Win,
+,11-05-03,2011 Dailymotion C..,Metalopolis 1.1,Satiini,Loss,
+,11-05-02,HD World Tournament,iCCup Testbug,iNcontroL,Win,
+,11-05-02,HD World Tournament,The Shattered Te..,iNcontroL,Loss,
+,11-05-02,HD World Tournament,Terminus SE,iNcontroL,Win,
+,11-05-02,GameCreds Cup #12,iCCup Testbug,Bly,Loss,
+,11-05-02,GameCreds Cup #12,iCCup Pawn Re,Bly,Loss,
+,11-05-02,GameCreds Cup #12,Shakuras Plateau,Kalin,Win,
+,11-05-02,GameCreds Cup #12,Xel&#039;Naga Ca..,Kalin,Win,
+,11-04-27,Black Dragon League,Xel&#039;Naga Ca..,GoOdy,Win,
+,11-04-27,Black Dragon League,Scrap Station,GoOdy,Win,
+,11-04-27,Black Dragon League,Lost Temple SC2,GoOdy,Loss,
+,11-04-23,StarsWar Killer 6,Metalopolis,Lyn,Win,
+,11-04-23,StarsWar Killer 6,Xel&#039;Naga Ca..,Lyn,Win,
+,11-04-20,Black Dragon League,Lost Temple SC2,Socke,Win,
+,11-04-20,Black Dragon League,Xel&#039;Naga Ca..,Socke,Win,
+,11-04-20,Black Dragon League,Jungle Basin,Socke,Loss,
+,11-04-17,HomerJ Ttesports Cup,Xel&#039;Naga Ca..,Kas,Loss,
+,11-04-17,HomerJ Ttesports Cup,Tal&#039;Darim A..,Kas,Win,
+,11-04-17,HomerJ Ttesports Cup,Terminus RE,Kas,Loss,
+,11-04-17,HomerJ Ttesports Cup,Unknown,Adelscott,Win,
+,11-04-17,HomerJ Ttesports Cup,Crossfire SE,Adelscott,Win,
+,11-04-14,HD World Tournament,The Shattered Te..,qxc,Win,
+,11-04-14,HD World Tournament,Tal&#039;Darim A..,qxc,Win,
+,11-04-07,CotH IM vs the World,Terminus RE,IMHappy,Loss,
+,11-04-01,2011 GSL WC,Shakuras Plateau..,San,Loss,
+,11-04-01,2011 GSL WC,Tal&#039;Darim A..,San,Win,
+,11-04-01,2011 GSL WC,Terminus SE,San,Loss,
+,11-04-01,2011 GSL WC,Scrap Station,San,Loss,
+,11-03-30,2011 GSL WC,Terminus SE,NesTea,Win,
+,11-03-30,2011 GSL WC,Xel&#039;Naga Ca..,NesTea,Win,
+,11-03-30,2011 GSL WC,Scrap Station,NesTea,Loss,
+,11-03-29,GSL WC: Korea vs W..,Terminus SE,NesTea,Loss,
+,11-03-29,GSL WC: Korea vs W..,Tal&#039;Darim A..,MVP,Win,
+,11-03-29,GSL WC: Korea vs W..,Shakuras Plateau..,July,Win,
+,11-03-23,Black Dragon League,Metalopolis,MaNa,Loss,
+,11-03-23,Black Dragon League,Shakuras Plateau,MaNa,Loss,
+,11-03-21,GameCreds Cup #6,Unknown,Nerchio,Loss,
+,11-03-21,GameCreds Cup #6,Unknown,Nerchio,Win,
+,11-03-21,GameCreds Cup #6,Unknown,Nerchio,Loss,
+,11-03-18,2011 GSL WC EU Qua..,Metalopolis,Naama,Win,
+,11-03-18,2011 GSL WC EU Qua..,Xel&#039;Naga Ca..,Naama,Win,
