,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-25,Homestory Cup #3,Xel&#039;Naga Ca..,Tarson,Loss,
+,11-06-25,Homestory Cup #3,The Shattered Te..,Tarson,Loss,
+,11-06-25,Homestory Cup #3,The Shattered Te..,Socke,Loss,
+,11-06-25,Homestory Cup #3,Shakuras Plateau..,Socke,Loss,
+,11-06-25,Homestory Cup #3,Crevasse,Socke,Win,
+,11-06-24,Homestory Cup #3,Metalopolis 1.1,Machine,Win,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,Machine,Win,
+,11-06-24,Homestory Cup #3,Tal&#039;Darim A..,DarKFoRcE,Win,
+,11-06-24,Homestory Cup #3,Metalopolis 1.1,DarKFoRcE,Loss,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,DarKFoRcE,Win,
+,11-06-24,Homestory Cup #3,Terminus SE,White-Ra,Loss,
+,11-06-24,Homestory Cup #3,The Shattered Te..,White-Ra,Loss,
+,11-06-19,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,elfi,Win,
+,11-06-19,2011 Dreamhack Sum..,Metalopolis 1.1,elfi,Loss,
+,11-06-19,2011 Dreamhack Sum..,Crossfire SE,elfi,Win,
+,11-06-19,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,PredY,Loss,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,PredY,Win,
+,11-06-19,2011 Dreamhack Sum..,Terminus SE,PredY,Loss,
+,11-06-19,2011 Dreamhack Sum..,Metalopolis 1.1,Osho,Win,
+,11-06-19,2011 Dreamhack Sum..,Tal&#039;Darim A..,Osho,Win,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,Osho,Loss,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,White-Ra,Loss,
+,11-06-19,2011 Dreamhack Sum..,Metalopolis 1.1,White-Ra,Loss,
+,11-06-19,2011 Dreamhack Sum..,Crevasse,Jinro,Win,
+,11-06-19,2011 Dreamhack Sum..,Crossfire SE,Jinro,Win,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,Jinro,Loss,
+,11-06-16,4pl.de CC #2011-51,Scrap Station,Underdark,Loss,
+,11-06-16,4pl.de CC #2011-51,The Shattered Te..,Underdark,Loss,
+,11-06-16,4pl.de CC #2011-51,Metalopolis,Happy,Loss,
+,11-06-16,4pl.de CC #2011-51,Terminus SE,Happy,Win,
+,11-06-16,4pl.de CC #2011-51,Crevasse,Happy,Loss,
+,11-06-13,GameCreds Cup #18,iCCup Testbug,DIMAGA,Loss,
+,11-06-13,GameCreds Cup #18,The Shattered Te..,DIMAGA,Win,
+,11-06-13,GameCreds Cup #18,Shakuras Plateau..,DIMAGA,Loss,
+,11-06-13,GameCreds Cup #18,The Shattered Te..,Fenix,Win,
+,11-06-13,GameCreds Cup #18,Xel&#039;Naga Ca..,Fenix,Win,
+,11-06-12,EU ZOTAC Cup #60,iCCup Testbug,Tarson,Win,
+,11-06-12,EU ZOTAC Cup #60,Terminus SE,Tarson,Win,
+,11-06-12,EU ZOTAC Cup #60,The Shattered Te..,Tarson,Win,
+,11-06-12,EU ZOTAC Cup #60,Crevasse,Indy,Win,
+,11-06-12,EU ZOTAC Cup #60,Shakuras Plateau..,Indy,Win,
+,11-06-12,EU ZOTAC Cup #60,Xel&#039;Naga Ca..,Indy,Loss,
+,11-06-12,EU ZOTAC Cup #60,Shakuras Plateau..,KingCobra,Win,
+,11-06-12,EU ZOTAC Cup #60,The Shattered Te..,KingCobra,Win,
+,11-06-11,NASL S1,Typhon Peaks,Ace,Loss,
+,11-06-11,NASL S1,Crevasse,Ace,Win,
+,11-06-11,NASL S1,Metalopolis 1.1,Ace,Loss,
+,11-06-11,Sennheiser Cup Fin..,Shakuras Plateau..,BRAT_OK,Loss,
