,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-26,Homestory Cup #3,Shakuras Plateau..,NaNiwa,Win,
+,11-06-26,Homestory Cup #3,The Shattered Te..,NaNiwa,Win,
+,11-06-26,Homestory Cup #3,Crossfire SE,NaNiwa,Win,
+,11-06-26,Homestory Cup #3,Metalopolis 1.1,NaNiwa,Loss,
+,11-06-26,Homestory Cup #3,Dual Sight,NaNiwa,Win,
+,11-06-26,Homestory Cup #3,Crevasse,MC,Win,
+,11-06-26,Homestory Cup #3,Dual Sight,MC,Loss,
+,11-06-26,Homestory Cup #3,Tal&#039;Darim A..,MC,Win,
+,11-06-26,Homestory Cup #3,Crossfire SE,MC,Win,
+,11-06-26,Homestory Cup #3,Crossfire SE,NaNiwa,Loss,
+,11-06-26,Homestory Cup #3,Terminus SE,NaNiwa,Win,
+,11-06-26,Homestory Cup #3,Dual Sight,NaNiwa,Loss,
+,11-06-26,Homestory Cup #3,Shakuras Plateau..,NaNiwa,Win,
+,11-06-26,Homestory Cup #3,The Shattered Te..,NaNiwa,Loss,
+,11-06-25,Homestory Cup #3,Crevasse,IdrA,Win,
+,11-06-25,Homestory Cup #3,The Shattered Te..,IdrA,Win,
+,11-06-25,Homestory Cup #3,Metalopolis 1.1,IdrA,Loss,
+,11-06-25,Homestory Cup #3,The Shattered Te..,XlorD,Win,
+,11-06-25,Homestory Cup #3,Metalopolis 1.1,XlorD,Win,
+,11-06-25,Homestory Cup #3,Terminus SE,ToD,Win,
+,11-06-25,Homestory Cup #3,The Shattered Te..,ToD,Win,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,iNSoLeNCE,Win,
+,11-06-24,Homestory Cup #3,Terminus SE,iNSoLeNCE,Win,
+,11-06-24,Homestory Cup #3,Xel&#039;Naga Ca..,NarutO,Win,
+,11-06-24,Homestory Cup #3,Metalopolis 1.1,NarutO,Win,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,Stephano,Loss,
+,11-06-24,Homestory Cup #3,Metalopolis 1.1,Stephano,Loss,
+,11-06-20,2011 Dreamhack Sum..,Tal&#039;Darim A..,Moon,Win,
+,11-06-20,2011 Dreamhack Sum..,Crevasse,Moon,Win,
+,11-06-20,2011 Dreamhack Sum..,Crossfire SE,Moon,Loss,
+,11-06-20,2011 Dreamhack Sum..,Shakuras Plateau..,Moon,Loss,
+,11-06-20,2011 Dreamhack Sum..,Metalopolis 1.1,Moon,Win,
+,11-06-20,2011 Dreamhack Sum..,Tal&#039;Darim A..,July,Win,
+,11-06-20,2011 Dreamhack Sum..,Metalopolis 1.1,July,Win,
+,11-06-20,2011 Dreamhack Sum..,Tal&#039;Darim A..,Socke,Win,
+,11-06-20,2011 Dreamhack Sum..,Terminus SE,Socke,Win,
+,11-06-19,2011 Dreamhack Sum..,Crossfire SE,PredY,Win,
+,11-06-19,2011 Dreamhack Sum..,Terminus SE,PredY,Win,
+,11-06-19,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,Moon,Win,
+,11-06-19,2011 Dreamhack Sum..,Metalopolis 1.1,Moon,Win,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,LaLuSh,Win,
+,11-06-19,2011 Dreamhack Sum..,Terminus SE,LaLuSh,Win,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,Bischu,Win,
+,11-06-19,2011 Dreamhack Sum..,Crevasse,Bischu,Win,
+,11-06-19,2011 Dreamhack Sum..,Metalopolis 1.1,Bischu,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,FuRy,Win,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,FuRy,Win,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,Tarson,Win,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,Tarson,Win,
+,11-04-24,StarsWar Killer 6,Tal&#039;Darim A..,MorroW,Loss,
+,11-04-24,StarsWar Killer 6,Xel&#039;Naga Ca..,MorroW,Loss,
+,11-04-12,2011 Dreamhack Inv..,Metalopolis DH,SjoW,Loss,
+,11-04-12,2011 Dreamhack Inv..,Crossfire SE,SjoW,Loss,
+,11-04-12,2011 Dreamhack Inv..,Shakuras Plateau..,SjoW,Win,
+,11-04-07,CotH IM vs the World,Crossfire SE,Younghwa,Loss,
+,11-04-03,MLG Dallas 2011,Scrap Station,IdrA,Loss,
