,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-25,Homestory Cup #3,Terminus SE,Stephano,Loss,
+,11-06-25,Homestory Cup #3,Shakuras Plateau..,Stephano,Loss,
+,11-06-25,Homestory Cup #3,Terminus SE,MC,Loss,
+,11-06-25,Homestory Cup #3,Xel&#039;Naga Ca..,MC,Loss,
+,11-06-23,Homestory Cup #3,Shakuras Plateau..,SaSe,Loss,
+,11-06-23,Homestory Cup #3,Xel&#039;Naga Ca..,SaSe,Loss,
+,11-06-23,Homestory Cup #3,Dual Sight,NightEnD,Win,
+,11-06-23,Homestory Cup #3,Crevasse,NightEnD,Loss,
+,11-06-23,Homestory Cup #3,Shakuras Plateau..,NightEnD,Win,
+,11-06-23,Homestory Cup #3,Terminus SE,MoMaN,Win,
+,11-06-23,Homestory Cup #3,Tal&#039;Darim A..,MoMaN,Win,
+,11-06-19,2011 Dreamhack Sum..,Terminus SE,Osho,Loss,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,Osho,Loss,
+,11-06-19,2011 Dreamhack Sum..,Tal&#039;Darim A..,Osho,Win,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,White-Ra,Loss,
+,11-06-19,2011 Dreamhack Sum..,Terminus SE,White-Ra,Loss,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,PredY,Loss,
+,11-06-19,2011 Dreamhack Sum..,Crevasse,PredY,Win,
+,11-06-19,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,PredY,Loss,
+,11-06-19,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,elfi,Win,
+,11-06-19,2011 Dreamhack Sum..,Crossfire SE,elfi,Win,
+,11-06-19,2011 Dreamhack Sum..,Crevasse,GoOdy,Loss,
+,11-06-19,2011 Dreamhack Sum..,Crossfire SE,GoOdy,Loss,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,GoOdy,Win,
+,11-05-09,StarsWar Killer 6,Tal&#039;Darim A..,MC,Loss,
+,11-05-09,StarsWar Killer 6,Metalopolis,MC,Loss,
+,11-05-08,SAGAcity Invitatio..,Xel&#039;Naga Ca..,TOP,Loss,
+,11-05-08,SAGAcity Invitatio..,Shakuras Plateau,TOP,Loss,
+,11-05-07,SAGAcity Invitatio..,Xel&#039;Naga Ca..,IefNaij,Win,
+,11-05-07,SAGAcity Invitatio..,Crossfire SE,IefNaij,Win,
+,11-05-07,SAGAcity Invitatio..,Metalopolis GomTV,IefNaij,Loss,
+,11-05-06,SAGAcity Invitatio..,Crossfire SE,Stalife,Win,
+,11-05-06,SAGAcity Invitatio..,Xel&#039;Naga Fo..,Stalife,Loss,
+,11-05-06,SAGAcity Invitatio..,Xel&#039;Naga Ca..,Stalife,Win,
+,11-05-02,StarsWar Killer 6,Metalopolis,CommItment,Win,
+,11-05-02,StarsWar Killer 6,Xel&#039;Naga Ca..,CommItment,Win,
+,11-04-12,2011 Dreamhack Inv..,Metalopolis DH,White-Ra,Loss,
+,11-04-12,2011 Dreamhack Inv..,Terminus RE,White-Ra,Loss,
+,11-04-07,CotH IM vs the World,Shakuras Plateau,IMHappy,Loss,
+,11-04-07,CotH IM vs the World,Scrap Station,Junwi,Win,
+,11-04-07,CotH IM vs the World,Metalopolis,Younghwa,Win,
+,11-03-31,2011 GSL WC,Shakuras Plateau..,anypro,Loss,
+,11-03-31,2011 GSL WC,Crevasse,anypro,Loss,
+,11-03-29,GSL WC: Korea vs W..,Crevasse,July,Loss,
+,11-03-20,PokerStrategy TSL3,Crevasse,MorroW,Loss,
+,11-03-20,PokerStrategy TSL3,Xel&#039;Naga Ca..,MorroW,Win,
+,11-03-20,PokerStrategy TSL3,Tal&#039;Darim A..,MorroW,Loss,
+,11-03-18,2011 GCPL S1,Metalopolis,IdrA,Loss,
+,11-03-18,2011 GCPL S1,Crevasse,IdrA,Win,
+,11-03-18,2011 GCPL S1,Tal&#039;Darim A..,IdrA,Loss,
