,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-24,EU CraftCup #38,Crevasse,Strelok,Win,
+,11-06-24,EU CraftCup #38,Shakuras Plateau..,Strelok,Win,
+,11-06-24,EU CraftCup #38,Xel&#039;Naga Ca..,Strelok,Win,
+,11-06-24,EU CraftCup #38,Tal&#039;Darim A..,Strelok,Loss,
+,11-06-24,EU CraftCup #38,Tal&#039;Darim A..,Slider,Win,
+,11-06-24,EU CraftCup #38,Xel&#039;Naga Ca..,Slider,Win,
+,11-06-24,EU CraftCup #38,Xel&#039;Naga Ca..,Cheerful,Win,
+,11-06-24,EU CraftCup #38,Terminus SE,Cheerful,Loss,
+,11-06-24,EU CraftCup #38,Crevasse,Cheerful,Win,
+,11-06-23,4pl.de CC #2011-53,Tal&#039;Darim A..,RineTS,Win,
+,11-06-23,4pl.de CC #2011-53,Shakuras Plateau..,RineTS,Win,
+,11-06-23,4pl.de CC #2011-53,Crevasse,Tefel,Win,
+,11-06-23,4pl.de CC #2011-53,The Shattered Te..,Tefel,Win,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,IdrA,Loss,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,IdrA,Win,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,IdrA,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,Grubby,Loss,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,Grubby,Loss,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,meRz,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,meRz,Loss,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,SaSe,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,SaSe,Loss,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,Naama,Win,
+,11-06-18,2011 Dreamhack Sum..,Shakuras Plateau..,Naama,Win,
+,11-06-13,Gigabyte Cup #1,Tal&#039;Darim A..,LoWeLy,Loss,
+,11-06-13,Gigabyte Cup #1,The Shattered Te..,LoWeLy,Loss,
+,11-06-13,Gigabyte Cup #1,Shakuras Plateau..,LoWeLy,Win,
+,11-06-13,Gigabyte Cup #1,iCCup Testbug,torecito,Win,
+,11-06-13,Gigabyte Cup #1,Metalopolis,torecito,Win,
+,11-06-12,SHOUTCraft Invitat..,The Shattered Te..,MaNa,Loss,
+,11-06-12,SHOUTCraft Invitat..,Tal&#039;Darim A..,MaNa,Loss,
+,11-06-12,SHOUTCraft Invitat..,Metalopolis 1.1,MaNa,Loss,
+,11-06-12,Black Dragon League,Crevasse,Socke,Win,
+,11-06-12,Black Dragon League,Tal&#039;Darim A..,Socke,Win,
+,11-06-12,Black Dragon League,Shakuras Plateau..,Socke,Loss,
+,11-06-11,Sennheiser Cup Fin..,Shakuras Plateau..,BRAT_OK,Win,
+,11-06-11,Sennheiser Cup Fin..,The Shattered Te..,BRAT_OK,Win,
+,11-06-11,Sennheiser Cup Fin..,Shakuras Plateau..,Tefel,Win,
+,11-06-11,Sennheiser Cup Fin..,The Shattered Te..,Tefel,Win,
+,11-06-10,2011 Dailymotion C..,iCCup Neo Enigma,DieStar,Loss,
+,11-06-10,2011 Dailymotion C..,Xel&#039;Naga Ca..,DieStar,Win,
+,11-06-10,2011 Dailymotion C..,Metalopolis 1.1,DieStar,Win,
+,11-06-10,2011 Dailymotion C..,Tal&#039;Darim A..,DieStar,Loss,
+,11-06-10,2011 Dailymotion C..,Shakuras Plateau..,DieStar,Loss,
+,11-06-05,EU ZOTAC Cup #59,The Shattered Te..,AureS,Loss,
+,11-06-05,EU ZOTAC Cup #59,Metalopolis,AureS,Loss,
+,11-05-30,2011 Dailymotion C..,iCCup Neo Enigma,MorroW,Loss,
+,11-05-30,2011 Dailymotion C..,Tal&#039;Darim A..,MorroW,Loss,
+,11-05-30,2011 Dailymotion C..,The Shattered Te..,MorroW,Loss,
+,11-05-30,2011 Dailymotion C..,Metalopolis 1.1,MorroW,Win,
+,11-05-26,2011 Dailymotion C..,The Shattered Te..,Strelok,Win,
+,11-05-26,2011 Dailymotion C..,Metalopolis 1.1,Strelok,Loss,
+,11-05-26,2011 Dailymotion C..,Xel&#039;Naga Ca..,Strelok,Win,
+,11-05-26,2011 Dailymotion C..,Tal&#039;Darim A..,Strelok,Loss,
+,11-05-26,2011 Dailymotion C..,Shakuras Plateau..,Strelok,Win,
+,11-05-25,EU Go4SC2 Cup #108,Metalopolis 1.1,Slider,Win,
+,11-05-25,EU Go4SC2 Cup #108,Shakuras Plateau..,Slider,Loss,
+,11-05-25,EU Go4SC2 Cup #108,Terminus SE,Slider,Win,
+,11-05-25,EU Go4SC2 Cup #108,Tal&#039;Darim A..,Slider,Win,
+,11-05-25,EU Go4SC2 Cup #108,Xel&#039;Naga Ca..,Slider,Loss,
+,11-05-25,EU Go4SC2 Cup #108,Shakuras Plateau..,ReSpOnSe,Win,
+,11-05-25,EU Go4SC2 Cup #108,The Shattered Te..,ReSpOnSe,Win,
+,11-05-25,EU Go4SC2 Cup #108,Xel&#039;Naga Ca..,KsP,Win,
+,11-05-25,EU Go4SC2 Cup #108,The Shattered Te..,KsP,Win,
+,11-05-24,RageQuit Open #3,Tal&#039;Darim A..,Osho,Win,
+,11-05-24,RageQuit Open #3,Terminus SE,Osho,Win,
+,11-05-24,RageQuit Open #3,Xel&#039;Naga Ca..,Osho,Win,
+,11-05-24,RageQuit Open #3,Metalopolis 1.1,Osho,Loss,
+,11-05-24,RageQuit Open #3,Shakuras Plateau..,decemvre,Win,
+,11-05-24,RageQuit Open #3,Metalopolis 1.1,decemvre,Win,
+,11-05-21,Sennheiser Cup #15,Xel&#039;Naga Ca..,DarKFoRcE,Win,
+,11-05-21,Sennheiser Cup #15,Shakuras Plateau..,DarKFoRcE,Loss,
+,11-05-21,Sennheiser Cup #15,The Shattered Te..,DarKFoRcE,Win,
+,11-05-21,Sennheiser Cup #15,Terminus SE,DarKFoRcE,Win,
+,11-05-21,Sennheiser Cup #15,Xel&#039;Naga Ca..,Happy,Win,
+,11-05-21,Sennheiser Cup #15,Tal&#039;Darim A..,Happy,Win,
+,11-05-21,Sennheiser Cup #15,Xel&#039;Naga Ca..,Laukyo,Win,
