,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-02,TeamSpeak TL Open ..,Metalopolis 1.1,Polt,Loss,
+,11-07-02,TeamSpeak TL Open ..,Xel&#039;Naga Ca..,Polt,Loss,
+,11-07-02,TeamSpeak TL Open ..,Shakuras Plateau..,Polt,Win,
+,11-07-02,TeamSpeak TL Open ..,Shakuras Plateau..,Goswser,Win,
+,11-07-02,TeamSpeak TL Open ..,The Shattered Te..,Goswser,Win,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,Tarson,Win,
+,11-06-19,2011 Dreamhack Sum..,Metalopolis 1.1,Tarson,Win,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,HuK,Loss,
+,11-06-19,2011 Dreamhack Sum..,Terminus SE,HuK,Loss,
+,11-06-19,2011 Dreamhack Sum..,Tal&#039;Darim A..,Moon,Loss,
+,11-06-19,2011 Dreamhack Sum..,Metalopolis 1.1,Moon,Loss,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,Bischu,Win,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,Bischu,Loss,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,Bischu,Win,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,FuRy,Win,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,FuRy,Win,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,FuRy,Loss,
+,11-06-18,2011 WCG Sweden Qu..,Metalopolis 1.1,MorroW,Loss,
+,11-06-18,2011 WCG Sweden Qu..,Tal&#039;Darim A..,MorroW,Loss,
+,11-06-18,2011 WCG Sweden Qu..,Crevasse,MorroW,Loss,
+,11-06-07,EU Go4SC2 Final #13,Shakuras Plateau..,BRAT_OK,Loss,
+,11-06-07,EU Go4SC2 Final #13,The Shattered Te..,BRAT_OK,Loss,
+,11-06-07,EU Go4SC2 Final #13,Terminus SE,BRAT_OK,Win,
+,11-06-07,EU Go4SC2 Final #13,Tal&#039;Darim A..,Druzdil,Win,
+,11-06-07,EU Go4SC2 Final #13,The Shattered Te..,Druzdil,Loss,
+,11-06-07,EU Go4SC2 Final #13,Metalopolis 1.1,Druzdil,Win,
+,11-06-01,EG Masters Cup #5,The Shattered Te..,sixjaxMajOr,Loss,
+,11-06-01,EG Masters Cup #5,Crevasse,sixjaxMajOr,Win,
+,11-06-01,EG Masters Cup #5,Terminus RE,sixjaxMajOr,Loss,
+,11-06-01,EG Masters Cup #5,Xel&#039;Naga Ca..,ViBE,Loss,
+,11-06-01,EG Masters Cup #5,Tal&#039;Darim A..,ViBE,Loss,
+,11-05-25,EG Masters Cup #5,Crevasse,Bischu,Win,
+,11-05-25,EG Masters Cup #5,Crossfire SE,Bischu,Win,
