,Date&nbsp;,League,Map,Opponent,Result,
+,11-04-30,FXO Invitational #3,Tal&#039;Darim A..,MarineKing,Loss,
+,11-04-30,FXO Invitational #3,Xel&#039;Naga Ca..,MarineKing,Loss,
+,11-04-29,FXO Invitational #3,Unknown,LoWeLy,Win,
+,11-04-29,FXO Invitational #3,The Shattered Te..,LoWeLy,Loss,
+,11-04-29,FXO Invitational #3,Xel&#039;Naga Ca..,LoWeLy,Win,
+,11-04-29,FXO Invitational #3,Unknown,sC,Loss,
+,11-04-29,FXO Invitational #3,Unknown,sC,Win,
+,11-04-29,FXO Invitational #3,Unknown,sC,Loss,
+,11-04-23,FXO Invitational #3,Tal&#039;Darim A..,sixjaxMajOr,Win,
+,11-04-23,FXO Invitational #3,Metalopolis 1.1,sixjaxMajOr,Win,
+,11-04-23,FXO Invitational #3,Xel&#039;Naga Ca..,sixjaxMajOr,Loss,
+,11-04-23,FXO Invitational #3,Metalopolis 1.1,TopClass,Win,
+,11-04-23,FXO Invitational #3,Xel&#039;Naga Ca..,TopClass,Win,
