,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-23,Homestory Cup #3,Shakuras Plateau..,NightEnD,Loss,
+,11-06-23,Homestory Cup #3,Metalopolis 1.1,NightEnD,Loss,
+,11-06-23,Homestory Cup #3,Xel&#039;Naga Ca..,SaSe,Loss,
+,11-06-23,Homestory Cup #3,Terminus SE,SaSe,Win,
+,11-06-23,Homestory Cup #3,Shakuras Plateau..,SaSe,Loss,
+,11-06-23,Homestory Cup #3,Terminus SE,Jinro,Loss,
+,11-06-23,Homestory Cup #3,Tal&#039;Darim A..,Jinro,Loss,
+,11-06-19,NASL S1,Typhon Peaks,KiWiKaKi,Loss,
+,11-06-19,NASL S1,Xel&#039;Naga Ca..,KiWiKaKi,Loss,
+,11-06-19,NASL S1,Terminus RE,KiWiKaKi,Win,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,Tyler,Loss,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,Tyler,Loss,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,Jimpo,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,Jimpo,Loss,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,Ret,Win,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,Ret,Win,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,Ret,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,Strelok,Loss,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,Strelok,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,NaNiwa,Loss,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,NaNiwa,Loss,
+,11-06-12,US Go4SC2 Final #08,Metalopolis 1.1,dignitas.KiLLeR,Loss,
+,11-06-12,US Go4SC2 Final #08,iCCup Neo Enigma,dignitas.KiLLeR,Win,
+,11-06-12,US Go4SC2 Final #08,Scrap Station,dignitas.KiLLeR,Loss,
+,11-06-12,US Go4SC2 Final #08,Terminus SE,dignitas.KiLLeR,Win,
+,11-06-12,US Go4SC2 Final #08,Xel&#039;Naga Fo..,dignitas.KiLLeR,Loss,
+,11-06-12,US Go4SC2 Final #08,Unknown,dde,Win,
+,11-06-12,US Go4SC2 Final #08,Crossfire SE,dde,Win,
+,11-06-12,US Go4SC2 Final #08,Scorched Haven,Protoss,Win,
+,11-06-12,US Go4SC2 Final #08,Metalopolis 1.1,Protoss,Loss,
+,11-06-12,US Go4SC2 Final #08,Crevasse,Protoss,Win,
+,11-06-09,NASL S1,Tal&#039;Darim A..,July,Win,
+,11-06-09,NASL S1,Backwater Gulch,July,Win,
+,11-06-07,RageQuit Open #5,Xel&#039;Naga Ca..,DieStar,Loss,
+,11-06-07,RageQuit Open #5,Tal&#039;Darim A..,DieStar,Win,
+,11-06-07,RageQuit Open #5,iCCup Testbug,DieStar,Loss,
+,11-06-07,RageQuit Open #5,Terminus SE,DieStar,Loss,
+,11-06-07,RageQuit Open #5,iCCup Testbug,Bly,Win,
+,11-06-07,RageQuit Open #5,Xel&#039;Naga Ca..,Bly,Loss,
+,11-06-07,RageQuit Open #5,Metalopolis 1.1,Bly,Win,
+,11-06-06,Competo Cup #43,Xel&#039;Naga Ca..,elfi,Loss,
+,11-06-06,Competo Cup #43,Scrap Station,elfi,Win,
+,11-06-06,Competo Cup #43,Dual Sight,elfi,Loss,
+,11-06-06,Competo Cup #43,Shakuras Plateau..,Naama,Win,
+,11-06-06,Competo Cup #43,Scrap Station,Naama,Win,
+,11-06-06,Competo Cup #43,Tal&#039;Darim A..,Naama,Loss,
+,11-06-05,US Go4SC2 Cup #62,Unknown,iNkA,Win,
+,11-06-05,US Go4SC2 Cup #62,Unknown,iNkA,Win,
+,11-06-05,US Go4SC2 Cup #62,Unknown,dignitas.KiLLeR,Loss,
+,11-06-05,US Go4SC2 Cup #62,Unknown,dignitas.KiLLeR,Win,
+,11-06-05,US Go4SC2 Cup #62,Unknown,dignitas.KiLLeR,Loss,
+,11-06-05,US Go4SC2 Cup #62,Unknown,ReSpOnSe,Win,
+,11-06-05,US Go4SC2 Cup #62,Unknown,ReSpOnSe,Loss,
+,11-06-05,US Go4SC2 Cup #62,Unknown,ReSpOnSe,Win,
+,11-05-30,US Go4SC2 Cup #60,Terminus SE,GoOdy,Win,
+,11-05-30,US Go4SC2 Cup #60,Scrap Station,GoOdy,Win,
+,11-05-30,US Go4SC2 Cup #60,The Shattered Te..,GoOdy,Loss,
+,11-05-30,US Go4SC2 Cup #60,Shakuras Plateau..,GoOdy,Win,
+,11-05-30,US Go4SC2 Cup #60,Shakuras Plateau..,Protoss,Win,
+,11-05-30,US Go4SC2 Cup #60,Xel&#039;Naga Fo..,Protoss,Win,
+,11-05-29,US Go4SC2 Cup #60,Unknown,Schaef,Win,
+,11-05-29,US Go4SC2 Cup #60,Unknown,Schaef,Loss,
+,11-05-29,US Go4SC2 Cup #60,Unknown,Schaef,Win,
+,11-05-26,NASL S1,Typhon Peaks,CrunCher,Loss,
+,11-05-26,NASL S1,Crevasse,CrunCher,Loss,
+,11-05-26,NASL S1,Metalopolis 1.1,CrunCher,Win,
+,11-05-22,US Go4SC2 Cup #58,Unknown,dde,Loss,
+,11-05-22,US Go4SC2 Cup #58,Unknown,dde,Win,
+,11-05-22,US Go4SC2 Cup #58,Unknown,dde,Loss,
+,11-05-22,US Go4SC2 Cup #58,Unknown,iNkA,Win,
+,11-05-22,US Go4SC2 Cup #58,Unknown,iNkA,Win,
+,11-05-21,EU Champions Troph..,Crevasse,inuh,Loss,
+,11-05-21,EU Champions Troph..,Terminus RE,inuh,Loss,
+,11-05-19,NASL S1,Xel&#039;Naga Ca..,iNcontroL,Win,
+,11-05-19,NASL S1,Typhon Peaks,iNcontroL,Win,
+,11-05-19,NASL S1,Crevasse,iNcontroL,Loss,
+,11-05-12,NASL S1,The Shattered Te..,SjoW,Loss,
+,11-05-12,NASL S1,Xel&#039;Naga Ca..,SjoW,Loss,
+,11-05-12,NASL S1,Typhon Peaks,SjoW,Win,
+,11-05-08,SC2CL S2: Master,The Shattered Te..,GoOdy,Loss,
+,11-05-08,SC2CL S2: Master,iCCup Testbug,GoOdy,Win,
+,11-05-08,SC2CL S2: Master,iCCup Pawn Re,GoOdy,Loss,
+,11-05-05,NASL S1,Terminus RE,TT1,Loss,
+,11-05-05,NASL S1,The Shattered Te..,TT1,Loss,
+,11-05-05,NASL S1,Xel&#039;Naga Ca..,TT1,Win,
+,11-05-04,SC2CL S2: Master,The Shattered Te..,Farmer,Win,
+,11-05-04,SC2CL S2: Master,Metalopolis 1.1,Farmer,Win,
+,11-05-04,SC2CL S2: Master,Xel&#039;Naga Ca..,Farmer,Loss,
+,11-05-03,US Go4SC2 Final #07,Scrap Station,daisuki,Win,
+,11-05-03,US Go4SC2 Final #07,Xel&#039;Naga Ca..,daisuki,Win,
+,11-05-03,US Go4SC2 Final #07,Metalopolis 1.1,daisuki,Win,
+,11-05-03,US Go4SC2 Final #07,The Shattered Te..,daisuki,Loss,
+,11-05-03,US Go4SC2 Final #07,Crevasse,MarinekngXPn,Win,
+,11-05-03,US Go4SC2 Final #07,Shakuras Plateau..,MarinekngXPn,Loss,
+,11-05-03,US Go4SC2 Final #07,iCCup Neo Enigma,MarinekngXPn,Win,
+,11-05-03,US Go4SC2 Final #07,The Shattered Te..,giX,Win,
+,11-05-03,US Go4SC2 Final #07,Metalopolis 1.1,giX,Win,
+,11-04-28,NASL S1,Terminus RE,Ensnare,Loss,
+,11-04-28,NASL S1,The Shattered Te..,Ensnare,Loss,
+,11-04-23,2011 Medion Trophy,Xel&#039;Naga Ca..,BeNSeN,Loss,
+,11-04-23,2011 Medion Trophy,Tal&#039;Darim A..,BeNSeN,Loss,
+,11-04-21,NASL S1,Backwater Gulch,DarKFoRcE,Loss,
+,11-04-21,NASL S1,Crossfire SE,DarKFoRcE,Loss,
+,11-04-21,NASL S1,Terminus RE 0.9,DarKFoRcE,Win,
+,11-04-17,SC2CL S2: Master,iCCup Testbug,Lopata,Win,
+,11-04-17,SC2CL S2: Master,Metalopolis 1.1,Lopata,Win,
+,11-04-17,SC2CL S2: Master,Tal&#039;Darim A..,Lopata,Loss,
+,11-04-15,ONE Invitational #1,Unknown,Gatored,Loss,
+,11-04-15,ONE Invitational #1,Unknown,Gatored,Win,
+,11-04-15,ONE Invitational #1,Unknown,Gatored,Loss,
+,11-04-13,NASL S1,Backwater Gulch,qxc,Win,
+,11-04-13,NASL S1,Crossfire SE,qxc,Win,
+,11-04-10,SC2CL S2: Master,Shakuras Plateau..,3D.Hydra,Win,
+,11-04-10,SC2CL S2: Master,The Shattered Te..,3D.Hydra,Win,
+,11-04-10,US Go4SC2 Cup #46,The Shattered Te..,Tunico,Win,
+,11-04-10,US Go4SC2 Cup #46,Xel&#039;Naga Ca..,Tunico,Win,
+,11-04-10,US Go4SC2 Cup #46,Shakuras Plateau,Tunico,Win,
+,11-04-10,US Go4SC2 Cup #46,Scrap Station,daisuki,Win,
+,11-04-10,US Go4SC2 Cup #46,Crossfire SE,daisuki,Win,
+,11-04-10,US Go4SC2 Cup #46,Xel&#039;Naga Ca..,MrBigShot,Win,
+,11-04-10,US Go4SC2 Cup #46,Terminus RE,MrBigShot,Win,
+,11-04-05,US Go4SC2 Final #06,Scrap Station,Attero,Loss,
+,11-04-05,US Go4SC2 Final #06,Metalopolis,Attero,Loss,
+,11-04-05,US Go4SC2 Final #06,The Shattered Te..,Attero,Loss,
+,11-04-05,US Go4SC2 Final #06,Crevasse,Future,Win,
+,11-04-05,US Go4SC2 Final #06,Crossfire SE,Future,Win,
+,11-04-05,US Go4SC2 Final #06,Shakuras Plateau,dignitas.KiLLeR,Win,
+,11-04-05,US Go4SC2 Final #06,Metalopolis,dignitas.KiLLeR,Loss,
+,11-04-05,US Go4SC2 Final #06,Crevasse,dignitas.KiLLeR,Win,
+,11-03-28,Competo Cup #33,Metalopolis,Bly,Loss,
+,11-03-28,Competo Cup #33,iCCup Pawn Re,Bly,Loss,
+,11-03-28,Competo Cup #33,iCCup Testbug,Bly,Loss,
+,11-03-28,Competo Cup #33,Metalopolis,Naugrim,Win,
+,11-03-28,Competo Cup #33,iCCup Pawn Re,Naugrim,Win,
+,11-03-28,Competo Cup #33,iCCup Testbug,Beastyqt,Win,
+,11-03-28,Competo Cup #33,Terminus RE,Beastyqt,Loss,
+,11-03-28,Competo Cup #33,Tal&#039;Darim A..,Beastyqt,Win,
+,11-03-28,GameCreds Cup #7,Unknown,Nerchio,Loss,
+,11-03-28,GameCreds Cup #7,Xel&#039;Naga Ca..,Nerchio,Loss,
+,11-03-27,US Go4SC2 Cup #42,Unknown,Ostojiy,Loss,
+,11-03-27,US Go4SC2 Cup #42,Metalopolis,Ostojiy,Loss,
+,11-03-26,FXO Invitational #2,Unknown,MC,Loss,
+,11-03-26,FXO Invitational #2,Unknown,MC,Loss,
+,11-03-26,FXO Invitational #2,Unknown,ViBE,Win,
+,11-03-26,FXO Invitational #2,Unknown,ViBE,Loss,
+,11-03-26,FXO Invitational #2,Unknown,ViBE,Win,
+,11-03-26,FXO Invitational #2,Unknown,Loner,Loss,
+,11-03-26,FXO Invitational #2,Unknown,Loner,Loss,
+,11-03-23,EU Champions Troph..,Unknown,inuh,Loss,
+,11-03-23,EU Champions Troph..,Unknown,inuh,Loss,
+,11-03-23,US Go4SC2 Cup #41,Crevasse,Flashback,Win,
+,11-03-23,US Go4SC2 Cup #41,Xel&#039;Naga Ca..,Flashback,Loss,
+,11-03-23,US Go4SC2 Cup #41,Shakuras Plateau,Flashback,Win,
+,11-03-23,US Go4SC2 Cup #41,Metalopolis,Flashback,Win,
+,11-03-23,US Go4SC2 Cup #41,Scrap Station,Flashback,Loss,
+,11-03-23,US Go4SC2 Cup #41,Shakuras Plateau,wbc,Win,
+,11-03-23,US Go4SC2 Cup #41,Terminus RE,wbc,Win,
+,11-03-23,US Go4SC2 Cup #41,Crossfire SE,Schaef,Win,
+,11-03-23,US Go4SC2 Cup #41,Shakuras Plateau,Schaef,Win,
+,11-03-21,GameCreds Cup #6,Unknown,sYz,Loss,
+,11-03-21,GameCreds Cup #6,Unknown,sYz,Win,
+,11-03-21,GameCreds Cup #6,Unknown,sYz,Loss,
+,11-03-20,US Go4SC2 Cup #40,Terminus RE,LaCuS,Win,
+,11-03-20,US Go4SC2 Cup #40,Xel&#039;Naga Ca..,LaCuS,Win,
+,11-03-20,US Go4SC2 Cup #40,The Shattered Te..,LaCuS,Win,
+,11-03-20,US Go4SC2 Cup #40,Metalopolis,LaCuS,Loss,
+,11-03-20,US Go4SC2 Cup #40,Crevasse,LaCuS,Loss,
