,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-03,EG Masters Cup #5,The Shattered Te..,KawaiiRice,Win,
+,11-07-03,EG Masters Cup #5,Shakuras Plateau..,KawaiiRice,Win,
+,11-06-26,Homestory Cup #3,Shakuras Plateau..,HuK,Loss,
+,11-06-26,Homestory Cup #3,The Shattered Te..,HuK,Loss,
+,11-06-26,Homestory Cup #3,Crossfire SE,HuK,Loss,
+,11-06-26,Homestory Cup #3,Metalopolis 1.1,HuK,Win,
+,11-06-26,Homestory Cup #3,Dual Sight,HuK,Loss,
+,11-06-26,Homestory Cup #3,Crossfire SE,HuK,Win,
+,11-06-26,Homestory Cup #3,Terminus SE,HuK,Loss,
+,11-06-26,Homestory Cup #3,Dual Sight,HuK,Win,
+,11-06-26,Homestory Cup #3,Shakuras Plateau..,HuK,Loss,
+,11-06-26,Homestory Cup #3,The Shattered Te..,HuK,Win,
+,11-06-25,Homestory Cup #3,Crossfire SE,MC,Win,
+,11-06-25,Homestory Cup #3,Xel&#039;Naga Ca..,MC,Loss,
+,11-06-25,Homestory Cup #3,Metalopolis 1.1,MC,Win,
+,11-06-25,Homestory Cup #3,Shakuras Plateau..,Adelscott,Win,
+,11-06-25,Homestory Cup #3,The Shattered Te..,Adelscott,Win,
+,11-06-25,Homestory Cup #3,Terminus SE,ClouD,Win,
+,11-06-25,Homestory Cup #3,Crevasse,ClouD,Win,
+,11-06-24,Homestory Cup #3,Metalopolis 1.1,Bischu,Win,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,Bischu,Win,
+,11-06-24,Homestory Cup #3,The Shattered Te..,Bischu,Loss,
+,11-06-24,Homestory Cup #3,Tal&#039;Darim A..,Tarson,Win,
+,11-06-24,Homestory Cup #3,Terminus SE,Tarson,Loss,
+,11-06-24,Homestory Cup #3,The Shattered Te..,Tarson,Win,
+,11-06-24,Homestory Cup #3,Xel&#039;Naga Ca..,DIMAGA,Win,
+,11-06-24,Homestory Cup #3,Terminus SE,DIMAGA,Loss,
+,11-06-24,Homestory Cup #3,Metalopolis 1.1,DIMAGA,Win,
+,11-06-20,2011 Dreamhack Sum..,Metalopolis 1.1,Moon,Loss,
+,11-06-20,2011 Dreamhack Sum..,Shakuras Plateau..,Moon,Loss,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,BRAT_OK,Win,
+,11-06-19,2011 Dreamhack Sum..,Metalopolis 1.1,BRAT_OK,Win,
+,11-06-18,NASL S1,Crossfire SE,DarKFoRcE,Loss,
+,11-06-18,NASL S1,Xel&#039;Naga Ca..,DarKFoRcE,Loss,
+,11-06-18,NASL S1,Typhon Peaks,Axslav,Win,
+,11-06-18,NASL S1,Crevasse,Axslav,Win,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,Ret,Win,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,Ret,Win,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,Tyler,Win,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,Tyler,Win,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,Strelok,Win,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,Strelok,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,Strelok,Win,
+,11-06-18,2011 Dreamhack Sum..,Shakuras Plateau..,Jimpo,Win,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,Jimpo,Win,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,MoMaN,Win,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,MoMaN,Win,
+,11-06-13,EG Masters Cup #5,Shakuras Plateau..,sixjaxMajOr,Loss,
+,11-06-13,EG Masters Cup #5,Tal&#039;Darim A..,sixjaxMajOr,Loss,
+,11-06-13,EG Masters Cup #5,The Shattered Te..,sixjaxMajOr,Win,
+,11-06-12,Black Dragon League,Tal&#039;Darim A..,Socke,Win,
+,11-06-12,Black Dragon League,Shakuras Plateau..,Socke,Win,
+,11-06-12,Black Dragon League,Xel&#039;Naga Ca..,Socke,Win,
+,11-06-12,Black Dragon League,Metalopolis 1.1,Socke,Loss,
+,11-06-12,Black Dragon League,Shakuras Plateau..,Strelok,Win,
+,11-06-12,Black Dragon League,Tal&#039;Darim A..,Strelok,Loss,
+,11-06-12,Black Dragon League,Metalopolis 1.1,Strelok,Win,
+,11-06-10,NASL S1,Metalopolis 1.1,HayprO,Win,
+,11-06-10,NASL S1,Tal&#039;Darim A..,HayprO,Win,
+,11-06-06,EG Masters Cup #5,Shakuras Plateau..,Destiny,Win,
+,11-06-06,EG Masters Cup #5,Tal&#039;Darim A..,Destiny,Loss,
+,11-06-06,EG Masters Cup #5,Metalopolis 1.1,Destiny,Win,
+,11-06-05,MLG Columbus 2011,Tal&#039;Darim A..,MC,Loss,
+,11-06-05,MLG Columbus 2011,Metalopolis 1.1,MC,Loss,
+,11-06-05,MLG Columbus 2011,Shakuras Plateau..,LosirA,Loss,
+,11-06-05,MLG Columbus 2011,iCCup Testbug,LosirA,Loss,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,Fenix,Win,
+,11-06-04,MLG Columbus 2011,Shakuras Plateau..,Fenix,Win,
+,11-06-04,MLG Columbus 2011,iCCup Testbug,Drewbie,Win,
+,11-06-04,MLG Columbus 2011,Shakuras Plateau..,Drewbie,Loss,
+,11-06-04,MLG Columbus 2011,Metalopolis 1.1,Drewbie,Win,
+,11-06-03,MLG Columbus 2011,Xel&#039;Naga Ca..,SLush,Loss,
+,11-06-03,MLG Columbus 2011,Metalopolis 1.1,SLush,Loss,
+,11-06-03,MLG Columbus 2011,Tal&#039;Darim A..,SLush,Win,
+,11-06-03,MLG Columbus 2011,Shakuras Plateau..,Gretorp,Win,
+,11-06-03,MLG Columbus 2011,iCCup Testbug,Gretorp,Win,
+,11-06-03,MLG Columbus 2011,Tal&#039;Darim A..,Moon,Win,
+,11-06-03,MLG Columbus 2011,Shakuras Plateau..,Moon,Win,
+,11-05-27,NASL S1,Typhon Peaks,Axslav,Win,
+,11-05-27,NASL S1,Crevasse,Axslav,Win,
+,11-05-21,2011 WCG Sweden Qu..,Metalopolis 1.1,MorroW,Loss,
+,11-05-21,2011 WCG Sweden Qu..,Shakuras Plateau..,MorroW,Loss,
+,11-05-21,2011 WCG Sweden Qu..,Crevasse,SaSe,Loss,
+,11-05-21,2011 WCG Sweden Qu..,Shakuras Plateau..,SaSe,Loss,
+,11-05-21,2011 WCG Sweden Qu..,Tal&#039;Darim A..,meRz,Win,
+,11-05-21,2011 WCG Sweden Qu..,Terminus RE,meRz,Win,
+,11-05-21,2011 WCG Sweden Qu..,Metalopolis 1.1,MoSiE,Win,
+,11-05-21,2011 WCG Sweden Qu..,Crevasse,MoSiE,Win,
+,11-05-20,NASL S1,Xel&#039;Naga Ca..,NaDa,Loss,
+,11-05-20,NASL S1,Typhon Peaks,NaDa,Loss,
+,11-05-18,Black Dragon League,Scrap Station,Socke,Win,
+,11-05-18,Black Dragon League,Lost Temple SC2,Socke,Win,
+,11-05-18,Black Dragon League,Metalopolis,NightEnD,Loss,
+,11-05-18,Black Dragon League,Lost Temple SC2,NightEnD,Loss,
+,11-05-18,Black Dragon League,Xel&#039;Naga Ca..,NightEnD,Win,
+,11-05-15,PokerStrategy TSL3,Tal&#039;Darim A..,ThorZaIN,Loss,
+,11-05-15,PokerStrategy TSL3,Crossfire SE,ThorZaIN,Loss,
+,11-05-15,PokerStrategy TSL3,Xel&#039;Naga Ca..,ThorZaIN,Loss,
+,11-05-15,PokerStrategy TSL3,Terminus RE,ThorZaIN,Win,
