,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,Grubby,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,Grubby,Loss,
+,11-06-18,2011 Dreamhack Sum..,Shakuras Plateau..,Grubby,Win,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,meRz,Loss,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,meRz,Loss,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,SaSe,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,SaSe,Win,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,SaSe,Loss,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,IdrA,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,IdrA,Loss,
+,11-06-18,2011 Dreamhack Sum..,Shakuras Plateau..,IdrA,Win,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,Kas,Loss,
+,11-06-18,2011 Dreamhack Sum..,Shakuras Plateau..,Kas,Loss,
+,11-06-09,Nettiliiga S1 Finals,Xel&#039;Naga Ca..,Protosser,Loss,
+,11-06-09,Nettiliiga S1 Finals,Tal&#039;Darim A..,Protosser,Win,
+,11-06-09,Nettiliiga S1 Finals,Shakuras Plateau..,Protosser,Loss,
+,11-06-09,Nettiliiga S1 Finals,Metalopolis 1.1,Protosser,Loss,
+,11-06-09,Nettiliiga S1 Finals,Shakuras Plateau..,Satiini,Win,
+,11-06-09,Nettiliiga S1 Finals,Tal&#039;Darim A..,Satiini,Win,
+,11-06-09,Nettiliiga S1 Finals,Xel&#039;Naga Ca..,Satiini,Win,
+,11-06-09,Nettiliiga S1 Finals,Metalopolis 1.1,Satiini,Loss,
+,11-06-07,EU Go4SC2 Final #13,The Shattered Te..,BRAT_OK,Loss,
+,11-06-07,EU Go4SC2 Final #13,Tal&#039;Darim A..,BRAT_OK,Loss,
+,11-06-07,EU Go4SC2 Final #13,Shakuras Plateau..,BRAT_OK,Loss,
+,11-06-07,EU Go4SC2 Final #13,Xel&#039;Naga Ca..,Kalin,Win,
+,11-06-07,EU Go4SC2 Final #13,Shakuras Plateau..,Kalin,Win,
+,11-06-07,EU Go4SC2 Final #13,Xel&#039;Naga Ca..,Knutzi,Win,
+,11-06-07,EU Go4SC2 Final #13,Tal&#039;Darim A..,Knutzi,Loss,
+,11-06-07,EU Go4SC2 Final #13,Shakuras Plateau..,Knutzi,Win,
+,11-06-07,EU Go4SC2 Final #13,Tal&#039;Darim A..,Slider,Win,
+,11-06-07,EU Go4SC2 Final #13,Xel&#039;Naga Ca..,Slider,Loss,
+,11-06-07,EU Go4SC2 Final #13,Shakuras Plateau..,Slider,Win,
+,11-06-06,Competo Cup #43,Shakuras Plateau..,MoMaN,Loss,
+,11-06-06,Competo Cup #43,Scrap Station,MoMaN,Loss,
+,11-06-06,Competo Cup #43,Tal&#039;Darim A..,MoMaN,Win,
+,11-05-23,Competo Cup #41,Delta Quadrant,monchi,Win,
+,11-05-23,Competo Cup #41,Scrap Station,monchi,Loss,
+,11-05-23,Competo Cup #41,Xel&#039;Naga Ca..,monchi,Loss,
+,11-05-23,Competo Cup #41,The Shattered Te..,monchi,Win,
+,11-05-23,Competo Cup #41,iCCup Testbug,monchi,Win,
+,11-05-23,Competo Cup #41,Scrap Station,DeathAngel,Win,
+,11-05-23,Competo Cup #41,Tal&#039;Darim A..,DeathAngel,Loss,
+,11-05-23,Competo Cup #41,Dual Sight,DeathAngel,Win,
+,11-05-23,Competo Cup #41,Scrap Station,Ptak,Win,
+,11-05-23,Competo Cup #41,Metalopolis,Ptak,Loss,
+,11-05-23,Competo Cup #41,Tal&#039;Darim A..,Ptak,Win,
+,11-05-22,EU Go4SC2 Cup #107,Metalopolis 1.1,MaNa,Win,
+,11-05-22,EU Go4SC2 Cup #107,Tal&#039;Darim A..,MaNa,Loss,
+,11-05-22,EU Go4SC2 Cup #107,Shakuras Plateau..,MaNa,Win,
+,11-05-22,EU Go4SC2 Cup #107,Xel&#039;Naga Ca..,Tefel,Loss,
+,11-05-22,EU Go4SC2 Cup #107,Shakuras Plateau..,Tefel,Loss,
+,11-05-22,EU Go4SC2 Cup #107,Xel&#039;Naga Ca..,DieStar,Win,
+,11-05-22,EU Go4SC2 Cup #107,Metalopolis 1.1,DieStar,Win,
+,11-05-21,EU Champions Troph..,Shakuras Plateau..,DIMAGA,Loss,
+,11-05-21,EU Champions Troph..,Xel&#039;Naga Ca..,DIMAGA,Win,
+,11-05-21,EU Champions Troph..,Tal&#039;Darim A..,DIMAGA,Loss,
+,11-05-16,Black Dragon League,Metalopolis,NightEnD,Loss,
+,11-05-16,Black Dragon League,Lost Temple SC2,NightEnD,Win,
+,11-05-16,Black Dragon League,Xel&#039;Naga Ca..,NightEnD,Loss,
+,11-05-02,Competo Cup #38,Metalopolis,Beastyqt,Loss,
+,11-05-02,Competo Cup #38,Scrap Station,Beastyqt,Loss,
+,11-05-02,Competo Cup #38,The Shattered Te..,Beastyqt,Loss,
+,11-05-02,Competo Cup #38,iCCup Testbug,Beastyqt,Win,
+,11-05-02,Competo Cup #38,Scrap Station,Olajuwon,Win,
+,11-05-02,Competo Cup #38,Dual Sight,Olajuwon,Win,
+,11-05-02,Competo Cup #38,Xel&#039;Naga Ca..,Nitemare,Win,
+,11-05-02,Competo Cup #38,Tal&#039;Darim A..,Nitemare,Win,
+,11-05-01,EU Go4SC2 #100 Inv..,Metalopolis 1.1,Stephano,Loss,
+,11-05-01,EU Go4SC2 #100 Inv..,Shakuras Plateau..,Stephano,Loss,
+,11-05-01,EU Go4SC2 #100 Inv..,Xel&#039;Naga Ca..,Fargo,Win,
+,11-05-01,EU Go4SC2 #100 Inv..,Metalopolis 1.1,Fargo,Win,
+,11-05-01,EU Go4SC2 #100 Inv..,The Shattered Te..,Fargo,Loss,
+,11-04-29,Black Dragon League,Metalopolis,LaLuSh,Loss,
+,11-04-29,Black Dragon League,Scrap Station,LaLuSh,Loss,
+,11-04-27,Black Dragon League,Metalopolis,White-Ra,Win,
+,11-04-27,Black Dragon League,Scrap Station,White-Ra,Win,
+,11-04-27,Black Dragon League,Xel&#039;Naga Ca..,White-Ra,Loss,
+,11-04-27,Black Dragon League,Xel&#039;Naga Ca..,NaNiwa,Loss,
+,11-04-27,Black Dragon League,Lost Temple SC2,NaNiwa,Win,
+,11-04-27,Black Dragon League,Metalopolis,NaNiwa,Loss,
+,11-04-25,Competo Cup #37,Xel&#039;Naga Ca..,sLivko,Loss,
+,11-04-25,Competo Cup #37,Dual Sight,sLivko,Loss,
+,11-04-24,Copenhagen Games 2..,Tal&#039;Darim A..,Fuzer,Loss,
+,11-04-24,Copenhagen Games 2..,Terminus RE,Fuzer,Loss,
+,11-04-02,MLG Dallas 2011,Crossfire SE,mOoNan,Loss,
+,11-04-02,MLG Dallas 2011,Xel&#039;Naga Ca..,mOoNan,Loss,
+,11-04-02,MLG Dallas 2011,Metalopolis 1.1,Stalife,Win,
+,11-04-02,MLG Dallas 2011,The Shattered Te..,Stalife,Win,
+,11-04-02,MLG Dallas 2011,Scrap Station,Cakez,Win,
+,11-04-02,MLG Dallas 2011,Crossfire SE,Cakez,Win,
+,11-04-02,MLG Dallas 2011,iCCup Testbug,D_wAy,Win,
+,11-04-02,MLG Dallas 2011,Xel&#039;Naga Ca..,D_wAy,Win,
+,11-04-01,MLG Dallas 2011,Xel&#039;Naga Ca..,Perfect,Win,
+,11-04-01,MLG Dallas 2011,Scrap Station,Perfect,Win,
+,11-04-01,MLG Dallas 2011,Metalopolis 1.1,mOoNan,Loss,
+,11-04-01,MLG Dallas 2011,The Shattered Te..,mOoNan,Loss,
+,11-04-01,MLG Dallas 2011,iCCup Testbug,mOoNan,Win,
+,11-03-28,Black Dragon League,Delta Quadrant,BRAT_OK,Loss,
+,11-03-28,Black Dragon League,Lost Temple SC2,BRAT_OK,Loss,
+,11-03-23,EU Champions Troph..,Unknown,SaSe,Loss,
+,11-03-23,EU Champions Troph..,Unknown,SaSe,Loss,
+,11-03-23,EU Champions Troph..,Unknown,Kas,Win,
+,11-03-23,EU Champions Troph..,Unknown,Kas,Win,
+,11-03-18,2011 GSL WC EU Qua..,Metalopolis,DIMAGA,Loss,
+,11-03-18,2011 GSL WC EU Qua..,Xel&#039;Naga Ca..,DIMAGA,Loss,
+,11-03-07,Black Dragon League,Blistering Sands,Abver,Win,
+,11-03-07,Black Dragon League,Scrap Station,Abver,Win,
+,11-02-26,Sennheiser Cup #4,iCCup Testbug,GoOdy,Loss,
+,11-02-26,Sennheiser Cup #4,The Shattered Te..,GoOdy,Loss,
+,11-02-25,Black Dragon League,Xel&#039;Naga Ca..,Socke,Loss,
+,11-02-25,Black Dragon League,Lost Temple SC2,Socke,Loss,
+,11-02-19,TeamSpeak TL Open ..,Lost Temple SC2,iNSoLeNCE,Loss,
+,11-02-19,TeamSpeak TL Open ..,Shakuras Plateau,iNSoLeNCE,Loss,
+,11-02-19,TeamSpeak TL Open ..,Scrap Station,SjoW,Win,
+,11-02-19,TeamSpeak TL Open ..,Lost Temple SC2,SjoW,Win,
+,11-02-19,TeamSpeak TL Open ..,Shakuras Plateau,fishlips,Win,
+,11-02-19,TeamSpeak TL Open ..,Scrap Station,fishlips,Win,
+,11-02-18,EU CraftCup #31,Blistering Sands,OpTiKzErO,Loss,
+,11-02-18,EU CraftCup #31,Xel&#039;Naga Ca..,OpTiKzErO,Loss,
+,11-02-18,EU CraftCup #31,Scrap Station,OpTiKzErO,Win,
