,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-02,TeamSpeak TL Open ..,The Shattered Te..,HwangSin,Loss,
+,11-07-02,TeamSpeak TL Open ..,Metalopolis 1.1,HwangSin,Loss,
+,11-07-02,TeamSpeak TL Open ..,Metalopolis 1.1,Mystic,Win,
+,11-07-02,TeamSpeak TL Open ..,Shakuras Plateau..,Mystic,Win,
+,11-07-02,TeamSpeak TL Open ..,Metalopolis 1.1,Gatored,Win,
+,11-07-02,TeamSpeak TL Open ..,The Shattered Te..,Gatored,Win,
+,11-07-02,FXO Invitational #4,Shakuras Plateau..,White-Ra,Loss,
+,11-07-02,FXO Invitational #4,Unknown,White-Ra,Loss,
+,11-07-02,FXO Invitational #4,Metalopolis 1.1,MarineKing,Loss,
+,11-07-02,FXO Invitational #4,The Shattered Te..,MarineKing,Loss,
+,11-07-02,FXO Invitational #4,Shakuras Plateau..,dde,Win,
+,11-07-02,FXO Invitational #4,Metalopolis 1.1,dde,Win,
+,11-06-26,EU ZOTAC Cup #62,iCCup Testbug,DeathAngel,Win,
+,11-06-26,EU ZOTAC Cup #62,Metalopolis 1.1,DeathAngel,Win,
+,11-06-26,EU ZOTAC Cup #62,Shakuras Plateau..,DeathAngel,Win,
+,11-06-26,EU ZOTAC Cup #62,Terminus SE,Tefel,Win,
+,11-06-26,EU ZOTAC Cup #62,Shakuras Plateau..,Tefel,Win,
+,11-06-26,EU ZOTAC Cup #62,The Shattered Te..,Tefel,Loss,
+,11-06-26,EU ZOTAC Cup #62,Shakuras Plateau..,sYz,Win,
+,11-06-26,EU ZOTAC Cup #62,The Shattered Te..,sYz,Win,
+,11-06-25,TeamSpeak TL Open ..,Tal&#039;Darim A..,Yong,Loss,
+,11-06-25,TeamSpeak TL Open ..,Metalopolis 1.1,Yong,Loss,
+,11-06-25,TeamSpeak TL Open ..,The Shattered Te..,Yong,Win,
+,11-06-20,Gigabyte Cup #2,Shakuras Plateau..,DeMusliM,Win,
+,11-06-20,Gigabyte Cup #2,iCCup Testbug,DeMusliM,Win,
+,11-06-20,Gigabyte Cup #2,Metalopolis 1.1,DeMusliM,Win,
+,11-06-20,Gigabyte Cup #2,Terminus SE,Tefel,Win,
+,11-06-20,Gigabyte Cup #2,Metalopolis 1.1,Tefel,Win,
+,11-06-20,Gigabyte Cup #2,Shakuras Plateau..,DBS,Win,
+,11-06-20,Gigabyte Cup #2,Metalopolis 1.1,DBS,Win,
+,11-06-19,EU ZOTAC Cup #61,Typhon Peaks,Beastyqt,Win,
+,11-06-19,EU ZOTAC Cup #61,Crevasse,Beastyqt,Win,
+,11-06-19,EU ZOTAC Cup #61,Shakuras Plateau..,Beastyqt,Win,
+,11-06-19,EU ZOTAC Cup #61,Shakuras Plateau..,Roll,Win,
+,11-06-19,EU ZOTAC Cup #61,Tal&#039;Darim A..,Roll,Win,
+,11-06-19,EU ZOTAC Cup #61,iCCup Testbug,FooFighter,Win,
+,11-06-19,EU ZOTAC Cup #61,Shakuras Plateau..,FooFighter,Loss,
+,11-06-19,EU ZOTAC Cup #61,Tal&#039;Darim A..,FooFighter,Win,
+,11-06-13,Gigabyte Cup #1,Terminus RE,LoWeLy,Loss,
+,11-06-13,Gigabyte Cup #1,Metalopolis,LoWeLy,Loss,
+,11-06-13,Gigabyte Cup #1,The Shattered Te..,LoWeLy,Win,
+,11-06-12,SHOUTCraft Invitat..,The Shattered Te..,MorroW,Win,
+,11-06-12,SHOUTCraft Invitat..,Shakuras Plateau..,MorroW,Win,
+,11-06-12,SHOUTCraft Invitat..,Terminus RE,MorroW,Win,
+,11-06-12,SHOUTCraft Invitat..,Crevasse,MorroW,Loss,
+,11-06-12,SHOUTCraft Invitat..,Metalopolis 1.1,MorroW,Win,
+,11-06-12,SHOUTCraft Invitat..,Tal&#039;Darim A..,MorroW,Loss,
+,11-06-12,SHOUTCraft Invitat..,Terminus RE,White-Ra,Win,
+,11-06-12,SHOUTCraft Invitat..,Tal&#039;Darim A..,White-Ra,Loss,
+,11-06-12,SHOUTCraft Invitat..,The Shattered Te..,White-Ra,Win,
+,11-06-12,SHOUTCraft Invitat..,Shakuras Plateau..,White-Ra,Win,
+,11-06-12,SHOUTCraft Invitat..,Xel&#039;Naga Ca..,White-Ra,Loss,
+,11-06-12,SHOUTCraft Invitat..,Shakuras Plateau..,ThorZaIN,Win,
+,11-06-12,SHOUTCraft Invitat..,The Shattered Te..,ThorZaIN,Win,
+,11-06-12,SHOUTCraft Invitat..,Metalopolis 1.1,ThorZaIN,Win,
+,11-06-11,Sennheiser Cup Fin..,The Shattered Te..,Strelok,Loss,
+,11-06-11,Sennheiser Cup Fin..,Shakuras Plateau..,Strelok,Loss,
+,11-06-11,Sennheiser Cup Fin..,Metalopolis 1.1,Strelok,Win,
+,11-06-11,Sennheiser Cup Fin..,Tal&#039;Darim A..,Satiini,Win,
+,11-06-11,Sennheiser Cup Fin..,The Shattered Te..,Satiini,Loss,
+,11-06-11,Sennheiser Cup Fin..,Metalopolis 1.1,Satiini,Win,
+,11-06-06,Competo Cup #43,Shakuras Plateau..,elfi,Loss,
+,11-06-06,Competo Cup #43,Terminus RE,elfi,Loss,
+,11-06-06,Competo Cup #43,iCCup Testbug,elfi,Loss,
+,11-06-06,Competo Cup #43,Scrap Station,Delphi,Win,
+,11-06-06,Competo Cup #43,Dual Sight,Delphi,Win,
+,11-06-05,EU ZOTAC Cup #59,Terminus RE,Strelok,Win,
+,11-06-05,EU ZOTAC Cup #59,The Shattered Te..,Strelok,Loss,
