,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-23,Homestory Cup #3,Shakuras Plateau..,Adelscott,Loss,
+,11-06-23,Homestory Cup #3,Tal&#039;Darim A..,Adelscott,Loss,
+,11-06-23,Homestory Cup #3,Crevasse,Adelscott,Win,
+,11-06-23,Homestory Cup #3,Tal&#039;Darim A..,Socke,Win,
+,11-06-23,Homestory Cup #3,Shakuras Plateau..,Socke,Loss,
+,11-06-23,Homestory Cup #3,The Shattered Te..,Socke,Win,
+,11-06-23,Homestory Cup #3,Tal&#039;Darim A..,Jimpo,Win,
+,11-06-23,Homestory Cup #3,Crossfire SE,Jimpo,Loss,
+,11-06-23,Homestory Cup #3,Metalopolis 1.1,Jimpo,Win,
+,11-06-19,2011 Dreamhack Sum..,Metalopolis 1.1,Socke,Loss,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,Socke,Loss,
+,11-06-19,2011 Dreamhack Sum..,Crossfire SE,Socke,Win,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,NaNiwa,Loss,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,NaNiwa,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,Strelok,Win,
+,11-06-18,2011 Dreamhack Sum..,Shakuras Plateau..,Strelok,Win,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,MoMaN,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,MoMaN,Loss,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,MoMaN,Win,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,Tyler,Win,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,Tyler,Win,
+,11-06-18,2011 Dreamhack Sum..,Shakuras Plateau..,Jimpo,Win,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,Jimpo,Win,
+,11-06-11,NASL S1,Crevasse,HasuObs,Win,
+,11-06-11,NASL S1,Metalopolis 1.1,HasuObs,Win,
+,11-06-05,MLG Columbus 2011,Xel&#039;Naga Ca..,SLush,Loss,
+,11-06-05,MLG Columbus 2011,Metalopolis 1.1,SLush,Win,
+,11-06-05,MLG Columbus 2011,iCCup Testbug,SLush,Loss,
