,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-25,NA ZOTAC Cup #7,Terminus RE,Spades,Loss,
+,11-06-25,NA ZOTAC Cup #7,Shakuras Plateau..,Spades,Win,
+,11-06-25,NA ZOTAC Cup #7,Crevasse,Spades,Loss,
+,11-06-10,NASL S1,Crevasse,Strelok,Loss,
+,11-06-10,NASL S1,Metalopolis 1.1,Strelok,Loss,
+,11-06-10,NASL S1,Tal&#039;Darim A..,Strelok,Win,
+,11-06-05,MLG Columbus 2011,Typhon Peaks,IdrA,Loss,
+,11-06-05,MLG Columbus 2011,Metalopolis 1.1,IdrA,Loss,
+,11-06-05,MLG Columbus 2011,Xel&#039;Naga Ca..,Ret,Win,
+,11-06-05,MLG Columbus 2011,Metalopolis 1.1,Ret,Loss,
+,11-06-05,MLG Columbus 2011,iCCup Testbug,Ret,Win,
+,11-06-05,MLG Columbus 2011,iCCup Testbug,Fenix,Win,
+,11-06-05,MLG Columbus 2011,Tal&#039;Darim A..,Fenix,Win,
+,11-06-05,MLG Columbus 2011,The Shattered Te..,Fenix,Win,
+,11-06-04,MLG Columbus 2011,Typhon Peaks,Fenix,Loss,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,Fenix,Win,
+,11-06-04,MLG Columbus 2011,Shakuras Plateau..,Fenix,Loss,
+,11-06-04,MLG Columbus 2011,Shakuras Plateau..,Moon,Win,
+,11-06-04,MLG Columbus 2011,Metalopolis 1.1,Moon,Win,
+,11-06-03,MLG Columbus 2011,Xel&#039;Naga Ca..,NaNiwa,Win,
+,11-06-03,MLG Columbus 2011,Metalopolis 1.1,NaNiwa,Win,
+,11-06-03,MLG Columbus 2011,Tal&#039;Darim A..,NaNiwa,Loss,
+,11-06-03,MLG Columbus 2011,Metalopolis 1.1,Drewbie,Loss,
+,11-06-03,MLG Columbus 2011,Shakuras Plateau..,Drewbie,Loss,
+,11-06-03,MLG Columbus 2011,iCCup Testbug,Drewbie,Win,
+,11-06-03,MLG Columbus 2011,Typhon Peaks,Gretorp,Win,
+,11-06-03,MLG Columbus 2011,Xel&#039;Naga Ca..,Gretorp,Win,
+,11-06-03,NASL S1,Crevasse,Axslav,Loss,
+,11-06-03,NASL S1,Metalopolis 1.1,Axslav,Loss,
+,11-05-27,NASL S1,Typhon Peaks,NaDa,Loss,
+,11-05-27,NASL S1,Crevasse,NaDa,Loss,
+,11-05-20,NASL S1,Xel&#039;Naga Ca..,Squirtle,Loss,
+,11-05-20,NASL S1,Typhon Peaks,Squirtle,Loss,
+,11-05-18,EG Masters Cup #5,The Shattered Te..,Mondragon,Loss,
+,11-05-18,EG Masters Cup #5,Tal&#039;Darim A..,Mondragon,Loss,
+,11-05-14,NA ZOTAC Cup #1,The Shattered Te..,Drewbie,Loss,
+,11-05-14,NA ZOTAC Cup #1,Tal&#039;Darim A..,Drewbie,Win,
+,11-05-14,NA ZOTAC Cup #1,Crevasse,Drewbie,Loss,
+,11-05-14,NA ZOTAC Cup #1,Metalopolis,Drewbie,Win,
+,11-05-14,NA ZOTAC Cup #1,Typhon Peaks,Drewbie,Loss,
+,11-05-14,NA ZOTAC Cup #1,The Shattered Te..,CatZ,Win,
+,11-05-14,NA ZOTAC Cup #1,Xel&#039;Naga Ca..,CatZ,Loss,
+,11-05-14,NA ZOTAC Cup #1,Metalopolis,CatZ,Win,
+,11-05-14,NA ZOTAC Cup #1,The Shattered Te..,Delphi,Win,
+,11-05-13,NASL S1,Terminus RE,dde,Loss,
+,11-05-13,NASL S1,The Shattered Te..,dde,Win,
+,11-05-13,NASL S1,Xel&#039;Naga Ca..,dde,Loss,
+,11-05-09,EG Masters Cup #5,Shakuras Plateau..,Strelok,Loss,
+,11-05-09,EG Masters Cup #5,The Shattered Te..,Strelok,Loss,
+,11-05-06,NASL S1,Terminus RE,NaNiwa,Loss,
+,11-05-06,NASL S1,The Shattered Te..,NaNiwa,Loss,
+,11-04-29,NASL S1,Backwater Gulch,KawaiiRice,Win,
+,11-04-29,NASL S1,Crossfire SE,KawaiiRice,Win,
+,11-04-29,NASL S1,Terminus RE,KawaiiRice,Loss,
+,11-04-22,NASL S1,Tal&#039;Darim A..,HayprO,Win,
+,11-04-22,NASL S1,Backwater Gulch,HayprO,Win,
+,11-04-22,NASL S1,Crossfire SE,HayprO,Loss,
+,11-04-14,NASL S1,Metalopolis,mOOnGLaDe,Win,
+,11-04-14,NASL S1,Tal&#039;Darim A..,mOOnGLaDe,Win,
+,11-04-14,NASL S1,Backwater Gulch,mOOnGLaDe,Loss,
+,11-04-03,MLG Dallas 2011,Shakuras Plateau..,mOoNan,Loss,
+,11-04-03,MLG Dallas 2011,Xel&#039;Naga Ca..,mOoNan,Loss,
+,11-04-03,MLG Dallas 2011,Metalopolis 1.1,mOoNan,Win,
+,11-04-02,MLG Dallas 2011,Shakuras Plateau..,Mihai,Win,
+,11-04-02,MLG Dallas 2011,Crossfire SE,Mihai,Win,
+,11-04-01,MLG Dallas 2011,Xel&#039;Naga Ca..,PainUser,Win,
+,11-04-01,MLG Dallas 2011,The Shattered Te..,PainUser,Win,
+,11-04-01,MLG Dallas 2011,Scrap Station,iNcontroL,Loss,
+,11-04-01,MLG Dallas 2011,Metalopolis 1.1,iNcontroL,Loss,
+,11-04-01,MLG Dallas 2011,Shakuras Plateau..,iNcontroL,Win,
+,11-04-01,MLG Dallas 2011,Shakuras Plateau..,TLO,Win,
+,11-04-01,MLG Dallas 2011,Metalopolis 1.1,TLO,Win,
+,11-04-01,MLG Dallas 2011,Xel&#039;Naga Ca..,TLO,Loss,
+,11-03-30,SC Connection SM #2,Slag Pits,ThisIsJimmy,Win,
+,11-03-30,SC Connection SM #2,Typhon Peaks,ThisIsJimmy,Win,
+,11-03-30,SC Connection SM #2,Scrap Station,ThisIsJimmy,Win,
+,11-03-30,SC Connection SM #2,Tal&#039;Darim A..,ThisIsJimmy,Loss,
+,11-03-30,SC Connection SM #2,The Shattered Te..,ThisIsJimmy,Loss,
+,11-03-30,SC Connection SM #2,Shakuras Plateau..,ThisIsJimmy,Win,
+,11-03-30,SC Connection SM #2,Xel&#039;Naga Ca..,ThisIsJimmy,Loss,
+,11-03-18,Justin.tv Invite #2,The Shattered Te..,legosu,Loss,
+,11-03-18,Justin.tv Invite #2,Shakuras Plateau,legosu,Loss,
+,11-03-18,Justin.tv Invite #2,iCCup Vahalla,mOoNan,Loss,
+,11-03-18,Justin.tv Invite #2,Xel&#039;Naga Ca..,mOoNan,Loss,
+,11-03-18,Justin.tv Invite #2,iCCup Fighting S..,mOoNan,Win,
+,11-03-18,Justin.tv Invite #2,The Shattered Te..,Ryze,Win,
+,11-03-18,Justin.tv Invite #2,Xel&#039;Naga Ca..,Ryze,Win,
+,11-03-18,Justin.tv Invite #2,Xel&#039;Naga Ca..,Bubbles,Win,
+,11-03-18,Justin.tv Invite #2,Metalopolis,Bubbles,Win,
+,11-03-17,Hypercrew Showmatc..,The Shattered Te..,dignitas.KiLLeR,Win,
+,11-03-17,Hypercrew Showmatc..,Xel&#039;Naga Ca..,dignitas.KiLLeR,Win,
+,11-03-17,Hypercrew Showmatc..,Shakuras Plateau..,dignitas.KiLLeR,Win,
+,11-03-17,Hypercrew Showmatc..,Metalopolis,dignitas.KiLLeR,Win,
+,11-03-13,Montreal LAN ETS,Unknown,FredZ,Win,
+,11-03-13,Montreal LAN ETS,Unknown,FredZ,Win,
+,11-03-13,Montreal LAN ETS,Xel&#039;Naga Ca..,legosu,Win,
+,11-03-13,Montreal LAN ETS,Metalopolis 1.1,legosu,Win,
+,11-03-13,Montreal LAN ETS,The Shattered Te..,legosu,Loss,
+,11-03-13,Montreal LAN ETS,Unknown,Mihai,Loss,
+,11-03-13,Montreal LAN ETS,Unknown,Mihai,Win,
+,11-03-13,Montreal LAN ETS,The Shattered Te..,Mihai,Loss,
+,11-02-18,Complexity Showmat..,Steppes of War,Axslav,Loss,
+,11-02-18,Complexity Showmat..,Shakuras Plateau,Axslav,Loss,
+,11-02-18,Complexity Showmat..,Xel&#039;Naga Ca..,Axslav,Loss,
+,11-02-18,Complexity Showmat..,Lost Temple SC2,Axslav,Loss,
+,11-02-18,Complexity Showmat..,Metalopolis,Axslav,Win,
+,11-02-16,ROOT Invitational,Unknown,KiWiKaKi,Loss,
+,11-02-16,ROOT Invitational,Unknown,KiWiKaKi,Loss,
+,11-02-16,ROOT Invitational,Unknown,KiWiKaKi,Win,
+,11-02-16,ROOT Invitational,Xel&#039;Naga Ca..,KiWiKaKi,Loss,
+,11-02-16,ROOT Invitational,Metalopolis,Bubbles,Win,
+,11-02-16,ROOT Invitational,Xel&#039;Naga Ca..,Bubbles,Win,
+,11-02-15,ROOT Invitational,Lost Temple SC2,LzGaMeR,Win,
+,11-02-15,ROOT Invitational,Xel&#039;Naga Ca..,LzGaMeR,Win,
+,11-02-15,ROOT Invitational,Lost Temple SC2,CrunCher,Win,
+,11-02-15,ROOT Invitational,Xel&#039;Naga Ca..,CrunCher,Win,
+,11-02-06,SGL Season 2,Xel&#039;Naga Ca..,PredY,Loss,
+,11-02-05,ThunderZark Invita..,Metalopolis,mOoNan,Loss,
+,11-02-05,ThunderZark Invita..,Xel&#039;Naga Ca..,mOoNan,Loss,
+,11-01-21,Machinima Realm In..,Xel&#039;Naga Ca..,HayprO,Loss,
+,11-01-15,2011 GCPL S1,Blistering Sands,Strelok,Loss,
+,11-01-12,SGL Season 2,Shakuras Plateau,Bubbles,Loss,
+,11-01-10,Machinima Realm In..,Xel&#039;Naga Ca..,Strelok,Win,
+,11-01-07,Steelseries: EU vs..,Scrap Station,BRAT_OK,Loss,
+,11-01-07,Steelseries: EU vs..,Xel&#039;Naga Ca..,BRAT_OK,Loss,
+,11-01-07,Steelseries: EU vs..,Jungle Basin,BRAT_OK,Loss,
