,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-03,2011 WCG France Na..,Metalopolis 1.1,ToD,Loss,
+,11-07-03,2011 WCG France Na..,Shakuras Plateau..,ToD,Loss,
+,11-07-03,2011 WCG France Na..,Xel&#039;Naga Ca..,ToD,Loss,
+,11-07-03,2011 WCG France Na..,Metalopolis 1.1,Laukyo,Win,
+,11-07-03,2011 WCG France Na..,The Shattered Te..,Laukyo,Loss,
+,11-07-03,2011 WCG France Na..,Shakuras Plateau..,Laukyo,Win,
+,11-06-19,2011 Dreamhack Sum..,Metalopolis 1.1,XlorD,Loss,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,XlorD,Loss,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,Bomber,Loss,
+,11-06-19,2011 Dreamhack Sum..,Terminus SE,Bomber,Loss,
+,11-06-19,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,Bomber,Win,
+,11-06-19,2011 Dreamhack Sum..,Crossfire SE,Happy,Loss,
+,11-06-19,2011 Dreamhack Sum..,Metalopolis 1.1,Happy,Loss,
+,11-06-19,2011 Dreamhack Sum..,Crevasse,HayprO,Loss,
+,11-06-19,2011 Dreamhack Sum..,Shakuras Plateau..,HayprO,Loss,
+,11-06-19,2011 Dreamhack Sum..,Tal&#039;Darim A..,MaNa,Win,
+,11-06-19,2011 Dreamhack Sum..,Crevasse,MaNa,Loss,
+,11-06-19,2011 Dreamhack Sum..,Metalopolis 1.1,MaNa,Win,
+,11-06-01,EU Go4SC2 Cup #110,Xel&#039;Naga Ca..,Underdark,Loss,
+,11-06-01,EU Go4SC2 Cup #110,Terminus SE,Underdark,Win,
+,11-06-01,EU Go4SC2 Cup #110,The Shattered Te..,Underdark,Loss,
+,11-06-01,EU Go4SC2 Cup #110,Tal&#039;Darim A..,Underdark,Loss,
+,11-06-01,EU Go4SC2 Cup #110,Metalopolis 1.1,Skruffy,Win,
+,11-06-01,EU Go4SC2 Cup #110,Shakuras Plateau..,Skruffy,Win,
+,11-06-01,EU Go4SC2 Cup #110,The Shattered Te..,FuRy,Win,
+,11-06-01,EU Go4SC2 Cup #110,Metalopolis 1.1,FuRy,Win,
+,11-05-04,SC2CL S2: Master,Terminus SE,KroLu,Win,
+,11-05-04,SC2CL S2: Master,Xel&#039;Naga Ca..,KroLu,Win,
+,11-04-24,2011 Gamers Assembly,The Shattered Te..,HasuObs,Loss,
+,11-04-24,2011 Gamers Assembly,iCCup Testbug,AureS,Loss,
+,11-04-24,2011 Gamers Assembly,Metalopolis,AureS,Loss,
+,11-04-24,2011 Gamers Assembly,Shakuras Plateau..,Feast,Win,
+,11-04-24,2011 Gamers Assembly,Metalopolis,Feast,Loss,
+,11-04-24,2011 Gamers Assembly,Xel&#039;Naga Ca..,Feast,Win,
+,11-04-24,2011 Gamers Assembly,Shakuras Plateau..,effecto,Win,
+,11-04-24,2011 Gamers Assembly,Metalopolis,effecto,Loss,
+,11-04-24,2011 Gamers Assembly,Xel&#039;Naga Ca..,effecto,Win,
+,11-04-23,2011 Medion Trophy,Tal&#039;Darim A..,Stephano,Loss,
+,11-04-23,2011 Medion Trophy,Crossfire SE,Stephano,Loss,
+,11-04-23,2011 Medion Trophy,Metalopolis,Feast,Win,
+,11-04-23,2011 Medion Trophy,Xel&#039;Naga Ca..,Feast,Win,
+,11-04-17,SC2CL S2: Master,Terminus SE,DeViL,Win,
+,11-04-17,SC2CL S2: Master,Xel&#039;Naga Ca..,DeViL,Win,
+,11-04-17,SC2CL S2: Master,Tal&#039;Darim A..,DeViL,Loss,
+,11-04-10,SC2CL S2: Master,Backwater Gulch ..,DDDuuU,Win,
+,11-04-10,SC2CL S2: Master,Terminus RE,DDDuuU,Loss,
+,11-04-10,SC2CL S2: Master,The Shattered Te..,DDDuuU,Win,
+,11-03-23,EU Champions Troph..,Unknown,NightEnD,Loss,
+,11-03-23,EU Champions Troph..,Unknown,NightEnD,Loss,
+,11-03-23,EU Champions Troph..,Unknown,Naugrim,Win,
+,11-03-23,EU Champions Troph..,Unknown,Naugrim,Win,
+,11-02-23,EU Go4SC2 Cup #84,Xel&#039;Naga Ca..,MoMaN,Win,
