,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-24,EU CraftCup #38,Tal&#039;Darim A..,Kas,Loss,
+,11-06-24,EU CraftCup #38,Xel&#039;Naga Ca..,Kas,Loss,
+,11-06-24,EU CraftCup #38,Tal&#039;Darim A..,sda,Win,
+,11-06-24,EU CraftCup #38,Xel&#039;Naga Ca..,sda,Win,
+,11-06-22,EU Go4SC2 Cup #115,(?),Tarson,Win,
+,11-06-22,EU Go4SC2 Cup #115,(?),Tarson,Win,
+,11-06-22,EU Go4SC2 Cup #115,(?),Tarson,Win,
+,11-06-22,EU Go4SC2 Cup #115,(?),DieStar,Win,
+,11-06-22,EU Go4SC2 Cup #115,The Shattered Te..,DieStar,Win,
+,11-06-22,EU Go4SC2 Cup #115,(?),Bsk,Win,
+,11-06-22,EU Go4SC2 Cup #115,(?),Bsk,Loss,
+,11-06-22,EU Go4SC2 Cup #115,(?),Bsk,Win,
+,11-06-07,EU Go4SC2 Final #13,Tal&#039;Darim A..,Naama,Loss,
+,11-06-07,EU Go4SC2 Final #13,Xel&#039;Naga Ca..,Naama,Win,
+,11-06-07,EU Go4SC2 Final #13,Shakuras Plateau..,Naama,Loss,
+,11-06-07,EU CraftCup Lite #67,Scrap Station,Tankred,Win,
+,11-06-07,EU CraftCup Lite #67,Terminus SE,Tankred,Win,
+,11-06-07,EU CraftCup Lite #67,Shakuras Plateau..,Tankred,Loss,
+,11-06-07,EU CraftCup Lite #67,Shakuras Plateau..,DBS,Win,
+,11-06-07,EU CraftCup Lite #67,Xel&#039;Naga Ca..,DBS,Win,
+,11-06-06,GameCreds Cup #17,iCCup Neo Enigma,HappyZerG,Loss,
+,11-06-06,GameCreds Cup #17,Terminus SE,HappyZerG,Loss,
+,11-06-06,GameCreds Cup #17,Shakuras Plateau..,HappyZerG,Win,
+,11-06-06,GameCreds Cup #17,Tal&#039;Darim A..,HappyZerG,Loss,
+,11-06-06,GameCreds Cup #17,Xel&#039;Naga Ca..,Clavie,Win,
+,11-06-06,GameCreds Cup #17,Shakuras Plateau..,Clavie,Win,
+,11-06-06,GameCreds Cup #17,Tal&#039;Darim A..,Sleeep,Win,
+,11-06-06,GameCreds Cup #17,Xel&#039;Naga Ca..,Sleeep,Win,
+,11-06-05,EU Go4SC2 Cup #111,iCCup Neo Enigma,Tarson,Loss,
+,11-06-05,EU Go4SC2 Cup #111,The Shattered Te..,Tarson,Loss,
+,11-06-05,EU Go4SC2 Cup #111,Tal&#039;Darim A..,Tarson,Win,
+,11-06-05,EU Go4SC2 Cup #111,Terminus SE,Tarson,Loss,
+,11-06-05,EU Go4SC2 Cup #111,Xel&#039;Naga Ca..,biGs,Win,
+,11-06-05,EU Go4SC2 Cup #111,Terminus SE,biGs,Win,
+,11-06-05,EU Go4SC2 Cup #111,Tal&#039;Darim A..,Fayx,Win,
+,11-06-05,EU Go4SC2 Cup #111,Shakuras Plateau..,Fayx,Loss,
+,11-06-05,EU Go4SC2 Cup #111,Xel&#039;Naga Ca..,Fayx,Win,
+,11-05-30,GameCreds Cup #16,Shakuras Plateau..,Couguar,Loss,
+,11-05-30,GameCreds Cup #16,Tal&#039;Darim A..,Couguar,Loss,
+,11-05-28,Sennheiser Cup #16,Terminus SE,Stephano,Loss,
+,11-05-28,Sennheiser Cup #16,Shakuras Plateau..,Stephano,Win,
+,11-05-28,Sennheiser Cup #16,Tal&#039;Darim A..,Stephano,Loss,
+,11-05-28,Sennheiser Cup #16,Shakuras Plateau..,Gemini,Win,
+,11-05-28,Sennheiser Cup #16,Xel&#039;Naga Ca..,Gemini,Win,
+,11-05-25,EU Go4SC2 Cup #108,Metalopolis 1.1,Kas,Loss,
+,11-05-25,EU Go4SC2 Cup #108,Shakuras Plateau..,Kas,Win,
+,11-05-25,EU Go4SC2 Cup #108,Terminus SE,Kas,Loss,
+,11-05-25,EU Go4SC2 Cup #108,Tal&#039;Darim A..,Kas,Loss,
+,11-05-25,EU Go4SC2 Cup #108,Xel&#039;Naga Ca..,Kas,Win,
+,11-05-25,EU Go4SC2 Cup #108,Tal&#039;Darim A..,LaLuSh,Win,
+,11-05-25,EU Go4SC2 Cup #108,Shakuras Plateau..,LaLuSh,Loss,
+,11-05-25,EU Go4SC2 Cup #108,Xel&#039;Naga Ca..,LaLuSh,Win,
+,11-05-25,EU Go4SC2 Cup #108,iCCup Neo Enigma,Skinky,Win,
+,11-05-25,EU Go4SC2 Cup #108,Tal&#039;Darim A..,Skinky,Loss,
+,11-05-25,EU Go4SC2 Cup #108,Shakuras Plateau..,Skinky,Win,
+,11-05-18,EU Go4SC2 Cup #106,Tal&#039;Darim A..,Nerchio,Loss,
+,11-05-18,EU Go4SC2 Cup #106,Terminus SE,Nerchio,Loss,
+,11-04-17,EU Go4SC2 Cup #98,Xel&#039;Naga Ca..,Stephano,Loss,
+,11-04-17,EU Go4SC2 Cup #98,Terminus SE,Stephano,Loss,
