,Date&nbsp;,League,Map,Opponent,Result,
+,11-05-12,4pl.de CC #2011-41,Scrap Station,White,Loss,
+,11-05-12,4pl.de CC #2011-41,Crevasse,White,Loss,
+,11-05-12,4pl.de CC #2011-41,Xel&#039;Naga Ca..,Bly,Loss,
+,11-05-12,4pl.de CC #2011-41,Terminus RE,Bly,Loss,
+,11-05-03,Endrey.com Series ..,Dual Sight,MorroW,Loss,
+,11-05-03,Endrey.com Series ..,The Shattered Te..,MorroW,Loss,
+,11-05-03,Endrey.com Series ..,Shakuras Plateau..,MorroW,Loss,
+,11-04-28,4pl.de CC #2011-37,Unknown,control,Loss,
+,11-04-28,4pl.de CC #2011-37,The Shattered Te..,control,Loss,
+,11-04-28,4pl.de CC #2011-37,Xel&#039;Naga Ca..,control,Win,
+,11-04-28,4pl.de CC #2011-37,iCCup Testbug,Happy,Loss,
+,11-04-28,4pl.de CC #2011-37,Crevasse,Happy,Loss,
+,11-04-27,EU Go4SC2 Cup #101,Terminus SE,biGs,Loss,
+,11-04-27,EU Go4SC2 Cup #101,Xel&#039;Naga Ca..,biGs,Loss,
+,11-04-27,EU Go4SC2 Cup #101,The Shattered Te..,biGs,Win,
+,11-04-27,EU Go4SC2 Cup #101,Metalopolis 1.1,Mikhail,Win,
+,11-04-27,EU Go4SC2 Cup #101,Shakuras Plateau..,Mikhail,Win,
+,11-04-14,4pl.de CC #2011-33,Xel&#039;Naga Ca..,Underdark,Win,
+,11-04-14,4pl.de CC #2011-33,Shakuras Plateau..,Underdark,Win,
+,11-04-14,4pl.de CC #2011-33,Metalopolis,Underdark,Loss,
+,11-04-14,4pl.de CC #2011-33,Xel&#039;Naga Ca..,HappyZerG,Win,
+,11-04-14,4pl.de CC #2011-33,Crevasse,HappyZerG,Win,
+,11-04-08,EU CraftCup Lite #51,Shakuras Plateau,Fenix,Loss,
+,11-04-08,EU CraftCup Lite #51,Xel&#039;Naga Ca..,Fenix,Loss,
+,11-04-08,EU CraftCup Lite #51,Unknown,Couguar,Win,
+,11-04-08,EU CraftCup Lite #51,Unknown,Couguar,Win,
+,11-04-04,GameCreds Cup #8,Unknown,Kas,Loss,
+,11-04-04,GameCreds Cup #8,Unknown,Kas,Win,
+,11-04-04,GameCreds Cup #8,Unknown,Kas,Loss,
+,11-04-04,GameCreds Cup #8,Unknown,BeNSeN,Win,
+,11-04-04,GameCreds Cup #8,Xel&#039;Naga Ca..,BeNSeN,Win,
+,11-04-03,2011 UGC,The Shattered Te..,HasuObs,Loss,
+,11-04-03,2011 UGC,Shakuras Plateau..,HasuObs,Loss,
+,11-04-03,2011 UGC,Metalopolis,ClouD,Loss,
+,11-04-03,2011 UGC,Xel&#039;Naga Ca..,ClouD,Loss,
+,11-04-02,2011 UGC,Shakuras Plateau..,WuLvEraTe,Win,
+,11-04-02,2011 UGC,Metalopolis,WuLvEraTe,Win,
+,11-04-02,2011 UGC,Metalopolis,LoZ,Win,
+,11-04-02,2011 UGC,The Shattered Te..,LoZ,Win,
+,11-04-02,2011 UGC,Xel&#039;Naga Ca..,LoZ,Loss,
+,11-04-01,2011 UGC,Unknown,BaFFinO,Loss,
+,11-04-01,2011 UGC,Unknown,BaFFinO,Loss,
+,11-04-01,2011 UGC,The Shattered Te..,Delphi,Win,
+,11-04-01,2011 UGC,Xel&#039;Naga Ca..,Delphi,Win,
+,11-04-01,2011 UGC,Scrap Station,GoOdy,Loss,
+,11-04-01,2011 UGC,Xel&#039;Naga Ca..,GoOdy,Win,
+,11-04-01,2011 UGC,Shakuras Plateau..,GoOdy,Loss,
+,11-04-01,2011 UGC,Terminus RE,MescalineEyes,Win,
+,11-04-01,2011 UGC,Shakuras Plateau..,MescalineEyes,Win,
+,11-04-01,2011 UGC,Xel&#039;Naga Ca..,File,Win,
+,11-04-01,2011 UGC,The Shattered Te..,File,Win,
+,11-03-28,Competo Cup #33,iCCup Testbug,Naugrim,Loss,
