,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-24,Homestory Cup #3,Metalopolis 1.1,MC,Loss,
+,11-06-24,Homestory Cup #3,Xel&#039;Naga Ca..,MC,Loss,
+,11-06-24,Homestory Cup #3,Xel&#039;Naga Ca..,DeMusliM,Loss,
+,11-06-24,Homestory Cup #3,The Shattered Te..,DeMusliM,Loss,
+,11-06-24,Homestory Cup #3,Metalopolis 1.1,XlorD,Loss,
+,11-06-24,Homestory Cup #3,The Shattered Te..,XlorD,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,MoMaN,Win,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,MoMaN,Win,
+,11-06-18,2011 Dreamhack Sum..,Crossfire SE,NaNiwa,Loss,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,NaNiwa,Loss,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,Jimpo,Loss,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,Jimpo,Win,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,Jimpo,Loss,
+,11-06-18,2011 Dreamhack Sum..,Tal&#039;Darim A..,Ret,Loss,
+,11-06-18,2011 Dreamhack Sum..,Terminus SE,Ret,Loss,
+,11-06-18,2011 Dreamhack Sum..,Metalopolis 1.1,Strelok,Loss,
+,11-06-18,2011 Dreamhack Sum..,Xel&#039;Naga Ca..,Strelok,Loss,
+,11-06-18,2011 Dreamhack Sum..,Crevasse,Strelok,Win,
+,11-06-12,NASL S1,Xel&#039;Naga Ca..,ClouD,Win,
+,11-06-12,NASL S1,Typhon Peaks,ClouD,Loss,
+,11-06-12,NASL S1,Crevasse,ClouD,Win,
+,11-06-05,NASL S1,Xel&#039;Naga Ca..,Zenio,Loss,
+,11-06-05,NASL S1,Typhon Peaks,Zenio,Loss,
+,11-06-05,MLG Columbus 2011,The Shattered Te..,sixjaxMajOr,Loss,
+,11-06-05,MLG Columbus 2011,Shakuras Plateau..,sixjaxMajOr,Loss,
+,11-06-05,MLG Columbus 2011,Xel&#039;Naga Ca..,sixjaxMajOr,Win,
+,11-06-05,MLG Columbus 2011,The Shattered Te..,ViBE,Win,
+,11-06-05,MLG Columbus 2011,Metalopolis 1.1,ViBE,Loss,
+,11-06-05,MLG Columbus 2011,Shakuras Plateau..,ViBE,Win,
+,11-06-04,MLG Columbus 2011,Metalopolis 1.1,ThorZaIN,Loss,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,ThorZaIN,Loss,
+,11-06-04,MLG Columbus 2011,Metalopolis 1.1,IdrA,Loss,
+,11-06-04,MLG Columbus 2011,Xel&#039;Naga Ca..,IdrA,Loss,
