,Date&nbsp;,League,Map,Opponent,Result,
+,11-04-15,ONE Invitational #1,Unknown,iNkA,Loss,
+,11-04-15,ONE Invitational #1,Metalopolis,iNkA,Loss,
+,11-04-15,ONE Invitational #1,Unknown,desRow,Win,
+,11-04-15,ONE Invitational #1,Shakuras Plateau..,desRow,Win,
+,11-04-10,US Go4SC2 Cup #46,Unknown,Tunico,Loss,
+,11-04-10,US Go4SC2 Cup #46,Unknown,Tunico,Win,
+,11-04-10,US Go4SC2 Cup #46,Unknown,Tunico,Loss,
+,11-02-20,SGL Season 2,Delta Quadrant,Edward,Loss,
+,11-02-20,SGL Season 2,Lost Temple SC2,Vadar,Win,
+,11-02-13,US Go4SC2 Cup #30,Metalopolis,Future,Win,
+,11-02-13,US Go4SC2 Cup #30,Jungle Basin,Future,Win,
+,11-02-13,US Go4SC2 Cup #30,Xel&#039;Naga Ca..,Future,Win,
+,11-02-13,US Go4SC2 Cup #30,(?),mOoNan,Win,
+,11-02-13,US Go4SC2 Cup #30,(?),mOoNan,Loss,
+,11-02-13,US Go4SC2 Cup #30,(?),mOoNan,Win,
+,11-02-13,US Go4SC2 Cup #30,(?),MoMaN,Win,
+,11-02-13,US Go4SC2 Cup #30,(?),MoMaN,Loss,
+,11-02-13,US Go4SC2 Cup #30,(?),MoMaN,Win,
+,11-02-12,TeamSpeak TL Open ..,Shakuras Plateau,ZeeRaX,Loss,
+,11-02-12,TeamSpeak TL Open ..,Xel&#039;Naga Ca..,ZeeRaX,Loss,
+,11-02-12,TeamSpeak TL Open ..,Lost Temple SC2,ZeeRaX,Win,
+,11-02-12,TeamSpeak TL Open ..,Xel&#039;Naga Ca..,OpTiKzErO,Win,
+,11-02-12,TeamSpeak TL Open ..,Shakuras Plateau,OpTiKzErO,Win,
+,11-02-12,TeamSpeak TL Open ..,Scrap Station,OpTiKzErO,Loss,
+,11-02-07,Star2.org Tour #2,Shakuras Plateau,Bubbles,Loss,
+,11-02-07,Star2.org Tour #2,Lost Temple SC2,Bubbles,Win,
+,11-02-07,Star2.org Tour #2,Scrap Station,Bubbles,Loss,
