,Date&nbsp;,League,Map,Opponent,Result,
+,11-04-15,ONE Invitational #1,Unknown,bLuR,Loss,
+,11-04-15,ONE Invitational #1,Shakuras Plateau..,bLuR,Loss,
+,11-03-23,SpazCraft Invite #1,Metalopolis,CatZ,Loss,
+,11-03-23,SpazCraft Invite #1,Scrap Station,sixjaxMajOr,Loss,
+,11-03-23,SpazCraft Invite #1,Xel&#039;Naga Ca..,sixjaxMajOr,Loss,
+,11-03-18,Justin.tv Invite #2,Metalopolis,GoOdy,Loss,
+,11-03-18,Justin.tv Invite #2,Xel&#039;Naga Ca..,GoOdy,Loss,
+,11-03-18,Justin.tv Invite #2,Shakuras Plateau,NGry,Loss,
+,11-03-18,Justin.tv Invite #2,Metalopolis,NGry,Loss,
+,11-03-13,Montreal LAN ETS,Unknown,dde,Loss,
+,11-03-13,Montreal LAN ETS,Unknown,dde,Win,
+,11-03-13,Montreal LAN ETS,Unknown,dde,Loss,
+,11-03-13,Montreal LAN ETS,Unknown,Attero,Loss,
+,11-03-13,Montreal LAN ETS,Unknown,Attero,Loss,
+,11-03-08,US Go4SC2 Final #05,Unknown,Stalife,Loss,
+,11-03-08,US Go4SC2 Final #05,Xel&#039;Naga Ca..,Stalife,Loss,
+,11-03-02,US Go4SC2 Cup #35,Shakuras Plateau,DemoleX,Loss,
+,11-03-02,US Go4SC2 Cup #35,Scrap Station,DemoleX,Loss,
+,11-03-02,US Go4SC2 Cup #35,Metalopolis,VEGA,Win,
+,11-03-02,US Go4SC2 Cup #35,Xel&#039;Naga Ca..,VEGA,Win,
+,11-03-02,US Go4SC2 Cup #35,The Shattered Te..,VEGA,Loss,
+,11-02-09,US Go4SC2 Cup #29,Shakuras Plateau,dde,Loss,
+,11-02-09,US Go4SC2 Cup #29,Xel&#039;Naga Ca..,dde,Loss,
+,11-02-09,US Go4SC2 Cup #29,Lost Temple SC2,dde,Loss,
+,11-02-09,US Go4SC2 Cup #29,(?),PiG,Win,
+,11-02-09,US Go4SC2 Cup #29,(?),PiG,Win,
+,11-02-09,US Go4SC2 Cup #29,(?),nozick,Win,
+,11-02-09,US Go4SC2 Cup #29,(?),nozick,Win,
+,11-02-06,US Go4SC2 Cup #28,Scrap Station,dde,Loss,
+,11-02-06,US Go4SC2 Cup #28,Xel&#039;Naga Ca..,dde,Loss,
+,11-02-06,US Go4SC2 Cup #28,Metalopolis,dde,Loss,
+,11-02-06,US Go4SC2 Cup #28,Unknown,PiG,Win,
+,11-02-06,US Go4SC2 Cup #28,Unknown,PiG,Win,
+,11-02-06,US Go4SC2 Cup #28,Scrap Station,Gatored,Win,
+,11-02-06,US Go4SC2 Cup #28,Xel&#039;Naga Ca..,Gatored,Win,
+,11-02-03,2011 GCPL S1,Xel&#039;Naga Ca..,KawaiiRice,Win,
+,11-01-31,VT Open #4,Unknown,Agh,Loss,
+,11-01-31,VT Open #4,Unknown,Agh,Win,
+,11-01-31,VT Open #4,Unknown,Agh,Loss,
+,11-01-26,VT Open #3,Unknown,Stalife,Loss,
+,11-01-26,VT Open #3,Scrap Station,Stalife,Loss,
+,11-01-24,VT Open #3,Unknown,Celious,Win,
+,11-01-24,VT Open #3,Unknown,Celious,Loss,
+,11-01-24,VT Open #3,Unknown,Celious,Win,
+,11-01-22,US CraftCup #20,Xel&#039;Naga Ca..,ThisIsJimmy,Loss,
+,11-01-22,US CraftCup #20,Metalopolis,ThisIsJimmy,Loss,
