,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,HuK,Loss,
+,11-06-24,Homestory Cup #3,Terminus SE,HuK,Loss,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,NarutO,Win,
+,11-06-24,Homestory Cup #3,The Shattered Te..,NarutO,Win,
+,11-06-24,Homestory Cup #3,Metalopolis 1.1,Stephano,Loss,
+,11-06-24,Homestory Cup #3,Shakuras Plateau..,Stephano,Loss,
+,11-05-21,EU Champions Troph..,Xel&#039;Naga Ca..,Tarson,Loss,
+,11-05-21,EU Champions Troph..,Terminus RE,Tarson,Loss,
+,11-05-21,EU Champions Troph..,The Shattered Te..,Tarson,Win,
+,11-05-21,EU Champions Troph..,Terminus RE,OutSide,Win,
+,11-05-21,EU Champions Troph..,Shakuras Plateau..,OutSide,Win,
+,11-04-10,EU ZOTAC Cup #51,Scrap Station,Beastyqt,Loss,
+,11-04-10,EU ZOTAC Cup #51,Xel&#039;Naga Ca..,Beastyqt,Loss,
+,11-04-03,EU Go4SC2 Cup #94,Unknown,Akki,Loss,
+,11-04-03,EU Go4SC2 Cup #94,Unknown,Akki,Loss,
+,11-04-03,EU Go4SC2 Cup #94,Unknown,Akki,Win,
+,11-03-31,4pl.de CC #2011-29,Shakuras Plateau..,LoWeLy,Win,
+,11-03-31,4pl.de CC #2011-29,Metalopolis,LoWeLy,Win,
+,11-03-31,4pl.de CC #2011-29,Metalopolis,Nerchio,Loss,
+,11-03-31,4pl.de CC #2011-29,Xel&#039;Naga Ca..,Nerchio,Loss,
+,11-03-28,GameCreds Cup #7,Unknown,Nerchio,Loss,
+,11-03-28,GameCreds Cup #7,Unknown,Nerchio,Win,
+,11-03-28,GameCreds Cup #7,Unknown,Nerchio,Loss,
+,11-03-28,GameCreds Cup #7,Unknown,Nerchio,Win,
+,11-03-28,GameCreds Cup #7,Unknown,Nerchio,Loss,
+,11-03-28,GameCreds Cup #7,Unknown,Roll,Win,
+,11-03-28,GameCreds Cup #7,Unknown,Roll,Loss,
+,11-03-28,GameCreds Cup #7,Unknown,Roll,Win,
+,11-03-28,GameCreds Cup #7,Unknown,sLivko,Win,
+,11-03-28,GameCreds Cup #7,Xel&#039;Naga Ca..,sLivko,Win,
+,11-03-27,Heat Invitational,Shakuras Plateau..,RineTS,Loss,
+,11-03-27,Heat Invitational,Xel&#039;Naga Ca..,RineTS,Win,
+,11-03-27,Heat Invitational,Terminus RE,RineTS,Loss,
+,11-03-27,Heat Invitational,Crevasse,ClouD,Loss,
+,11-03-27,Heat Invitational,Terminus RE,ClouD,Loss,
+,11-03-27,Heat Invitational,Tal&#039;Darim A..,ClouD,Loss,
+,11-03-26,FXO Invitational #2,Unknown,LoWeLy,Loss,
+,11-03-26,FXO Invitational #2,Unknown,LoWeLy,Loss,
+,11-03-26,FXO Invitational #2,Unknown,SLoG,Win,
+,11-03-26,FXO Invitational #2,Unknown,SLoG,Win,
+,11-03-26,FXO Invitational #2,Unknown,AlexCMoi,Win,
+,11-03-26,FXO Invitational #2,Unknown,AlexCMoi,Loss,
+,11-03-26,FXO Invitational #2,Unknown,AlexCMoi,Win,
+,11-03-26,FXO Invitational #2,Unknown,ClouD,Loss,
+,11-03-26,FXO Invitational #2,Unknown,ClouD,Win,
+,11-03-26,FXO Invitational #2,Unknown,ClouD,Loss,
+,11-03-23,EU Champions Troph..,Unknown,ClouD,Loss,
+,11-03-23,EU Champions Troph..,Unknown,ClouD,Loss,
+,11-03-23,EU Champions Troph..,Unknown,ClouD,Loss,
+,11-03-23,EU Champions Troph..,Unknown,Cytoplasm,Win,
+,11-03-23,EU Champions Troph..,Unknown,Cytoplasm,Loss,
+,11-03-23,EU Champions Troph..,Unknown,Cytoplasm,Win,
+,11-03-23,EU Champions Troph..,Unknown,Bischu,Win,
+,11-03-23,EU Champions Troph..,Unknown,Bischu,Win,
+,11-03-23,EU Champions Troph..,Unknown,ToD,Win,
+,11-03-23,EU Champions Troph..,Unknown,ToD,Loss,
+,11-03-23,EU Champions Troph..,Unknown,ToD,Win,
+,11-03-23,EU Champions Troph..,Unknown,PredY,Win,
+,11-03-23,EU Champions Troph..,Unknown,PredY,Win,
+,11-03-20,CYBORG Cup #2-5,The Shattered Te..,Beastyqt,Loss,
+,11-03-20,CYBORG Cup #2-5,Shakuras Plateau,Beastyqt,Loss,
+,11-03-20,CYBORG Cup #2-5,iCCup Testbug,Aisten,Win,
+,11-03-20,CYBORG Cup #2-5,Xel&#039;Naga Ca..,Aisten,Win,
+,11-03-19,Justin.tv Invite #2,Xel&#039;Naga Ca..,Bubbles,Loss,
+,11-03-19,Justin.tv Invite #2,Shakuras Plateau,Bubbles,Win,
+,11-03-19,Justin.tv Invite #2,Metalopolis,Bubbles,Loss,
+,11-03-18,Justin.tv Invite #2,The Shattered Te..,ClouD,Win,
+,11-03-18,Justin.tv Invite #2,Xel&#039;Naga Ca..,ClouD,Win,
+,11-03-18,Justin.tv Invite #2,Shakuras Plateau,ClouD,Loss,
+,11-03-18,Justin.tv Invite #2,Scrap Station,Capoch,Win,
+,11-03-18,Justin.tv Invite #2,Xel&#039;Naga Ca..,Capoch,Win,
+,11-03-18,Justin.tv Invite #2,Shakuras Plateau,Capoch,Loss,
+,11-03-18,Justin.tv Invite #2,Shakuras Plateau,GoOdy,Win,
+,11-03-18,Justin.tv Invite #2,The Shattered Te..,GoOdy,Loss,
+,11-03-18,Justin.tv Invite #2,Xel&#039;Naga Ca..,GoOdy,Win,
+,11-03-18,Justin.tv Invite #2,Shakuras Plateau,OpTiKzErO,Loss,
+,11-03-18,Justin.tv Invite #2,Metalopolis,OpTiKzErO,Win,
+,11-03-18,Justin.tv Invite #2,Xel&#039;Naga Ca..,OpTiKzErO,Loss,
+,11-03-18,Justin.tv Invite #2,Metalopolis,DdoRo,Win,
+,11-03-13,CYBORG Cup #2-4,Unknown,cHoBo,Win,
+,11-03-13,CYBORG Cup #2-4,Unknown,cHoBo,Win,
+,11-03-13,CYBORG Cup #2-4,iCCup Testbug,cHoBo,Win,
+,11-03-13,CYBORG Cup #2-4,Unknown,DarKFoRcE,Win,
+,11-03-13,CYBORG Cup #2-4,Shakuras Plateau,DarKFoRcE,Win,
+,11-03-13,CYBORG Cup #2-4,Unknown,EmilyGods,Win,
+,11-03-13,CYBORG Cup #2-4,Unknown,EmilyGods,Win,
+,11-03-13,CYBORG Cup #2-4,Xel&#039;Naga Ca..,EmilyGods,Loss,
+,11-03-11,EU CraftCup #34,Blistering Sands,Kas,Loss,
+,11-03-11,EU CraftCup #34,Xel&#039;Naga Ca..,Kas,Loss,
+,11-03-11,EU CraftCup #34,Shakuras Plateau,Kas,Loss,
+,11-03-11,EU CraftCup #34,The Shattered Te..,Kas,Win,
+,11-03-11,EU CraftCup #34,Terminus RE,Naugrim,Win,
+,11-03-11,EU CraftCup #34,The Shattered Te..,Naugrim,Win,
+,11-03-11,EU CraftCup #34,Scrap Station,Underdark,Win,
+,11-03-11,EU CraftCup #34,Metalopolis,Underdark,Loss,
+,11-03-11,EU CraftCup #34,Xel&#039;Naga Ca..,Underdark,Win,
+,11-03-10,4pl.de CC #2011-23,Scrap Station,LaLuSh,Loss,
+,11-03-10,4pl.de CC #2011-23,Shakuras Plateau,LaLuSh,Loss,
+,11-03-10,4pl.de CC #2011-23,The Shattered Te..,LaLuSh,Loss,
+,11-03-10,4pl.de CC #2011-23,Xel&#039;Naga Ca..,LaLuSh,Win,
+,11-03-10,4pl.de CC #2011-23,Shakuras Plateau,GoOdy,Win,
+,11-03-10,4pl.de CC #2011-23,The Shattered Te..,GoOdy,Loss,
+,11-03-10,4pl.de CC #2011-23,Scrap Station,GoOdy,Win,
+,11-03-10,EU Go4SC2 Final #10,Lost Temple SC2,DieStar,Loss,
+,11-03-10,EU Go4SC2 Final #10,Xel&#039;Naga Ca..,DieStar,Loss,
+,11-03-10,EU Go4SC2 Final #10,Shakuras Plateau,GoOdy,Win,
+,11-03-10,EU Go4SC2 Final #10,Scrap Station,GoOdy,Loss,
+,11-03-10,EU Go4SC2 Final #10,Lost Temple SC2,GoOdy,Win,
+,11-03-10,EU Go4SC2 Final #10,Xel&#039;Naga Ca..,MorroW,Win,
+,11-03-10,EU Go4SC2 Final #10,iCCup Pawn Re,MorroW,Win,
+,11-03-10,EU Go4SC2 Final #10,Scrap Station,MorroW,Loss,
+,11-03-08,US Go4SC2 Final #05,Scrap Station,Stalife,Win,
+,11-03-08,US Go4SC2 Final #05,Jungle Basin,Stalife,Win,
+,11-03-08,US Go4SC2 Final #05,Delta Quadrant,Stalife,Loss,
+,11-03-08,US Go4SC2 Final #05,Lost Temple SC2,Stalife,Win,
+,11-03-08,US Go4SC2 Final #05,Metalopolis,Stalife,Loss,
+,11-03-08,US Go4SC2 Final #05,Xel&#039;Naga Ca..,PiG,Win,
+,11-03-08,US Go4SC2 Final #05,Lost Temple SC2,PiG,Win,
+,11-03-08,US Go4SC2 Final #05,Lost Temple SC2,ThisIsJimmy,Win,
+,11-03-08,US Go4SC2 Final #05,Xel&#039;Naga Ca..,ThisIsJimmy,Win,
+,11-02-26,TeamSpeak TL Open ..,Scrap Station,Baz,Loss,
+,11-02-26,TeamSpeak TL Open ..,Lost Temple SC2,Baz,Loss,
+,11-02-26,TeamSpeak TL Open ..,Xel&#039;Naga Ca..,Zelniq,Win,
+,11-02-26,TeamSpeak TL Open ..,Lost Temple SC2,Zelniq,Win,
+,11-02-26,TeamSpeak TL Open ..,Scrap Station,Zelniq,Loss,
+,11-02-26,EU Champions Troph..,Unknown,Bischu,Loss,
+,11-02-26,EU Champions Troph..,Unknown,Bischu,Loss,
+,11-02-26,EU Champions Troph..,Unknown,Bischu,Win,
+,11-02-19,TeamSpeak TL Open ..,Lost Temple SC2,MorroW,Loss,
+,11-02-19,TeamSpeak TL Open ..,Metalopolis,MorroW,Loss,
+,11-02-19,TeamSpeak TL Open ..,Lost Temple SC2,Naama,Win,
+,11-02-19,TeamSpeak TL Open ..,Shakuras Plateau,Naama,Win,
+,11-02-19,TeamSpeak TL Open ..,Xel&#039;Naga Ca..,Rikytan,Win,
+,11-02-19,TeamSpeak TL Open ..,Metalopolis,Rikytan,Loss,
+,11-02-19,TeamSpeak TL Open ..,Lost Temple SC2,Rikytan,Win,
+,11-02-19,TeamSpeak TL Open ..,Xel&#039;Naga Ca..,Zelniq,Win,
+,11-02-19,TeamSpeak TL Open ..,Scrap Station,Zelniq,Win,
+,11-02-18,4pl.de CC #2011-15,Shakuras Plateau,Nerchio,Loss,
+,11-02-18,4pl.de CC #2011-15,Blistering Sands,Nerchio,Loss,
+,11-02-18,4pl.de CC #2011-15,Lost Temple SC2,Nerchio,Win,
+,11-02-18,4pl.de CC #2011-15,Metalopolis,SeleCT,Win,
+,11-02-18,4pl.de CC #2011-15,Unknown,SeleCT,Win,
+,11-02-18,4pl.de CC #2011-15,Unknown,SeleCT,Loss,
+,11-02-17,CYBORG Cup #2-3,Unknown,DIMAGA,Loss,
+,11-02-17,CYBORG Cup #2-3,Xel&#039;Naga Ca..,DIMAGA,Loss,
+,11-02-14,Competo Cup #27,Lost Temple SC2,MorroW,Loss,
+,11-02-14,Competo Cup #27,Metalopolis,MorroW,Loss,
+,11-02-14,Competo Cup #27,Scrap Station,inuh,Win,
+,11-02-14,Competo Cup #27,Shakuras Plateau,inuh,Loss,
+,11-02-14,Competo Cup #27,Tal&#039;Darim A..,inuh,Win,
+,11-02-12,ASSEMBLY Winter 2011,Steppes of War,HuK,Loss,
+,11-02-12,ASSEMBLY Winter 2011,Xel&#039;Naga Ca..,HuK,Loss,
+,11-02-11,ASSEMBLY Winter 2011,Xel&#039;Naga Ca..,Ret,Loss,
+,11-02-11,ASSEMBLY Winter 2011,Lost Temple SC2,Ret,Loss,
+,11-02-11,ASSEMBLY Winter 2011,Shakuras Plateau,Naugrim,Win,
+,11-02-11,ASSEMBLY Winter 2011,Xel&#039;Naga Ca..,Naugrim,Win,
