,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-09,NASL S1,Metalopolis 1.1,DarKFoRcE,Win,
+,11-06-09,NASL S1,Tal&#039;Darim A..,DarKFoRcE,Loss,
+,11-06-09,NASL S1,Backwater Gulch,DarKFoRcE,Win,
+,11-06-04,MLG Columbus 2011,Xel&#039;Naga Ca..,SeleCT,Loss,
+,11-06-04,MLG Columbus 2011,Shakuras Plateau..,SeleCT,Loss,
+,11-06-04,MLG Columbus 2011,Tal&#039;Darim A..,SeleCT,Win,
+,11-06-04,MLG Columbus 2011,Tal&#039;Darim A..,Axslav,Win,
+,11-06-04,MLG Columbus 2011,Xel&#039;Naga Ca..,Axslav,Loss,
+,11-06-04,MLG Columbus 2011,Metalopolis 1.1,Axslav,Win,
+,11-06-04,MLG Columbus 2011,Xel&#039;Naga Ca..,Pokebunny,Win,
+,11-06-04,MLG Columbus 2011,Tal&#039;Darim A..,Pokebunny,Win,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,Pokebunny,Loss,
+,11-06-04,MLG Columbus 2011,Metalopolis 1.1,CatZ,Win,
+,11-06-04,MLG Columbus 2011,Typhon Peaks,CatZ,Win,
+,11-06-04,MLG Columbus 2011,Tal&#039;Darim A..,TriMaster,Win,
+,11-06-04,MLG Columbus 2011,iCCup Testbug,TriMaster,Win,
+,11-06-04,MLG Columbus 2011,Xel&#039;Naga Ca..,Sadistx,Win,
+,11-06-04,MLG Columbus 2011,Shakuras Plateau..,Sadistx,Win,
+,11-06-03,MLG Columbus 2011,The Shattered Te..,ThorZaIN,Loss,
+,11-06-03,MLG Columbus 2011,iCCup Testbug,ThorZaIN,Win,
+,11-06-03,MLG Columbus 2011,Metalopolis 1.1,ThorZaIN,Loss,
+,11-06-03,MLG Columbus 2011,Shakuras Plateau..,Ryze,Win,
+,11-06-03,MLG Columbus 2011,Tal&#039;Darim A..,Ryze,Win,
+,11-06-02,NASL S1,Metalopolis 1.1,CrunCher,Loss,
+,11-06-02,NASL S1,Tal&#039;Darim A..,CrunCher,Loss,
+,11-05-26,NASL S1,Crevasse,SjoW,Loss,
+,11-05-26,NASL S1,Metalopolis 1.1,SjoW,Loss,
+,11-05-22,NA Champions Troph..,Tal&#039;Darim A..,SeleCT,Win,
+,11-05-22,NA Champions Troph..,Shakuras Plateau..,SeleCT,Win,
+,11-05-22,NA Champions Troph..,Metalopolis,SeleCT,Loss,
+,11-05-22,NA Champions Troph..,Xel&#039;Naga Ca..,SeleCT,Loss,
+,11-05-22,NA Champions Troph..,The Shattered Te..,SeleCT,Win,
+,11-05-22,NA Champions Troph..,Xel&#039;Naga Ca..,Spades,Win,
+,11-05-22,NA Champions Troph..,Tal&#039;Darim A..,Spades,Win,
+,11-05-22,NA Champions Troph..,Xel&#039;Naga Ca..,SungpA,Win,
+,11-05-22,NA Champions Troph..,Shakuras Plateau..,SungpA,Win,
+,11-05-22,NA Champions Troph..,The Shattered Te..,Ryze,Win,
+,11-05-22,NA Champions Troph..,Metalopolis,Ryze,Win,
+,11-05-22,NA Champions Troph..,Xel&#039;Naga Ca..,Ryze,Loss,
+,11-05-19,NASL S1,Typhon Peaks,Ensnare,Loss,
+,11-05-19,NASL S1,Crevasse,Ensnare,Loss,
+,11-05-12,ONE Invitational #2,Unknown,Spades,Loss,
+,11-05-12,ONE Invitational #2,Metalopolis 1.1,Spades,Loss,
+,11-05-12,ONE Invitational #2,Unknown,Spanishiwa,Win,
+,11-05-12,ONE Invitational #2,Shakuras Plateau..,Spanishiwa,Win,
+,11-05-12,NASL S1,The Shattered Te..,July,Loss,
+,11-05-12,NASL S1,Xel&#039;Naga Ca..,July,Loss,
+,11-05-12,NASL S1,Typhon Peaks,July,Win,
+,11-05-11,EU Go4SC2 Cup #104,Metalopolis 1.1,JacK,Win,
+,11-05-11,EU Go4SC2 Cup #104,Xel&#039;Naga Ca..,JacK,Win,
+,11-05-11,EU Go4SC2 Cup #104,The Shattered Te..,JacK,Win,
+,11-05-11,EU Go4SC2 Cup #104,Terminus SE,Adelscott,Win,
+,11-05-11,EU Go4SC2 Cup #104,Xel&#039;Naga Ca..,Adelscott,Win,
+,11-05-11,EU Go4SC2 Cup #104,Terminus SE,Akki,Win,
+,11-05-11,EU Go4SC2 Cup #104,The Shattered Te..,Akki,Win,
+,11-05-05,NASL S1,Terminus RE,White-Ra,Loss,
+,11-05-05,NASL S1,The Shattered Te..,White-Ra,Win,
+,11-05-05,NASL S1,Xel&#039;Naga Ca..,White-Ra,Loss,
+,11-04-28,NASL S1,Crossfire SE,iNcontroL,Loss,
+,11-04-28,NASL S1,Terminus RE,iNcontroL,Win,
+,11-04-28,NASL S1,The Shattered Te..,iNcontroL,Loss,
+,11-04-14,HD World Tournament,The Shattered Te..,DIMAGA,Loss,
+,11-04-14,HD World Tournament,Tal&#039;Darim A..,DIMAGA,Loss,
+,11-04-13,NASL S1,Backwater Gulch,MoMaN,Loss,
+,11-04-13,NASL S1,Crossfire SE,MoMaN,Loss,
+,11-04-10,PokerStrategy TSL3,Tal&#039;Darim A..,Adelscott,Loss,
+,11-04-10,PokerStrategy TSL3,Crevasse,Adelscott,Loss,
+,11-04-10,PokerStrategy TSL3,Terminus RE,Adelscott,Win,
