p1,p2,result,date
HuK,NaNiwa,Win,11-06-26
HuK,NaNiwa,Win,11-06-26
HuK,NaNiwa,Win,11-06-26
HuK,NaNiwa,Loss,11-06-26
HuK,NaNiwa,Win,11-06-26
HuK,MC,Win,11-06-26
HuK,MC,Loss,11-06-26
HuK,MC,Win,11-06-26
HuK,MC,Win,11-06-26
HuK,NaNiwa,Loss,11-06-26
HuK,NaNiwa,Win,11-06-26
HuK,NaNiwa,Loss,11-06-26
HuK,NaNiwa,Win,11-06-26
HuK,NaNiwa,Loss,11-06-26
HuK,IdrA,Win,11-06-25
HuK,IdrA,Win,11-06-25
HuK,IdrA,Loss,11-06-25
HuK,XlorD,Win,11-06-25
HuK,XlorD,Win,11-06-25
HuK,ToD,Win,11-06-25
HuK,ToD,Win,11-06-25
HuK,iNSoLeNCE,Win,11-06-24
HuK,iNSoLeNCE,Win,11-06-24
HuK,NarutO,Win,11-06-24
HuK,NarutO,Win,11-06-24
HuK,Stephano,Loss,11-06-24
HuK,Stephano,Loss,11-06-24
HuK,Moon,Win,11-06-20
HuK,Moon,Win,11-06-20
HuK,Moon,Loss,11-06-20
HuK,Moon,Loss,11-06-20
HuK,Moon,Win,11-06-20
HuK,July,Win,11-06-20
HuK,July,Win,11-06-20
HuK,Socke,Win,11-06-20
HuK,Socke,Win,11-06-20
HuK,PredY,Win,11-06-19
HuK,PredY,Win,11-06-19
HuK,Moon,Win,11-06-19
HuK,Moon,Win,11-06-19
HuK,LaLuSh,Win,11-06-19
HuK,LaLuSh,Win,11-06-19
HuK,Bischu,Win,11-06-19
HuK,Bischu,Win,11-06-19
HuK,Bischu,Loss,11-06-19
HuK,FuRy,Win,11-06-18
HuK,FuRy,Win,11-06-18
HuK,Tarson,Win,11-06-18
HuK,Tarson,Win,11-06-18
HuK,MorroW,Loss,11-04-24
HuK,MorroW,Loss,11-04-24
HuK,SjoW,Loss,11-04-12
HuK,SjoW,Loss,11-04-12
HuK,SjoW,Win,11-04-12
HuK,Younghwa,Loss,11-04-07
HuK,IdrA,Loss,11-04-03
HuK,IdrA,Loss,11-04-03
HuK,IdrA,Loss,11-04-03
HuK,Ret,Win,11-04-03
HuK,Ret,Loss,11-04-03
HuK,Ret,Win,11-04-03
HuK,Sheth,Win,11-04-03
HuK,Sheth,Win,11-04-03
HuK,KiWiKaKi,Loss,11-04-02
HuK,KiWiKaKi,Loss,11-04-02
HuK,IdrA,Win,11-04-02
HuK,IdrA,Win,11-04-02
HuK,IdrA,Loss,11-04-02
HuK,Socke,Loss,11-04-02
HuK,Socke,Loss,11-04-02
HuK,Gretorp,Win,11-04-02
HuK,Gretorp,Loss,11-04-02
HuK,Gretorp,Win,11-04-02
HuK,Spades,Win,11-04-02
HuK,Spades,Win,11-04-02
HuK,mOoNan,Win,11-04-02
HuK,mOoNan,Win,11-04-02
HuK,CocoA,Win,11-04-01
HuK,CocoA,Win,11-04-01
HuK,Slurgi,Win,11-04-01
HuK,Slurgi,Win,11-04-01
HuK,MVP,Loss,11-03-30
HuK,MVP,Win,11-03-30
HuK,MVP,Loss,11-03-30
HuK,July,Loss,11-03-29
HuK,HasuObs,Loss,11-03-20
HuK,HasuObs,Win,11-03-20
HuK,HasuObs,Loss,11-03-20
HuK,Socke,Loss,11-02-12
HuK,Socke,Win,11-02-12
HuK,Socke,Loss,11-02-12
HuK,qxc,Win,11-02-12
HuK,qxc,Win,11-02-12
HuK,iNSoLeNCE,Win,11-02-12
HuK,iNSoLeNCE,Win,11-02-12
HuK,kiljardi,Win,11-02-11
HuK,kiljardi,Win,11-02-11
HuK,SaSe,Win,11-02-11
HuK,SaSe,Win,11-02-11
HuK,MaNa,Win,11-02-10
HuK,mOOnGLaDe,Win,11-01-22
HuK,mOOnGLaDe,Win,11-01-22
HuK,mOOnGLaDe,Win,11-01-22
HuK,mOOnGLaDe,Loss,11-01-22
HuK,mOOnGLaDe,Loss,11-01-22
HuK,mOOnGLaDe,Win,11-01-22
HuK,mOOnGLaDe,Win,11-01-22
HuK,mOOnGLaDe,Win,11-01-22
HuK,YoonYJ,Win,11-01-22
HuK,YoonYJ,Win,11-01-22
HuK,Voices,Win,11-01-22
HuK,Voices,Win,11-01-22
HuK,amnesiac,Win,11-01-22
HuK,amnesiac,Win,11-01-22
HuK,HayprO,Win,10-12-22
HuK,HayprO,Win,10-12-22
HuK,HayprO,Win,10-12-22
HuK,Azz,Loss,10-12-10
HuK,Azz,Loss,10-12-10
HuK,Socke,Loss,10-11-27
HuK,Socke,Loss,10-11-27
HuK,Socke,Win,10-11-27
HuK,Tarson,Win,10-11-26
HuK,FuRy,Win,10-11-26
HuK,DarKFoRcE,Win,10-11-26
HuK,Kyhol,Win,10-11-23
HuK,iNcontroL,Win,10-11-13
HuK,TLO,Loss,10-11-07
HuK,TLO,Loss,10-11-07
HuK,qxc,Win,10-11-07
HuK,qxc,Win,10-11-07
HuK,qxc,Loss,10-11-07
HuK,Gretorp,Win,10-11-07
HuK,Gretorp,Win,10-11-07
HuK,Ret,Loss,10-11-07
HuK,Ret,Loss,10-11-07
HuK,Binski,Win,10-11-07
HuK,Binski,Win,10-11-07
HuK,IdrA,Loss,10-10-31
HuK,IdrA,Loss,10-10-31
HuK,IdrA,Loss,10-10-31
HuK,IdrA,Win,10-10-31
HuK,SLush,Win,10-10-31
HuK,SLush,Win,10-10-31
HuK,SLush,Win,10-10-31
HuK,SLush,Loss,10-10-31
HuK,Machine,Win,10-10-31
HuK,Machine,Win,10-10-31
HuK,Machine,Loss,10-10-31
HuK,Machine,Win,10-10-31
HuK,Drewbie,Win,10-10-30
HuK,Drewbie,Win,10-10-30
HuK,Drewbie,Win,10-10-30
HuK,ViBE,Win,10-10-30
HuK,ViBE,Win,10-10-30
HuK,ViBE,Win,10-10-30
HuK,Sen,Loss,10-10-28
HuK,Sen,Loss,10-10-28
HuK,Sen,Loss,10-10-28
HuK,Sen,Win,10-10-28
HuK,Fenix,Win,10-10-25
HuK,Fenix,Loss,10-10-25
HuK,Fenix,Win,10-10-25
HuK,Maka,Loss,10-10-23
HuK,Maka,Loss,10-10-23
HuK,SoftBall,Win,10-10-22
HuK,SoftBall,Win,10-10-22
HuK,Loner,Loss,10-10-22
HuK,Loner,Loss,10-10-22
HuK,RedArchon,Win,10-10-22
HuK,RedArchon,Win,10-10-22
HuK,SeleCT,Win,10-10-17
HuK,SeleCT,Win,10-10-17
HuK,SeleCT,Loss,10-10-17
HuK,SeleCT,Win,10-10-17
HuK,SeleCT,Loss,10-10-17
HuK,SeleCT,Loss,10-10-16
HuK,SeleCT,Loss,10-10-16
HuK,IdrA,Loss,10-10-16
HuK,IdrA,Loss,10-10-16
HuK,Tyler,Win,10-10-16
HuK,Tyler,Win,10-10-16
HuK,Drewbie,Win,10-10-16
HuK,Drewbie,Win,10-10-16
HuK,Gretorp,Win,10-10-16
HuK,Gretorp,Win,10-10-16
HuK,IefNaij,Win,10-10-16
HuK,IefNaij,Win,10-10-16
HuK,Stalife,Win,10-10-10
HuK,Stalife,Win,10-10-10
HuK,Stalife,Win,10-10-10
HuK,Drewbie,Win,10-10-10
HuK,Drewbie,Win,10-10-10
HuK,Drewbie,Win,10-10-10
HuK,Drewbie,Loss,10-10-10
HuK,Drewbie,Loss,10-10-10
HuK,iNcontroL,Win,10-10-09
HuK,iNcontroL,Win,10-10-09
HuK,qxc,Loss,10-10-09
HuK,qxc,Win,10-10-09
HuK,qxc,Loss,10-10-09
HuK,qxc,Loss,10-10-09
HuK,MurDeR,Win,10-10-08
HuK,MurDeR,Win,10-10-08
HuK,MurDeR,Loss,10-10-08
HuK,Drewbie,Win,10-10-08
HuK,Drewbie,Win,10-10-08
HuK,Drewbie,Loss,10-10-08
HuK,Suggy,Win,10-10-08
HuK,Suggy,Win,10-10-08
HuK,qxc,Loss,10-10-02
HuK,qxc,Win,10-10-02
HuK,qxc,Loss,10-10-02
HuK,SjoW,Loss,10-09-24
HuK,SjoW,Loss,10-09-24
HuK,SjoW,Loss,10-09-24
HuK,SjoW,Loss,10-09-24
HuK,DIMAGA,Win,10-09-17
HuK,DIMAGA,Loss,10-09-17
HuK,DIMAGA,Loss,10-09-17
HuK,DIMAGA,Win,10-09-17
HuK,DIMAGA,Loss,10-09-17
HuK,DIMAGA,Win,10-09-17
HuK,DIMAGA,Win,10-09-17
HuK,MorroW,Win,10-09-10
HuK,MorroW,Win,10-09-10
HuK,MorroW,Win,10-09-10
HuK,MorroW,Loss,10-09-10
HuK,MorroW,Win,10-09-10
HuK,Adelscott,Win,10-09-05
HuK,Adelscott,Win,10-09-05
HuK,Adelscott,Win,10-09-05
HuK,Adelscott,Win,10-09-05
HuK,Adelscott,Loss,10-09-05
HuK,Adelscott,Loss,10-09-05
HuK,Adelscott,Loss,10-09-05
HuK,Socke,Win,10-09-05
HuK,Socke,Win,10-09-05
