,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-20,EoE Grand Opening,Xel&#039;Naga Ca..,CatZ,Loss,
+,11-06-20,EoE Grand Opening,Shakuras Plateau..,CatZ,Win,
+,11-06-20,EoE Grand Opening,The Shattered Te..,CatZ,Loss,
+,11-06-11,TeamSpeak TL Open ..,Metalopolis 1.1,Agh,Loss,
+,11-06-11,TeamSpeak TL Open ..,The Shattered Te..,Agh,Loss,
+,11-06-04,MLG Columbus 2011,Tal&#039;Darim A..,ViBE,Loss,
+,11-06-04,MLG Columbus 2011,iCCup Testbug,ViBE,Loss,
+,11-06-04,MLG Columbus 2011,Typhon Peaks,ViBE,Win,
+,11-06-04,MLG Columbus 2011,Shakuras Plateau..,ViBE,Win,
+,11-06-04,MLG Columbus 2011,Tal&#039;Darim A..,TT1,Win,
+,11-06-04,MLG Columbus 2011,Xel&#039;Naga Ca..,TT1,Win,
+,11-06-04,MLG Columbus 2011,iCCup Testbug,TT1,Loss,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,Everize,Win,
+,11-06-04,MLG Columbus 2011,Shakuras Plateau..,Everize,Win,
+,11-06-04,MLG Columbus 2011,iCCup Testbug,BaronFel,Win,
+,11-06-04,MLG Columbus 2011,Metalopolis 1.1,BaronFel,Win,
+,11-06-04,MLG Columbus 2011,Shakuras Plateau..,RockEr,Win,
+,11-06-04,MLG Columbus 2011,The Shattered Te..,RockEr,Win,
+,11-06-04,MLG Columbus 2011,Unknown,Attero,Win,
+,11-06-04,MLG Columbus 2011,Unknown,Attero,Loss,
+,11-06-04,MLG Columbus 2011,Unknown,Attero,Win,
+,11-05-21,NA ZOTAC Cup #2,iCCup Testbug,Lastshadow,Loss,
+,11-05-21,NA ZOTAC Cup #2,Crevasse,Lastshadow,Loss,
+,11-05-21,NA ZOTAC Cup #2,The Shattered Te..,Lastshadow,Win,
+,11-05-21,NA ZOTAC Cup #2,Tal&#039;Darim A..,Lastshadow,Loss,
+,11-05-21,NA ZOTAC Cup #2,Shakuras Plateau..,Lastshadow,Win,
+,11-05-21,NA ZOTAC Cup #2,The Shattered Te..,dignitas.KiLLeR,Win,
+,11-05-21,NA ZOTAC Cup #2,Shakuras Plateau..,dignitas.KiLLeR,Win,
+,11-05-21,NA ZOTAC Cup #2,iCCup Testbug,PhoeNix,Win,
+,11-05-21,NA ZOTAC Cup #2,Xel&#039;Naga Ca..,PhoeNix,Win,
+,11-04-27,VT Open #6,Shakuras Plateau..,Spades,Loss,
