,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-04,Shinhan10-11 Prole..,Neo Beltway,BByong,Win,
+,11-07-04,Shinhan10-11 Prole..,La Mancha,Rush,Win,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,sKyHigh,Win,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,sKyHigh,Loss,
+,11-06-30,2011 Summer MST Pr..,La Mancha,sKyHigh,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Woon,Win,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Woon,Win,
+,11-06-29,Shinhan10-11 Prole..,Alternative,M18M,Loss,
+,11-06-26,Shinhan10-11 Prole..,Neo Aztec,PerfectMan,Win,
+,11-06-22,Shinhan10-11 Prole..,Neo Aztec,BaBy,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,BByong,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,BByong,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,BByong,Win,
+,11-06-14,Shinhan10-11 Prole..,Neo Beltway,Sharp,Win,
+,11-06-12,Shinhan10-11 Prole..,Neo Beltway,Anyppi,Win,
+,11-06-07,Shinhan10-11 Prole..,Neo Beltway,Neo.G_Soulkey,Win,
+,11-06-04,Shinhan10-11 Prole..,New Bloody Ridge,Shuttle,Loss,
+,11-05-11,Shinhan10-11 Prole..,Neo Aztec,Calm,Win,
+,11-05-01,Shinhan10-11 Prole..,New Bloody Ridge,Tyson,Loss,
+,11-04-23,Shinhan10-11 Prole..,Beltway,firebathero,Loss,
+,11-03-31,MBC Survivor 22nd,Dante&#039;s Pea..,RorO,Loss,
+,11-03-31,MBC Survivor 22nd,Empire of the Sun,firebathero,Loss,
+,11-03-31,MBC Survivor 22nd,Circuit Breaker,RorO,Win,
+,11-03-16,SWL 2011,Benzene,Stats,Loss,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Rush,Win,
+,11-03-03,2011 Spring MST Pr..,La Mancha,Rush,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Rush,Win,
