,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-05,Shinhan10-11 Prole..,La Mancha,TurN,Win,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,Pure,Loss,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Pure,Win,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Pure,Loss,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Bong[S.G],Win,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,Bong[S.G],Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,mangnani,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,mangnani,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,mangnani,Loss,
+,11-03-08,SWL 2011,Empire of the Sun,Leta,Loss,
+,11-03-03,2011 Spring MST Pr..,La Mancha,Trap,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Trap,Loss,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Trap,Win,
+,10-12-27,Shinhan10-11 Prole..,Fortress,ggaemo,Loss,
+,10-12-14,Shinhan10-11 Prole..,Bloody Ridge,Hydra,Loss,
+,10-11-27,Shinhan10-11 Prole..,Bloody Ridge,Tyson,Loss,
+,10-11-06,Shinhan10-11 Prole..,Benzene,Alone,Loss,
+,10-11-01,Shinhan10-11 Prole..,Grand Line SE,Action,Win,
+,10-10-29,2010 Winter OSL Pr..,Aztec,BackHo,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,BackHo,Win,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,BackHo,Loss,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,Horang2,Loss,
+,10-10-28,2010 Winter MST Pr..,Triathlon,Horang2,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,Horang2,Loss,
+,10-10-28,2010 Winter MST Pr..,Triathlon,Center,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,Center,Loss,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,Center,Win,
+,10-10-23,Shinhan10-11 Prole..,Icarus,Crazy-Hydra,Loss,
+,10-07-06,Shinhan09-10 Prole..,Polaris Rhapsody,Tempest,Win,
+,10-06-17,KeSPA 09-10 Dream ..,Match Point,45[Name],Loss,
+,10-06-17,KeSPA 09-10 Dream ..,Judgment Day,hwata,Win,
+,10-06-12,Shinhan09-10 Prole..,Fortress,Kwanro,Loss,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,Mong,Loss,
+,10-06-11,2010 Summer OSL Pr..,Match Point,Mong,Loss,
+,10-05-27,2010 Summer MST Pr..,Match Point,Grape,Loss,
+,10-05-27,2010 Summer MST Pr..,Odd-Eye 2,Grape,Loss,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,Grape,Win,
+,10-05-27,2010 Summer MST Pr..,Odd-Eye 2,BarrackS,Win,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,BarrackS,Win,
+,10-05-27,2010 Summer MST Pr..,Match Point,BarrackS,Loss,
+,10-05-25,Shinhan09-10 Prole..,Judgment Day,Shine,Loss,
+,10-05-20,KeSPA 09-10 Dream ..,Judgment Day,NeeL,Win,
