,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-26,Shinhan10-11 Prole..,New Empire of th..,Last,Win,
+,11-06-22,Shinhan10-11 Prole..,Circuit Breaker,JangBi,Loss,
+,11-06-20,Shinhan10-11 Prole..,New Bloody Ridge,HoeJJa,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Tempest,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Tempest,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Ryul2,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Ryul2,Win,
+,11-06-14,Shinhan10-11 Prole..,Circuit Breaker,Wooki,Win,
+,11-06-12,Shinhan10-11 Prole..,La Mancha,Lazy,Win,
+,11-06-07,Shinhan10-11 Prole..,Circuit Breaker,Much,Win,
+,11-06-04,Shinhan10-11 Prole..,Neo Aztec,Killer,Win,
+,11-05-21,Shinhan10-11 Prole..,Neo Aztec,Stork,Loss,
+,11-05-17,Shinhan10-11 Prole..,Neo Aztec,Bisu,Win,
+,11-05-14,Shinhan10-11 Prole..,La Mancha,Shuttle,Win,
+,11-05-11,Shinhan10-11 Prole..,La Mancha,Jaedong,Win,
+,11-05-08,Shinhan10-11 Prole..,New Bloody Ridge,Pure,Win,
+,11-05-08,Shinhan10-11 Prole..,Neo Aztec,Shine,Win,
+,11-05-07,ABC Mart MSL,Monte Cristo,Grape,Loss,
+,11-05-07,ABC Mart MSL,La Mancha,Grape,Loss,
+,11-05-04,Shinhan10-11 Prole..,La Mancha,Iris,Win,
+,11-05-01,Shinhan10-11 Prole..,New Bloody Ridge,Action,Win,
+,11-04-30,ABC Mart MSL,Circuit Breaker,Grape,Win,
+,11-04-25,Shinhan10-11 Prole..,New Bloody Ridge,HyuN,Loss,
+,11-04-19,ABC Mart MSL,Circuit Breaker,RuBy,Win,
+,11-04-19,ABC Mart MSL,Monte Cristo,HyuN,Win,
+,11-04-19,ABC Mart MSL,La Mancha,RuBy,Loss,
+,11-03-20,SWL 2011,Empire of the Sun,firebathero,Loss,
+,11-03-20,SWL 2011,Bloody Ridge,Iris,Win,
+,11-03-10,MBC Survivor 22nd,Empire of the Sun,Paralyze,Win,
+,11-03-10,MBC Survivor 22nd,Circuit Breaker,Shine,Win,
+,11-03-08,SWL 2011,Benzene,Stork,Win,
+,11-03-08,SWL 2011,Aztec,great,Win,
+,11-03-08,SWL 2011,Fortress SE,Grape,Win,
+,11-03-03,2011 Spring MST Pr..,La Mancha,hyvaa,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,hyvaa,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Always,Win,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Always,Win,
+,11-02-22,SWL 2011,Fortress SE,BarrackS,Loss,
+,11-02-01,SWL 2011,Benzene,Bisu,Loss,
+,11-02-01,SWL 2011,La Mancha,Fantasy,Win,
+,11-01-30,SWL 2011,La Mancha,Flying,Loss,
+,11-01-24,SWL 2011,Fortress SE,Stork,Win,
+,11-01-22,SWL 2011,Aztec,PerfectMan,Loss,
+,10-12-29,Shinhan10-11 Prole..,Grand Line SE,Light,Loss,
+,10-12-27,Shinhan10-11 Prole..,Bloody Ridge,Stats,Win,
+,10-12-21,Shinhan10-11 Prole..,Empire of the Sun,Really,Loss,
+,10-12-18,Shinhan10-11 Prole..,Aztec,Kal,Win,
+,10-12-06,Shinhan10-11 Prole..,Benzene,Alone,Loss,
+,10-11-30,Shinhan10-11 Prole..,Aztec,GoRush,Win,
+,10-11-27,Shinhan10-11 Prole..,Grand Line SE,BaBy,Loss,
+,10-11-20,MBC Survivor 21st,Triathlon,s2,Loss,
+,10-11-20,MBC Survivor 21st,Circuit Breaker,RorO,Loss,
+,10-11-20,MBC Survivor 21st,Aztec,s2,Win,
+,10-11-14,Shinhan10-11 Prole..,Central Plains,Violet,Win,
+,10-11-10,Bacchus2010 OSL,Aztec,HyuN,Loss,
+,10-11-10,Bacchus2010 OSL,Gladiator,HyuN,Win,
+,10-11-10,Bacchus2010 OSL,Pathfinder,HyuN,Loss,
+,10-11-09,Shinhan10-11 Prole..,Aztec,Jaehoon,Loss,
+,10-11-06,Shinhan10-11 Prole..,Central Plains,Shuttle,Win,
+,10-11-03,Shinhan10-11 Prole..,Central Plains,Flying,Win,
+,10-11-01,Shinhan10-11 Prole..,Benzene,ggaemo,Win,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Killer,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,HyuN,Win,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Light,Win,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Light,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Light,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,KaL[KaL],Win,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,KaL[KaL],Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,Chavi,Win,
+,10-10-28,2010 Winter MST Pr..,Triathlon,Chavi,Loss,
+,10-10-28,2010 Winter MST Pr..,Match Point,Chavi,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,Hwan,Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,Hwan,Win,
+,10-10-20,Shinhan10-11 Prole..,Benzene,RorO,Loss,
+,10-10-17,Shinhan10-11 Prole..,Benzene,Sky,Win,
+,10-07-26,STX Masters 2010,Grand Line SE,Classic,Loss,
+,10-07-13,Shinhan09-10 Prole..,Grand Line SE,Violet,Win,
+,10-07-10,Shinhan09-10 Prole..,Fighting Spirit,BackHo,Loss,
+,10-07-05,Shinhan09-10 Prole..,Grand Line SE,Classic,Win,
+,10-06-30,Shinhan09-10 Prole..,Match Point,great,Win,
