,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-01,ODT2011-1,La Mancha,free,Win,
+,11-07-01,ODT2011-1,Gladiator,hero,Win,
+,11-07-01,ODT2011-1,New Bloody Ridge,BaBy,Loss,
+,11-06-14,Shinhan10-11 Prole..,Alternative,JangBi,Loss,
+,11-06-07,Shinhan10-11 Prole..,New Bloody Ridge,free,Win,
+,11-05-07,ABC Mart MSL,La Mancha,Calm,Loss,
+,11-05-07,ABC Mart MSL,Monte Cristo,Calm,Win,
+,11-04-28,ABC Mart MSL,Circuit Breaker,Calm,Loss,
+,11-04-16,ABC Mart MSL,Monte Cristo,great,Win,
+,11-04-16,ABC Mart MSL,La Mancha,Classic,Win,
+,11-04-16,ABC Mart MSL,Dante&#039;s Pea..,Leta,Loss,
+,11-03-20,SWL 2011,La Mancha,Jaedong,Loss,
+,11-03-12,MBC Survivor 22nd,Dante&#039;s Pea..,Midas,Win,
+,11-03-12,MBC Survivor 22nd,Empire of the Sun,Food5,Win,
+,11-03-12,MBC Survivor 22nd,Circuit Breaker,Midas,Loss,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,BByong,Win,
+,11-03-03,2011 Spring MST Pr..,La Mancha,BByong,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,BByong,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Lazy,Win,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Lazy,Win,
+,11-02-26,SWL 2011,La Mancha,Calm,Loss,
+,11-01-07,Bacchus2010 OSL,Gladiator,Fantasy,Loss,
+,10-12-31,Bacchus2010 OSL,Icarus,Fantasy,Loss,
+,10-12-22,Bacchus2010 OSL,Icarus,Flash,Win,
+,10-12-21,Shinhan10-11 Prole..,Aztec,Stork,Loss,
+,10-12-17,Bacchus2010 OSL,Pathfinder,Kal,Win,
+,10-12-10,Bacchus2010 OSL,Gladiator,Paralyze,Win,
+,10-12-08,Shinhan10-11 Prole..,Icarus,Crazy-Hydra,Loss,
+,10-12-02,MBC Survivor 21st,Circuit Breaker,Classic,Loss,
+,10-12-02,MBC Survivor 21st,Aztec,sHy,Loss,
+,10-11-19,Bacchus2010 OSL,Aztec,Movie,Win,
+,10-11-19,Bacchus2010 OSL,Gladiator,Movie,Win,
+,10-11-19,Bacchus2010 OSL,Pathfinder,Movie,Loss,
+,10-11-04,MBC Survivor 21st,Aztec,Kal,Loss,
+,10-11-04,MBC Survivor 21st,Triathlon,Stats,Win,
+,10-10-26,Shinhan10-11 Prole..,Aztec,PianO,Loss,
+,10-08-11,Korean Air OSL S2,Eye of the Storm,ZerO,Loss,
+,10-08-07,Shinhan09-10 Prole..,Judgment Day,Flash,Loss,
+,10-08-04,Korean Air OSL S2,Flight-Dreamliner,Flash,Loss,
+,10-07-31,Shinhan09-10 Prole..,Judgment Day,Calm,Loss,
+,10-07-29,Bigfile MSL,Odd-Eye 3,Fantasy,Loss,
+,10-07-28,Korean Air OSL S2,Grand Line SE,HiyA,Loss,
+,10-07-25,Shinhan09-10 Prole..,New Heartbreak R..,Pure,Win,
+,10-07-22,Bigfile MSL,Fighting Spirit,Fantasy,Loss,
+,10-07-20,Shinhan09-10 Prole..,New Heartbreak R..,Movie,Loss,
+,10-07-18,Shinhan09-10 Prole..,Judgment Day,EffOrt,Loss,
+,10-07-17,Shinhan09-10 Prole..,Judgment Day,Hydra,Loss,
+,10-07-08,Bigfile MSL,Polaris Rhapsody,fOrGG,Win,
+,10-07-08,Bigfile MSL,Odd-Eye 3,free,Win,
+,10-07-03,Shinhan09-10 Prole..,Polaris Rhapsody,HoeJJa,Loss,
+,10-06-21,Shinhan09-10 Prole..,Grand Line SE,Mind,Loss,
+,10-06-18,Korean Air OSL S2,Flight-Dreamliner,RuBy,Win,
+,10-06-18,Korean Air OSL S2,Eye of the Storm,RuBy,Win,
+,10-06-15,Shinhan09-10 Prole..,Polaris Rhapsody,ZerO,Loss,
+,10-06-12,Shinhan09-10 Prole..,Judgment Day,GoRush,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,Stats,Win,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,Snow,Win,
+,10-06-11,2010 Summer OSL Pr..,Match Point,Brave,Win,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,Neo.G_Soulkey,Win,
+,10-06-11,2010 Summer OSL Pr..,Match Point,Neo.G_Soulkey,Win,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,Neo.G_Soulkey,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,Suny,Win,
