,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-03,Shinhan10-11 Prole..,Neo Aztec,Jaedong,Loss,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,PianO,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,PianO,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,ToSsGirL,Win,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,ToSsGirL,Win,
+,11-06-27,Shinhan10-11 Prole..,Neo Aztec,Wooki,Win,
+,11-06-25,Shinhan10-11 Prole..,Neo Aztec,HyuN,Win,
+,11-06-24,ODT2011-1,Gladiator,Shuttle,Win,
+,11-06-24,ODT2011-1,New Bloody Ridge,s2,Win,
+,11-06-22,Shinhan10-11 Prole..,Circuit Breaker,Horang2,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Sharp,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Sharp,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Classic,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Leta,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,ZerO,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,n.Die_soO,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,n.Die_soO,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Sang,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Sang,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Perfective,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Perfective,Win,
+,11-06-14,Shinhan10-11 Prole..,Alternative,Hyuk,Win,
+,11-06-08,Shinhan10-11 Prole..,Alternative,Crazy-Hydra,Win,
+,11-06-06,Shinhan10-11 Prole..,Circuit Breaker,Last,Win,
+,11-05-21,Shinhan10-11 Prole..,La Mancha,Hydra,Loss,
+,11-05-18,Shinhan10-11 Prole..,Neo Aztec,Stats,Win,
+,11-05-16,Shinhan10-11 Prole..,Neo Aztec,Sacsri,Win,
+,11-05-10,Shinhan10-11 Prole..,La Mancha,Sea,Win,
+,11-04-30,Shinhan10-11 Prole..,Neo Aztec,hero,Loss,
+,11-04-26,Shinhan10-11 Prole..,New Empire of th..,firebathero,Loss,
+,11-04-24,Shinhan10-11 Prole..,Icarus,Killer,Win,
+,11-03-29,MBC Survivor 22nd,Dante&#039;s Pea..,RuBy,Loss,
