,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-03,Shinhan10-11 Prole..,Circuit Breaker,Killer,Loss,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,Bee,Loss,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Bee,Loss,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Bee,Win,
+,11-06-22,Shinhan10-11 Prole..,New Bloody Ridge,Hydra,Win,
+,11-06-19,Shinhan10-11 Prole..,Neo Aztec,ZerO,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Sharp,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Grape,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,PianO,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Major,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Major,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Neo.G_Soulkey,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Neo.G_Soulkey,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Neo.G_Soulkey,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Dear,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Dear,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Dear,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,NoroO,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,NoroO,Win,
+,11-06-06,Shinhan10-11 Prole..,Neo Beltway,hero,Win,
+,11-05-02,Shinhan10-11 Prole..,Icarus,Light,Loss,
+,11-04-30,Shinhan10-11 Prole..,New Bloody Ridge,hyvaa,Loss,
+,11-04-26,Shinhan10-11 Prole..,New Bloody Ridge,ggaemo,Loss,
+,11-04-24,Shinhan10-11 Prole..,New Bloody Ridge,sHy,Win,
+,11-03-15,SWL 2011,Bloody Ridge,Crazy-Hydra,Loss,
+,11-03-03,2011 Spring MST Pr..,La Mancha,Dear,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Dear,Loss,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Dear,Win,
+,11-03-02,SWL 2011,Empire of the Sun,Much,Loss,
+,11-03-02,SWL 2011,Bloody Ridge,RuBy,Win,
+,11-03-02,SWL 2011,La Mancha,Iris,Win,
+,11-03-02,SWL 2011,Icarus,ggaemo,Win,
+,11-02-12,SWL 2011,La Mancha,Neo.G_Soulkey,Loss,
+,11-01-16,SWL 2011,Aztec,Jaehoon,Loss,
+,10-12-21,Shinhan10-11 Prole..,Fortress,Canata,Win,
+,10-12-12,Shinhan10-11 Prole..,Icarus,Crazy-Hydra,Loss,
+,10-12-06,Shinhan10-11 Prole..,Icarus,Calm,Loss,
+,10-11-30,Shinhan10-11 Prole..,Grand Line SE,Flash,Loss,
+,10-11-25,MBC Survivor 21st,Circuit Breaker,PerfectMan,Loss,
+,10-11-25,MBC Survivor 21st,Aztec,Leta,Loss,
+,10-11-14,Shinhan10-11 Prole..,Fortress,ggaemo,Loss,
+,10-11-03,Shinhan10-11 Prole..,Grand Line SE,n.Die_soO,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Anyppi,Loss,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Anyppi,Loss,
+,10-10-28,2010 Winter MST Pr..,Triathlon,By.Sun,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,By.Sun,Win,
+,10-10-28,2010 Winter MST Pr..,Triathlon,Bee,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,Bee,Loss,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,Bee,Win,
+,10-10-20,Shinhan10-11 Prole..,Benzene,Sea,Loss,
+,10-08-02,STX Masters 2010,Fighting Spirit,Lomo,Loss,
+,10-07-03,Shinhan09-10 Prole..,Fighting Spirit,Killer,Loss,
+,10-06-21,Shinhan09-10 Prole..,Fortress,FrOzen,Loss,
+,10-06-19,MBC Survivor 20th,Triathlon,Shuttle,Loss,
+,10-06-19,MBC Survivor 20th,Match Point,EffOrt,Loss,
+,10-06-19,MBC Survivor 20th,Fighting Spirit,Shuttle,Win,
+,10-06-15,Shinhan09-10 Prole..,Fortress,Reach,Win,
+,10-06-11,2010 Summer OSL Pr..,Match Point,Jaedong,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,Jaedong,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,PianO,Win,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,PianO,Win,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,Gwak,Win,
+,10-06-11,2010 Summer OSL Pr..,Match Point,Gwak,Win,
