,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-03,Shinhan10-11 Prole..,Alternative,RorO,Win,
+,11-06-29,ODT2011-1,Gladiator,Sea,Loss,
+,11-06-29,ODT2011-1,New Bloody Ridge,Major,Loss,
+,11-06-28,Shinhan10-11 Prole..,Alternative,Killer,Win,
+,11-06-21,Shinhan10-11 Prole..,New Empire of th..,firebathero,Loss,
+,11-06-21,Shinhan10-11 Prole..,Neo Aztec,PianO,Loss,
+,11-06-18,Shinhan10-11 Prole..,New Bloody Ridge,HoeJJa,Loss,
+,11-06-15,Shinhan10-11 Prole..,Neo Aztec,HyuN,Loss,
+,11-06-13,Shinhan10-11 Prole..,Neo Aztec,ZerO,Win,
+,11-06-06,Shinhan10-11 Prole..,Neo Aztec,great,Win,
+,11-06-04,Shinhan10-11 Prole..,Icarus,s2,Loss,
+,11-05-14,Shinhan10-11 Prole..,New Bloody Ridge,Movie,Loss,
+,11-05-11,Shinhan10-11 Prole..,New Bloody Ridge,Paralyze,Loss,
+,11-05-09,Shinhan10-11 Prole..,Alternative,ggaemo,Loss,
+,11-05-03,Shinhan10-11 Prole..,Alternative,Saint,Win,
+,11-04-30,Shinhan10-11 Prole..,New Empire of th..,Stork,Loss,
+,11-04-24,Shinhan10-11 Prole..,New Bloody Ridge,Pure,Loss,
+,11-04-21,ABC Mart MSL,Circuit Breaker,Reality,Loss,
+,11-04-21,ABC Mart MSL,La Mancha,Really,Loss,
+,11-03-14,SWL 2011,Empire of the Sun,Sea,Loss,
+,11-03-14,SWL 2011,Circuit Breaker,Tyson,Win,
+,11-03-09,SWL 2011,Circuit Breaker,BaBy,Loss,
+,11-03-09,SWL 2011,Icarus,Sacsri,Win,
+,11-03-09,SWL 2011,Benzene,Pure,Win,
+,11-03-09,SWL 2011,La Mancha,Mind,Win,
+,11-03-06,SWL 2011,Circuit Breaker,Snow,Loss,
+,11-03-06,SWL 2011,Aztec,Hydra,Win,
+,11-03-06,SWL 2011,Empire of the Sun,Movie,Win,
+,11-03-01,SWL 2011,Aztec,Perfective,Loss,
+,11-02-26,SWL 2011,Circuit Breaker,Bisu,Win,
+,11-02-23,SWL 2011,Aztec,M18M,Loss,
+,11-02-23,SWL 2011,Circuit Breaker,ggaemo,Win,
+,11-02-23,SWL 2011,Icarus,Peace,Win,
+,11-02-23,SWL 2011,Benzene,Iris,Win,
+,11-02-14,SWL 2011,Aztec,ggaemo,Loss,
+,11-02-14,SWL 2011,Fortress SE,firebathero,Win,
+,11-02-14,SWL 2011,Bloody Ridge,GoRush,Win,
+,11-02-12,SWL 2011,Fortress SE,HyuN,Loss,
+,11-02-12,SWL 2011,Circuit Breaker,Light,Win,
+,11-01-31,SWL 2011,Benzene,Shine,Win,
+,11-01-31,SWL 2011,Icarus,BaBy,Win,
+,11-01-29,PDPop MSL,Benzene,great,Loss,
+,11-01-29,PDPop MSL,Circuit Breaker,great,Loss,
+,11-01-29,PDPop MSL,Dante&#039;s Peak,great,Win,
+,11-01-29,PDPop MSL,Triathlon,great,Win,
+,11-01-25,SWL 2011,Benzene,HiyA,Loss,
+,11-01-23,SWL 2011,Bloody Ridge,Violet,Loss,
+,11-01-20,PDPop MSL,Benzene,great,Loss,
+,11-01-15,PDPop MSL,Benzene,RorO,Win,
+,11-01-11,SWL 2011,Fortress SE,Bisu,Loss,
+,11-01-09,SWL 2011,Aztec,JangBi,Loss,
+,11-01-08,PDPop MSL,Dante&#039;s Peak,RorO,Win,
+,11-01-07,Bacchus2010 OSL,Pathfinder,Modesty,Loss,
+,11-01-07,Bacchus2010 OSL,Aztec,Modesty,Loss,
+,10-12-31,Bacchus2010 OSL,Gladiator,Modesty,Win,
+,10-12-30,PDPop MSL,Triathlon,Shine,Win,
+,10-12-30,PDPop MSL,Dante&#039;s Peak,Bisu,Loss,
+,10-12-30,PDPop MSL,Benzene,Really,Win,
+,10-12-28,Shinhan10-11 Prole..,Icarus,Crazy-Hydra,Loss,
+,10-12-25,Shinhan10-11 Prole..,Empire of the Sun,firebathero,Loss,
+,10-12-24,Bacchus2010 OSL,Icarus,Paralyze,Win,
+,10-12-20,Shinhan10-11 Prole..,Benzene,RorO,Win,
+,10-12-18,Shinhan10-11 Prole..,Bloody Ridge,Hydra,Loss,
+,10-12-18,Shinhan10-11 Prole..,Aztec,Horang2,Loss,
+,10-12-17,Bacchus2010 OSL,Pathfinder,Hyuk,Loss,
+,10-12-13,Shinhan10-11 Prole..,Bloody Ridge,Sky,Win,
+,10-12-11,Shinhan10-11 Prole..,Circuit Breaker,Sea,Loss,
+,10-12-08,Bacchus2010 OSL,Aztec,Flash,Win,
