,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,GuemChi,Loss,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,GuemChi,Loss,
+,11-06-30,2011 Summer MST Pr..,La Mancha,GuemChi,Win,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,Reach,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Reach,Loss,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Reach,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,hyvaa,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,hyvaa,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,JaeyOon,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,JaeyOon,Win,
+,11-06-15,Shinhan10-11 Prole..,La Mancha,Crazy-Hydra,Loss,
+,11-06-06,Shinhan10-11 Prole..,Neo Beltway,BaBy,Loss,
+,11-05-14,Shinhan10-11 Prole..,Beltway,Fantasy,Loss,
+,11-05-11,Shinhan10-11 Prole..,Beltway,Leta,Loss,
+,11-03-03,2011 Spring MST Pr..,La Mancha,Paralyze,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Paralyze,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,hOpe,Win,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,hOpe,Win,
+,11-03-02,SWL 2011,La Mancha,Neo.G_Soulkey,Loss,
+,11-02-20,SWL 2011,Benzene,Snow,Loss,
+,11-02-20,SWL 2011,Empire of the Sun,Leta,Win,
+,11-01-19,SWL 2011,Icarus,free,Loss,
+,11-01-19,SWL 2011,Benzene,Crazy-Hydra,Win,
+,11-01-19,SWL 2011,La Mancha,Neo.G_Soulkey,Win,
+,10-12-11,Shinhan10-11 Prole..,Grand Line SE,RorO,Loss,
+,10-12-06,Shinhan10-11 Prole..,Fortress,HoGiL,Win,
+,10-11-20,MBC Survivor 21st,Circuit Breaker,s2,Loss,
+,10-11-20,MBC Survivor 21st,Aztec,RorO,Loss,
+,10-11-13,Shinhan10-11 Prole..,Circuit Breaker,Really,Loss,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Britney,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Britney,Win,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Britney,Loss,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,Mong,Win,
+,10-10-28,2010 Winter MST Pr..,Triathlon,Mong,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,Mong,Loss,
+,10-10-28,2010 Winter MST Pr..,Match Point,ZerG[kaL],Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,ZerG[kaL],Win,
+,10-10-27,Shinhan10-11 Prole..,Empire of the Sun,Jaehoon,Loss,
+,10-10-25,Shinhan10-11 Prole..,Empire of the Sun,Bogus,Loss,
+,10-10-19,Shinhan10-11 Prole..,Icarus,Violet,Loss,
+,10-08-02,STX Masters 2010,Judgment Day,Stork,Loss,
+,10-08-02,STX Masters 2010,Fighting Spirit,Juni,Win,
+,10-07-06,Shinhan09-10 Prole..,Polaris Rhapsody,Fantasy,Loss,
