,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,hOn_sin,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,hOn_sin,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Speed,Win,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Speed,Win,
+,11-06-26,Shinhan10-11 Prole..,Icarus,Modesty,Win,
+,11-06-22,Shinhan10-11 Prole..,Alternative,Brave,Win,
+,11-06-20,Shinhan10-11 Prole..,Alternative,Crazy-Hydra,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Classic,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Woon,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,RorO,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,RorO,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,ZerG[kaL],Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,ZerG[kaL],Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,oDin,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,oDin,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,oDin,Loss,
+,11-06-14,Shinhan10-11 Prole..,Neo Aztec,herO[jOin],Win,
+,11-06-12,Shinhan10-11 Prole..,Neo Aztec,Tyson,Win,
+,11-06-07,Shinhan10-11 Prole..,New Bloody Ridge,Peace,Win,
+,11-06-04,Shinhan10-11 Prole..,New Empire of th..,HiyA,Loss,
+,11-05-21,Shinhan10-11 Prole..,New Empire of th..,Reality,Win,
+,11-05-17,Shinhan10-11 Prole..,Alternative,n.Die_soO,Win,
+,11-05-14,Shinhan10-11 Prole..,New Bloody Ridge,Kal,Win,
+,11-05-11,Shinhan10-11 Prole..,Neo Aztec,PerfectMan,Win,
+,11-05-08,Shinhan10-11 Prole..,Circuit Breaker,Midas,Win,
+,11-05-04,Shinhan10-11 Prole..,Icarus,ggaemo,Win,
+,11-05-01,Shinhan10-11 Prole..,Beltway,Flash,Loss,
+,11-04-25,Shinhan10-11 Prole..,Neo Aztec,Dream.t)check,Win,
+,11-04-23,Shinhan10-11 Prole..,Neo Aztec,ZerO,Win,
+,11-03-26,SWL 2011,Circuit Breaker,Fantasy,Loss,
+,11-03-20,SWL 2011,Icarus,Iris,Loss,
+,11-03-14,SWL 2011,Aztec,s2,Loss,
+,11-03-14,SWL 2011,Fortress SE,Fantasy,Win,
+,11-03-14,SWL 2011,Bloody Ridge,BeSt,Win,
+,11-03-06,SWL 2011,Empire of the Sun,Kal,Loss,
+,11-03-06,SWL 2011,Bloody Ridge,hero,Win,
+,11-03-06,SWL 2011,La Mancha,Calm,Win,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Reality,Loss,
+,11-03-03,2011 Spring MST Pr..,La Mancha,Reality,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Reality,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,Speed,Win,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,Speed,Win,
+,11-02-28,SWL 2011,Circuit Breaker,Really,Win,
+,11-02-26,SWL 2011,La Mancha,Tyson,Win,
+,11-02-26,SWL 2011,Fortress SE,Saint,Win,
+,11-02-26,SWL 2011,Empire of the Sun,HyuN,Win,
+,11-02-26,SWL 2011,Bloody Ridge,Sea,Win,
+,11-02-16,SWL 2011,La Mancha,ggaemo,Loss,
+,11-02-16,SWL 2011,Benzene,firebathero,Win,
+,11-02-16,SWL 2011,Empire of the Sun,Iris,Win,
+,11-02-16,SWL 2011,Fortress SE,XellOs,Win,
+,11-02-01,SWL 2011,Icarus,Bisu,Loss,
+,11-01-18,SWL 2011,Fortress SE,Bogus,Loss,
+,11-01-11,SWL 2011,Bloody Ridge,Tyson,Loss,
+,11-01-11,SWL 2011,La Mancha,Sea,Win,
+,10-12-27,Shinhan10-11 Prole..,Fortress,Anyppi,Win,
+,10-12-21,Shinhan10-11 Prole..,Aztec,ZerO,Loss,
+,10-12-14,Shinhan10-11 Prole..,Icarus,great,Loss,
+,10-12-12,Shinhan10-11 Prole..,Grand Line SE,Fantasy,Win,
+,10-12-02,MBC Survivor 21st,Triathlon,Classic,Loss,
+,10-12-02,MBC Survivor 21st,Circuit Breaker,sHy,Loss,
+,10-12-02,MBC Survivor 21st,Aztec,Classic,Win,
+,10-11-27,Shinhan10-11 Prole..,Benzene,RorO,Loss,
+,10-11-19,Bacchus2010 OSL,Aztec,Hyuk,Loss,
+,10-11-19,Bacchus2010 OSL,Gladiator,Hyuk,Loss,
+,10-11-19,Bacchus2010 OSL,Pathfinder,Hyuk,Win,
+,10-11-17,Bacchus2010 OSL,Aztec,FrOzen,Win,
+,10-11-17,Bacchus2010 OSL,Gladiator,FrOzen,Win,
+,10-11-17,Bacchus2010 OSL,Pathfinder,FrOzen,Loss,
+,10-11-09,Shinhan10-11 Prole..,Benzene,Tyson,Loss,
+,10-11-06,Shinhan10-11 Prole..,Fortress,Kal,Loss,
+,10-11-03,Shinhan10-11 Prole..,Benzene,Crazy-Hydra,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Neo.G_Soulkey,Loss,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Tempest,Win,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Bogus,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Bogus,Win,
+,10-10-29,2010 Winter OSL Pr..,Aztec,ggaemo,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,ggaemo,Loss,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,ggaemo,Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,Last,Win,
+,10-10-28,2010 Winter MST Pr..,Triathlon,Last,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,Last,Loss,
+,10-10-28,2010 Winter MST Pr..,Match Point,SorrOw,Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,SorrOw,Win,
+,10-10-25,Shinhan10-11 Prole..,Central Plains,Stork,Loss,
+,10-10-20,Shinhan10-11 Prole..,Icarus,Major,Win,
+,10-08-09,STX Masters 2010,Match Point,hOn_sin,Loss,
+,10-08-04,WCG2010 Korea,Fighting Spirit,fOrGG,Loss,
+,10-08-04,WCG2010 Korea,Polaris Rhapsody,fOrGG,Loss,
+,10-08-04,WCG2010 Korea,Grand Line SE,fOrGG,Win,
