,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-05,Shinhan10-11 Prole..,New Bloody Ridge,Brave,Loss,
+,11-07-02,Shinhan10-11 Prole..,New Bloody Ridge,HyuN,Loss,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Brave,Loss,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,Brave,Loss,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Brave,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Alone,Win,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Alone,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Holy,Win,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Holy,Win,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,Holy,Loss,
+,11-06-19,Shinhan10-11 Prole..,New Bloody Ridge,Mind,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Size,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Size,Loss,
+,11-01-20,KeSPA 10-11 Dream ..,Bloody Ridge,Flying,Loss,
+,11-01-06,KeSPA 10-11 Dream ..,Empire of the Sun,Reality,Win,
+,11-01-06,KeSPA 10-11 Dream ..,Icarus,hOpe,Win,
+,10-11-18,MBC Survivor 21st,Circuit Breaker,HyuN,Loss,
+,10-11-18,MBC Survivor 21st,Aztec,Bisu,Loss,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Stats,Loss,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Stats,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Stats,Loss,
+,10-10-29,2010 Winter OSL Pr..,Aztec,firebathero,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,firebathero,Win,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,firebathero,Loss,
+,10-10-28,2010 Winter MST Pr..,Triathlon,BeSt,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,BeSt,Win,
+,10-10-28,2010 Winter MST Pr..,Triathlon,TurN,Win,
+,10-10-28,2010 Winter MST Pr..,Match Point,TurN,Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,TurN,Loss,
+,10-10-25,Shinhan10-11 Prole..,Empire of the Sun,TurN,Loss,
+,10-10-23,Shinhan10-11 Prole..,Grand Line SE,Kwanro,Loss,
+,10-07-08,KeSPA 09-10 Dream ..,Polaris Rhapsody,hOn_sin,Loss,
+,10-06-11,2010 Summer OSL Pr..,Great Barrier Reef,PuMa,Loss,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,PuMa,Loss,
+,10-06-11,2010 Summer OSL Pr..,Fighting Spirit,Squirtle,Win,
+,10-06-11,2010 Summer OSL Pr..,Match Point,Squirtle,Win,
+,10-05-27,2010 Summer MST Pr..,Odd-Eye 2,fOrGG,Loss,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,fOrGG,Loss,
+,10-05-27,2010 Summer MST Pr..,Odd-Eye 2,Reach,Win,
+,10-05-27,2010 Summer MST Pr..,Fighting Spirit,Reach,Win,
+,10-05-27,2010 Summer MST Pr..,Match Point,Reach,Loss,
+,10-05-19,Shinhan09-10 Prole..,Roadrunner,Lomo,Win,
+,10-02-11,MBC Survivor 19th,Match Point,Crazy-Hydra,Loss,
+,10-02-11,MBC Survivor 19th,Fighting Spirit,JangBi,Loss,
+,10-02-05,2010 Spring OSL Pr..,Match Point,Tyson,Loss,
+,10-02-05,2010 Spring OSL Pr..,Fighting Spirit,Tyson,Loss,
+,10-02-05,2010 Spring OSL Pr..,Match Point,Say,Win,
+,10-02-05,2010 Spring OSL Pr..,Fighting Spirit,Say,Loss,
+,10-02-05,2010 Spring OSL Pr..,Eye of the Storm,Say,Win,
+,10-02-04,2010 Spring MST Pr..,Match Point,Mell,Win,
+,10-02-04,2010 Spring MST Pr..,Fighting Spirit,Mell,Win,
+,10-02-04,2010 Spring MST Pr..,Fighting Spirit,tOvy,Win,
+,10-02-04,2010 Spring MST Pr..,Odd-Eye,tOvy,Win,
+,10-02-04,2010 Spring MST Pr..,Odd-Eye,ToSsGirL,Win,
+,10-02-04,2010 Spring MST Pr..,Match Point,ToSsGirL,Win,
+,09-12-16,Shinhan09-10 Prole..,New Heartbreak R..,RorO,Loss,
+,09-10-22,MBC Survivor 18th,Destination,Crazy-Hydra,Loss,
+,09-10-22,MBC Survivor 18th,Heartbreak Ridge,go.go,Loss,
+,09-09-30,2009 Fall OSL Prel..,Return of the King,Firebat,Win,
+,09-09-30,2009 Fall OSL Prel..,Destination,Firebat,Loss,
+,09-09-30,2009 Fall OSL Prel..,Heartbreak Ridge,Firebat,Win,
+,09-09-30,2009 Fall OSL Prel..,Heartbreak Ridge,yCh[z-zOne],Loss,
+,09-09-30,2009 Fall OSL Prel..,Return of the King,yCh[z-zOne],Loss,
+,09-09-30,2009 Fall OSL Prel..,Destination,yCh[z-zOne],Win,
+,09-09-25,2009 OGN Team Eval..,Heartbreak Ridge,Horang2,Win,
+,09-09-24,2009 MBC Team Eval..,Judgment Day,Tyson,Win,
+,09-09-24,2009 MBC Team Eval..,Match Point,Pusan,Loss,
+,09-08-17,STX Masters 2009,Andromeda,FireFist,Loss,
+,09-08-02,Shinhan08-09 Prole..,God&#039;s Garden,Jaedong,Win,
+,09-07-12,Shinhan08-09 Prole..,God&#039;s Garden,hero,Loss,
+,09-05-05,GOM Classic Season 3,Neo Medusa,ZerO,Loss,
+,09-05-05,GOM Classic Season 3,Destination,ZerO,Loss,
+,09-05-01,2009 Spring OSL Pr..,Outsider,Casy,Loss,
+,09-05-01,2009 Spring OSL Pr..,God&#039;s Garden,Casy,Loss,
+,09-05-01,2009 Spring OSL Pr..,Return of the King,Casy,Win,
+,09-04-13,Shinhan08-09 Prole..,Neo Medusa,Reach,Win,
+,09-04-07,GOM Classic Season 3,Andromeda,Juni,Win,
+,09-04-07,GOM Classic Season 3,Destination,Juni,Win,
+,09-04-02,2009 Spring MST Pr..,Destination,HiyA,Loss,
+,09-04-02,2009 Spring MST Pr..,Byzantium 2,HiyA,Loss,
+,09-04-02,2009 Spring MST Pr..,Medusa,HiyA,Win,
+,09-04-02,2009 Spring MST Pr..,Medusa,mingu,Win,
+,09-04-02,2009 Spring MST Pr..,Destination,mingu,Win,
+,09-03-30,GOM Classic Season 3,Andromeda,Heart,Win,
+,09-03-30,GOM Classic Season 3,Destination,Heart,Win,
+,09-03-30,GOM Classic Season 3,Tau Cross,Heart,Loss,
+,08-12-12,2008 Winter OSL Pr..,Rush Hour 3,YellOw[ArnC],Loss,
+,08-12-12,2008 Winter OSL Pr..,Medusa,YellOw[ArnC],Win,
+,08-12-12,2008 Winter OSL Pr..,Sin Chupung-Ryeong,YellOw[ArnC],Loss,
+,08-12-12,2008 Winter OSL Pr..,Medusa,Major,Win,
+,08-12-12,2008 Winter OSL Pr..,Sin Chupung-Ryeong,Major,Win,
+,08-12-12,2008 Winter OSL Pr..,Rush Hour 3,Major,Loss,
+,08-11-27,2008 Winter MST Pr..,Colosseum II,Jaehoon,Loss,
+,08-11-27,2008 Winter MST Pr..,Medusa,Jaehoon,Loss,
+,08-11-27,2008 Winter MST Pr..,Medusa,tOmAtO,Win,
+,08-11-27,2008 Winter MST Pr..,Destination,tOmAtO,Win,
+,08-10-26,GOM Classic Season 2,Neo Requiem,Stork,Loss,
+,08-10-26,GOM Classic Season 2,Destination,Stork,Win,
+,08-10-26,GOM Classic Season 2,Chupung-Ryeong,Stork,Loss,
+,08-10-05,GOM Classic Season 2,Chupung-Ryeong,Doochi,Win,
+,08-10-05,GOM Classic Season 2,Medusa,Doochi,Win,
+,08-09-28,GOM Classic Season 2,Andromeda,Fire,Win,
