,Date&nbsp;,League,Map,Opponent,Result,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,TurN,Loss,
+,11-06-30,2011 Summer MST Pr..,La Mancha,TurN,Loss,
+,11-06-30,2011 Summer MST Pr..,Monte Cristo,Chavi,Win,
+,11-06-30,2011 Summer MST Pr..,La Mancha,Chavi,Loss,
+,11-06-30,2011 Summer MST Pr..,Circuit Breaker,Chavi,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Sharp,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Sharp,Loss,
+,11-06-08,Shinhan10-11 Prole..,New Bloody Ridge,Tyson,Loss,
+,11-06-06,Shinhan10-11 Prole..,New Bloody Ridge,Alone,Win,
+,11-05-21,Shinhan10-11 Prole..,Neo Aztec,n.Die_soO,Loss,
+,11-05-08,Shinhan10-11 Prole..,New Bloody Ridge,Horang2,Loss,
+,11-04-26,Shinhan10-11 Prole..,New Empire of th..,Really,Loss,
+,11-04-24,Shinhan10-11 Prole..,New Bloody Ridge,Kal,Win,
+,11-03-31,MBC Survivor 22nd,Empire of the Sun,M18M,Loss,
+,11-03-31,MBC Survivor 22nd,Circuit Breaker,Leta,Loss,
+,11-03-16,SWL 2011,Fortress SE,Leta,Loss,
+,11-03-13,SWL 2011,Empire of the Sun,free,Loss,
+,11-03-09,SWL 2011,Benzene,Kal,Loss,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,hOn_sin,Win,
+,11-03-03,2011 Spring MST Pr..,La Mancha,hOn_sin,Loss,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,hOn_sin,Win,
+,11-03-03,2011 Spring MST Pr..,Empire of the Sun,SonGDuri,Win,
+,11-03-03,2011 Spring MST Pr..,Dante&#039;s Pea..,SonGDuri,Win,
+,11-02-27,SWL 2011,Fortress SE,HiyA,Loss,
+,11-01-15,SWL 2011,Benzene,Bisu,Loss,
+,10-12-14,Shinhan10-11 Prole..,Bloody Ridge,Tyson,Loss,
+,10-12-11,Shinhan10-11 Prole..,Benzene,Jaedong,Loss,
+,10-12-07,Shinhan10-11 Prole..,Benzene,RuBy,Loss,
+,10-12-05,Shinhan10-11 Prole..,Bloody Ridge,Stats,Loss,
+,10-11-29,Shinhan10-11 Prole..,Fortress,BeSt,Win,
+,10-11-27,Shinhan10-11 Prole..,Fortress,sKyHigh,Win,
+,10-11-17,Shinhan10-11 Prole..,Icarus,ggaemo,Loss,
+,10-11-15,Shinhan10-11 Prole..,Icarus,Sea,Loss,
+,10-11-15,Shinhan10-11 Prole..,Aztec,HyuN,Loss,
+,10-11-12,Bacchus2010 OSL,Gladiator,Modesty,Loss,
+,10-11-12,Bacchus2010 OSL,Pathfinder,Modesty,Loss,
+,10-11-09,Shinhan10-11 Prole..,Aztec,Stork,Win,
+,10-11-07,Shinhan10-11 Prole..,Icarus,Fantasy,Loss,
+,10-11-02,Shinhan10-11 Prole..,Central Plains,BackHo,Win,
+,10-10-28,2010 Winter MST Pr..,Triathlon,Ssak,Loss,
+,10-10-28,2010 Winter MST Pr..,Match Point,Ssak,Loss,
+,10-10-28,2010 Winter MST Pr..,Match Point,SonGDuri,Win,
+,10-10-28,2010 Winter MST Pr..,Fighting Spirit,SonGDuri,Win,
+,10-10-27,Shinhan10-11 Prole..,Central Plains,Shuttle,Win,
+,10-10-24,Shinhan10-11 Prole..,Central Plains,Tempest,Win,
+,10-10-20,Shinhan10-11 Prole..,Central Plains,Snow,Win,
+,10-08-18,WCG2010 Korea,Grand Line SE,EffOrt,Loss,
+,10-08-18,WCG2010 Korea,Match Point,EffOrt,Win,
+,10-08-18,WCG2010 Korea,Fighting Spirit,EffOrt,Loss,
+,10-08-12,WCG2010 Korea,Fighting Spirit,Stork,Win,
+,10-08-12,WCG2010 Korea,Polaris Rhapsody,Stork,Win,
+,10-08-11,Korean Air OSL S2,Grand Line SE,Jaedong,Loss,
+,10-08-05,WCG2010 Korea,Fighting Spirit,free,Win,
+,10-08-05,WCG2010 Korea,Polaris Rhapsody,free,Loss,
+,10-08-05,WCG2010 Korea,Grand Line SE,free,Win,
+,10-08-02,Korean Air OSL S2,Eye of the Storm,Sea,Loss,
+,10-07-28,Korean Air OSL S2,Polaris Rhapsody,Hydra,Loss,
+,10-07-25,Shinhan09-10 Prole..,Polaris Rhapsody,Bisu,Loss,
+,10-07-25,Shinhan09-10 Prole..,New Heartbreak R..,Hyuk,Loss,
+,10-07-24,Shinhan09-10 Prole..,Polaris Rhapsody,Bisu,Loss,
+,10-07-20,Shinhan09-10 Prole..,Match Point,Light,Win,
+,10-07-20,Shinhan09-10 Prole..,New Heartbreak R..,Pusan,Loss,
+,10-07-18,Shinhan09-10 Prole..,Match Point,Sea,Win,
+,10-07-17,Shinhan09-10 Prole..,New Heartbreak R..,Pusan,Win,
+,10-07-07,Shinhan09-10 Prole..,Grand Line SE,Reach,Win,
+,10-07-04,Shinhan09-10 Prole..,Match Point,free,Loss,
+,10-06-26,Shinhan09-10 Prole..,Polaris Rhapsody,Really,Win,
+,10-06-13,Shinhan09-10 Prole..,Grand Line SE,Tempest,Win,
+,10-06-03,MBC Survivor 20th,Match Point,Horang2,Loss,
+,10-06-03,MBC Survivor 20th,Fighting Spirit,Classic,Loss,
+,10-05-31,Shinhan09-10 Prole..,Match Point,Shuttle,Loss,
+,10-05-17,Shinhan09-10 Prole..,Match Point,s2,Loss,
+,10-05-07,Korean Air OSL S1,Match Point,Flash,Loss,
+,10-05-07,Korean Air OSL S1,Eye of the Storm,Flash,Loss,
+,10-05-07,Korean Air OSL S1,Great Barrier Reef,Flash,Loss,
+,10-04-30,Korean Air OSL S1,Fighting Spirit,Movie,Win,
+,10-04-26,Shinhan09-10 Prole..,Match Point,Kal,Loss,
+,10-04-23,Korean Air OSL S1,Match Point,Movie,Win,
+,10-04-18,Korean Air OSL S1,Eye of the Storm,Fantasy,Win,
+,10-04-18,Korean Air OSL S1,Match Point,Calm,Win,
+,10-04-18,Korean Air OSL S1,Match Point,Fantasy,Win,
+,10-04-18,Korean Air OSL S1,Great Barrier Reef,Calm,Loss,
+,10-04-16,Korean Air OSL S1,Great Barrier Reef,ZerO,Loss,
+,10-04-09,Korean Air OSL S1,Eye of the Storm,Fantasy,Loss,
+,10-04-06,Hana Daetoo MSL,Odd-Eye 2,free,Loss,
+,10-04-06,Hana Daetoo MSL,Triathlon,Calm,Loss,
+,10-04-06,Hana Daetoo MSL,Match Point,Light,Win,
+,10-03-31,Korean Air OSL S1,Match Point,Calm,Win,
+,10-03-17,Korean Air OSL S1,Fighting Spirit,Special,Win,
+,10-03-17,Korean Air OSL S1,Great Barrier Reef,Special,Win,
+,10-02-25,MBC Survivor 19th,Match Point,Canata,Win,
+,10-02-25,MBC Survivor 19th,Fighting Spirit,Action,Win,
+,10-02-08,Shinhan 2010 Winne..,New Tornado,Fantasy,Loss,
+,10-02-03,Shinhan 2010 Winne..,Match Point,Leta,Loss,
+,10-01-31,Shinhan 2010 Winne..,Match Point,Light,Loss,
+,10-01-18,Shinhan09-10 Prole..,Outsider SE,UpMaGiC,Win,
+,10-01-12,Shinhan09-10 Prole..,New Heartbreak R..,Sea,Loss,
+,10-01-09,Shinhan09-10 Prole..,Outsider SE,Stork,Win,
+,10-01-06,Shinhan09-10 Prole..,New Heartbreak R..,Horang2,Loss,
+,10-01-03,Shinhan09-10 Prole..,Match Point,Kal,Loss,
+,09-12-28,Shinhan09-10 Prole..,Neo Moon Glaive,RuBy,Win,
+,09-12-25,EVER2009 OSL,El Niño,Calm,Loss,
+,09-12-22,Shinhan09-10 Prole..,Match Point,Violet,Win,
+,09-12-19,Shinhan09-10 Prole..,New Heartbreak R..,Hyuk,Win,
+,09-12-18,EVER2009 OSL,Eye of the Storm,Calm,Loss,
+,09-12-16,Shinhan09-10 Prole..,Match Point,Movie,Loss,
+,09-12-11,EVER2009 OSL,Eye of the Storm,ZerO,Loss,
+,09-12-11,EVER2009 OSL,Heartbreak Ridge,YellOw[ArnC],Win,
+,09-12-09,EVER2009 OSL,Fighting Spirit,ZerO,Win,
+,09-12-02,EVER2009 OSL,El Niño,Hwasin,Win,
+,09-11-27,EVER2009 OSL,Eye of the Storm,YellOw[ArnC],Loss,
+,09-11-24,Shinhan09-10 Prole..,Heartbreak Ridge,Violet,Loss,
+,09-11-21,Shinhan09-10 Prole..,Fighting Spirit,s2,Loss,
+,09-11-08,Shinhan09-10 Prole..,Fighting Spirit,ZerO,Loss,
+,09-11-04,EVER2009 OSL,Heartbreak Ridge,Leta,Win,
+,09-11-04,EVER2009 OSL,El Niño,Leta,Loss,
+,09-11-04,EVER2009 OSL,Eye of the Storm,Leta,Win,
+,09-11-04,EVER2009 OSL,Heartbreak Ridge,Hyuk,Win,
+,09-11-04,EVER2009 OSL,El Niño,Hyuk,Loss,
+,09-11-04,EVER2009 OSL,Eye of the Storm,Hyuk,Win,
+,09-10-31,Shinhan09-10 Prole..,Fighting Spirit,Movie,Win,
+,09-10-26,Shinhan09-10 Prole..,Heartbreak Ridge,Light,Win,
+,09-10-21,Shinhan09-10 Prole..,Heartbreak Ridge,YellOw[ArnC],Win,
+,09-10-17,MBC Survivor 18th,Byzantium 3,July,Loss,
+,09-10-17,MBC Survivor 18th,Destination,RuBy,Loss,
+,09-10-17,MBC Survivor 18th,Heartbreak Ridge,July,Win,
+,09-10-12,Shinhan09-10 Prole..,Match Point,M18M,Loss,
+,09-09-30,2009 Fall OSL Prel..,Heartbreak Ridge,Ace,Win,
+,09-09-30,2009 Fall OSL Prel..,Return of the King,Ace,Win,
+,09-09-30,2009 Fall OSL Prel..,Heartbreak Ridge,Bomber,Win,
+,09-09-30,2009 Fall OSL Prel..,Return of the King,Bomber,Win,
+,09-09-30,2009 Fall OSL Prel..,Destination,Bomber,Loss,
+,09-09-30,2009 Fall OSL Prel..,Destination,Lucky,Win,
+,09-09-30,2009 Fall OSL Prel..,Heartbreak Ridge,Lucky,Win,
+,09-09-22,2009 MBC Team Eval..,Moon Glaive,HoeJJa,Loss,
+,09-09-22,2009 MBC Team Eval..,Fighting Spirit,HoeJJa,Win,
+,09-08-03,STX Masters 2009,Colosseum II,SangHo,Loss,
+,09-07-14,Avalon MSL,Carthage 3,ZerO,Loss,
+,09-07-11,Shinhan08-09 Prole..,Heartbreak Ridge,type-b,Win,
+,09-07-09,Avalon MSL,Heartbreak Ridge,ZerO,Loss,
+,09-07-05,Shinhan08-09 Prole..,Heartbreak Ridge,ZerO,Loss,
+,09-06-21,Shinhan08-09 Prole..,Heartbreak Ridge,Violet,Loss,
+,09-06-20,Avalon MSL,Carthage 3,fOrGG,Win,
+,09-06-20,Avalon MSL,Byzantium 3,firebathero,Win,
+,09-06-08,Shinhan08-09 Prole..,Heartbreak Ridge,Light,Loss,
+,09-06-05,Bacchus2009 OSL,Outsider,type-b,Loss,
+,09-06-05,Bacchus2009 OSL,Holy World,type-b,Loss,
+,09-05-30,Shinhan08-09 Prole..,Destination,Fantasy,Win,
+,09-05-25,Shinhan08-09 Prole..,Destination,Leta,Loss,
+,09-05-19,Shinhan08-09 Prole..,God&#039;s Garden,EffOrt,Loss,
+,09-05-16,Shinhan08-09 Prole..,Heartbreak Ridge,BeSt,Win,
+,09-05-16,Shinhan08-09 Prole..,Neo Medusa,Fantasy,Loss,
+,09-05-11,Shinhan08-09 Prole..,Outsider,UpMaGiC,Loss,
+,09-05-06,Shinhan08-09 Prole..,Neo Medusa,GoRush,Loss,
+,09-05-03,Shinhan08-09 Prole..,God&#039;s Garden,Jaehoon,Win,
+,09-05-01,2009 Spring OSL Pr..,Return of the King,free,Win,
+,09-05-01,2009 Spring OSL Pr..,Outsider,free,Win,
+,09-05-01,2009 Spring OSL Pr..,Outsider,LaKe[Name],Win,
+,09-05-01,2009 Spring OSL Pr..,God&#039;s Garden,LaKe[Name],Win,
+,09-05-01,2009 Spring OSL Pr..,God&#039;s Garden,Desire,Win,
+,09-05-01,2009 Spring OSL Pr..,Return of the King,Desire,Win,
+,09-04-30,MBC Survivor 17th,Carthage 2,Kwanro,Win,
+,09-04-30,MBC Survivor 17th,Byzantium 3,GGPlay,Win,
