,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-05,Shinhan10-11 Prole..,Neo Beltway,ggaemo,Win,
+,11-07-03,Shinhan10-11 Prole..,La Mancha,HiyA,Loss,
+,11-06-27,Shinhan10-11 Prole..,New Empire of th..,BaBy,Win,
+,11-06-25,Shinhan10-11 Prole..,New Empire of th..,Tyson,Win,
+,11-06-22,Shinhan10-11 Prole..,Icarus,BByong,Loss,
+,11-06-19,Shinhan10-11 Prole..,La Mancha,Flying,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,s2,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,s2,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Trap,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Trap,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Trap,Win,
+,11-06-14,Shinhan10-11 Prole..,New Empire of th..,Fantasy,Win,
+,11-06-08,Shinhan10-11 Prole..,Neo Beltway,Flash,Win,
+,11-06-06,Shinhan10-11 Prole..,Icarus,Bogus,Loss,
+,11-05-21,Shinhan10-11 Prole..,New Empire of th..,Movie,Loss,
+,11-05-18,Shinhan10-11 Prole..,New Empire of th..,Flash,Loss,
+,11-05-16,Shinhan10-11 Prole..,Beltway,Midas,Win,
+,11-05-10,Shinhan10-11 Prole..,New Empire of th..,Jaehoon,Loss,
+,11-05-08,Shinhan10-11 Prole..,New Empire of th..,Fantasy,Loss,
+,11-05-07,ABC Mart MSL,Circuit Breaker,Jaedong,Loss,
+,11-05-07,ABC Mart MSL,Monte Cristo,Jaedong,Win,
+,11-05-02,Shinhan10-11 Prole..,Circuit Breaker,Neo.G_Soulkey,Loss,
+,11-04-30,Shinhan10-11 Prole..,Beltway,Calm,Win,
+,11-04-28,ABC Mart MSL,Dante&#039;s Pea..,Jaedong,Loss,
+,11-04-24,Shinhan10-11 Prole..,Beltway,HiyA,Win,
+,11-04-21,ABC Mart MSL,Dante&#039;s Pea..,Shine,Win,
+,11-04-21,ABC Mart MSL,Circuit Breaker,Kal,Win,
+,11-04-21,ABC Mart MSL,Monte Cristo,Shine,Loss,
+,11-04-14,KeSPA 10-11 Dream ..,Benzene,Sky,Loss,
+,11-03-29,MBC Survivor 22nd,Empire of the Sun,Ssak,Win,
+,11-03-29,MBC Survivor 22nd,Circuit Breaker,Stats,Win,
+,11-03-21,SWL 2011,Empire of the Sun,Calm,Loss,
