,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-05,Shinhan10-11 Prole..,Icarus,Canata,Win,
+,11-07-03,Shinhan10-11 Prole..,New Empire of th..,Dear,Loss,
+,11-06-27,Shinhan10-11 Prole..,La Mancha,Mind,Loss,
+,11-06-25,Shinhan10-11 Prole..,Circuit Breaker,ZerG[kaL],Win,
+,11-06-22,Shinhan10-11 Prole..,Neo Beltway,Snow,Win,
+,11-06-19,Shinhan10-11 Prole..,Neo Beltway,Light,Loss,
+,11-06-14,Shinhan10-11 Prole..,Neo Aztec,n.Die_soO,Loss,
+,11-06-08,Shinhan10-11 Prole..,Neo Aztec,Stats,Loss,
+,11-06-08,Shinhan10-11 Prole..,Circuit Breaker,Stats,Loss,
+,11-06-06,Shinhan10-11 Prole..,La Mancha,hyvaa,Win,
+,11-05-21,Shinhan10-11 Prole..,Neo Aztec,Horang2,Win,
+,11-05-18,Shinhan10-11 Prole..,La Mancha,HoeJJa,Loss,
+,11-05-16,Shinhan10-11 Prole..,Circuit Breaker,Mind,Win,
+,11-05-10,Shinhan10-11 Prole..,New Bloody Ridge,HyuN,Loss,
+,11-05-10,Shinhan10-11 Prole..,Neo Aztec,HyuN,Loss,
+,11-05-08,Shinhan10-11 Prole..,La Mancha,Fantasy,Loss,
+,11-05-08,Shinhan10-11 Prole..,Alternative,n.Die_soO,Loss,
+,11-05-07,ABC Mart MSL,La Mancha,Hydra,Loss,
+,11-05-07,ABC Mart MSL,Circuit Breaker,Hydra,Win,
+,11-05-02,Shinhan10-11 Prole..,New Empire of th..,Really,Win,
+,11-04-30,Shinhan10-11 Prole..,New Empire of th..,Kal,Win,
+,11-04-28,ABC Mart MSL,Dante&#039;s Pea..,Hydra,Loss,
+,11-04-26,Shinhan10-11 Prole..,La Mancha,RuBy,Win,
+,11-04-24,Shinhan10-11 Prole..,Alternative,Alone,Loss,
+,11-04-17,Shinhan10-11 All-S..,Fortress SE,firebathero,Loss,
+,11-04-14,ABC Mart MSL,La Mancha,firebathero,Win,
+,11-04-14,ABC Mart MSL,Dante&#039;s Pea..,Mind,Loss,
+,11-04-14,ABC Mart MSL,Monte Cristo,firebathero,Win,
+,11-03-21,SWL 2011,Bloody Ridge,Shuttle,Loss,
+,11-03-21,SWL 2011,Circuit Breaker,hero,Win,
+,11-03-19,SWL 2011,Fortress SE,BaBy,Loss,
+,11-03-19,SWL 2011,Empire of the Sun,Mind,Win,
+,11-03-15,SWL 2011,Empire of the Sun,ZerO,Loss,
+,11-03-15,SWL 2011,Aztec,Crazy-Hydra,Win,
+,11-03-13,SWL 2011,Benzene,Flash,Loss,
+,11-03-13,SWL 2011,Icarus,Action,Win,
+,11-03-13,SWL 2011,La Mancha,Stats,Win,
+,11-03-08,SWL 2011,Benzene,Horang2,Loss,
+,11-03-05,SWL 2011,Bloody Ridge,Jaedong,Loss,
+,11-02-28,SWL 2011,Benzene,Bisu,Win,
+,11-02-21,SWL 2011,Empire of the Sun,Sea,Loss,
+,11-02-15,SWL 2011,Empire of the Sun,Stats,Loss,
+,11-02-15,SWL 2011,Bloody Ridge,Flash,Win,
+,11-02-12,SWL 2011,Bloody Ridge,ZerO,Loss,
+,11-02-12,SWL 2011,Fortress SE,Flying,Win,
+,11-02-12,SWL 2011,Aztec,Really,Win,
+,11-01-30,SWL 2011,Empire of the Sun,Fantasy,Win,
+,11-01-30,SWL 2011,Circuit Breaker,Bisu,Win,
+,11-01-29,Bacchus2010 OSL,Pathfinder,Fantasy,Loss,
+,11-01-29,Bacchus2010 OSL,Aztec,Fantasy,Loss,
+,11-01-29,Bacchus2010 OSL,Gladiator,Fantasy,Loss,
+,11-01-27,PDPop MSL,Dante&#039;s Peak,ZerO,Loss,
+,11-01-27,PDPop MSL,Benzene,ZerO,Loss,
+,11-01-24,SWL 2011,Fortress SE,Horang2,Loss,
+,11-01-24,SWL 2011,Benzene,Hydra,Win,
+,11-01-21,Bacchus2010 OSL,Pathfinder,Modesty,Win,
+,11-01-21,Bacchus2010 OSL,Gladiator,Modesty,Win,
+,11-01-21,Bacchus2010 OSL,Aztec,Modesty,Win,
+,11-01-20,PDPop MSL,Circuit Breaker,ZerO,Loss,
+,11-01-16,SWL 2011,Fortress SE,Tyson,Win,
+,11-01-16,SWL 2011,Empire of the Sun,HyuN,Win,
+,11-01-16,SWL 2011,Bloody Ridge,Sea,Win,
+,11-01-16,SWL 2011,Icarus,Jaehoon,Win,
+,11-01-13,PDPop MSL,Circuit Breaker,Bisu,Win,
+,11-01-12,SWL 2011,Aztec,Jaedong,Win,
+,11-01-12,SWL 2011,Empire of the Sun,Alone,Win,
+,11-01-12,SWL 2011,Bloody Ridge,Killer,Win,
+,11-01-07,Bacchus2010 OSL,Gladiator,HiyA,Win,
+,11-01-07,Bacchus2010 OSL,Icarus,HiyA,Loss,
+,11-01-06,PDPop MSL,Benzene,Bisu,Win,
+,10-12-31,Bacchus2010 OSL,Pathfinder,HiyA,Win,
+,10-12-29,Shinhan10-11 Prole..,Benzene,LuCifer,Loss,
+,10-12-27,Shinhan10-11 Prole..,Icarus,GoRush,Win,
+,10-12-26,Bacchus2010 OSL,Aztec,Shine,Win,
+,10-12-26,Bacchus2010 OSL,Gladiator,Mind,Win,
+,10-12-23,PDPop MSL,Triathlon,Light,Win,
+,10-12-23,PDPop MSL,Dante&#039;s Peak,RorO,Loss,
+,10-12-23,PDPop MSL,Benzene,Light,Win,
+,10-12-22,Bacchus2010 OSL,Gladiator,Shine,Loss,
+,10-12-21,Shinhan10-11 Prole..,Aztec,Hyuk,Win,
+,10-12-18,Shinhan10-11 Prole..,Icarus,Killer,Win,
+,10-12-15,Bacchus2010 OSL,Aztec,Sea,Win,
+,10-12-14,Shinhan10-11 Prole..,Empire of the Sun,Snow,Win,
+,10-12-12,Shinhan10-11 Prole..,Benzene,Neo.G_Soulkey,Win,
