,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-02,Shinhan10-11 Prole..,Alternative,ggaemo,Loss,
+,11-07-02,Shinhan10-11 Prole..,New Empire of th..,firebathero,Loss,
+,11-06-28,Shinhan10-11 Prole..,New Empire of th..,Stats,Loss,
+,11-06-25,Shinhan10-11 Prole..,New Empire of th..,Reality,Loss,
+,11-06-20,Shinhan10-11 Prole..,Neo Aztec,Bisu,Loss,
+,11-06-18,Shinhan10-11 Prole..,New Empire of th..,HiyA,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Sharp,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Sharp,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Sharp,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,Size,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,Size,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,Size,Loss,
+,11-06-15,Shinhan10-11 Prole..,New Empire of th..,Shuttle,Loss,
+,11-06-12,Shinhan10-11 Prole..,Neo Aztec,Movie,Loss,
+,11-06-08,Shinhan10-11 Prole..,New Bloody Ridge,Pure,Win,
+,11-06-05,Shinhan10-11 Prole..,Neo Aztec,Really,Win,
+,11-05-23,Shinhan10-11 Prole..,Neo Aztec,Stats,Loss,
+,11-05-15,Shinhan10-11 Prole..,La Mancha,ggaemo,Win,
+,11-05-10,Shinhan10-11 Prole..,Circuit Breaker,TurN,Win,
+,11-05-03,Shinhan10-11 Prole..,New Empire of th..,hero,Win,
+,11-05-01,Shinhan10-11 Prole..,New Bloody Ridge,By.Sun,Win,
+,11-04-27,Shinhan10-11 Prole..,La Mancha,PerfectMan,Loss,
+,11-04-25,Shinhan10-11 Prole..,Beltway,Leta,Win,
+,11-04-14,ABC Mart MSL,Dante&#039;s Pea..,Light,Loss,
+,11-04-14,ABC Mart MSL,Circuit Breaker,ggaemo,Loss,
+,11-03-21,SWL 2011,Benzene,Crazy-Hydra,Loss,
+,11-03-17,MBC Survivor 22nd,Dante&#039;s Pea..,Where,Win,
+,11-03-17,MBC Survivor 22nd,Empire of the Sun,Canata,Win,
+,11-03-17,MBC Survivor 22nd,Circuit Breaker,Where,Loss,
