,Date&nbsp;,League,Map,Opponent,Result,
+,11-01-23,SWL 2011,Empire of the Sun,Bogus,Loss,
+,11-01-23,SWL 2011,Aztec,Calm,Win,
+,11-01-23,SWL 2011,Fortress SE,hero,Win,
+,11-01-23,SWL 2011,Bloody Ridge,Kal,Win,
+,11-01-17,SWL 2011,Bloody Ridge,HiyA,Loss,
+,11-01-17,SWL 2011,La Mancha,PerfectMan,Win,
+,11-01-17,SWL 2011,Icarus,Killer,Win,
+,11-01-17,SWL 2011,Benzene,Jaedong,Win,
+,10-12-27,Shinhan10-11 Prole..,Circuit Breaker,Hydra,Loss,
+,10-12-25,Shinhan10-11 Prole..,Bloody Ridge,Killer,Loss,
+,10-12-19,Shinhan10-11 Prole..,Bloody Ridge,ZerO,Win,
+,10-12-15,Shinhan10-11 Prole..,Bloody Ridge,Fantasy,Win,
+,10-12-07,Shinhan10-11 Prole..,Benzene,Jaehoon,Loss,
+,10-12-05,Shinhan10-11 Prole..,Fortress,Midas,Loss,
+,10-12-02,MBC Survivor 21st,Triathlon,Snow,Loss,
+,10-12-02,MBC Survivor 21st,Circuit Breaker,FrOzen,Win,
+,10-12-02,MBC Survivor 21st,Aztec,Killer,Loss,
+,10-11-30,Shinhan10-11 Prole..,Benzene,Stork,Win,
+,10-11-28,Shinhan10-11 Prole..,Bloody Ridge,Shuttle,Loss,
+,10-11-14,Shinhan10-11 Prole..,Central Plains,Horang2,Loss,
+,10-11-08,Shinhan10-11 Prole..,Icarus,Bogus,Loss,
+,10-11-04,MBC Survivor 21st,Circuit Breaker,Bisu,Loss,
+,10-11-03,Bacchus2010 OSL,Aztec,Killer,Loss,
+,10-11-03,Bacchus2010 OSL,Gladiator,Killer,Win,
+,10-11-03,Bacchus2010 OSL,Pathfinder,Killer,Loss,
+,10-11-01,Shinhan10-11 Prole..,Icarus,great,Loss,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Killer,Loss,
+,10-10-29,2010 Winter OSL Pr..,Aztec,Alone,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Alone,Win,
+,10-10-29,2010 Winter OSL Pr..,Icarus,Wooki,Win,
+,10-10-29,2010 Winter OSL Pr..,Eye of the Storm,Wooki,Win,
+,10-10-26,Shinhan10-11 Prole..,Central Plains,M18M,Loss,
+,10-10-24,Shinhan10-11 Prole..,Circuit Breaker,Mind,Loss,
+,10-10-19,Shinhan10-11 Prole..,Icarus,Lomo,Win,
+,10-10-16,Shinhan10-11 Prole..,Central Plains,Canata,Win,
+,10-08-07,Shinhan09-10 Prole..,New Heartbreak R..,Canata,Win,
+,10-07-31,Bigfile MSL,Triathlon,Flash,Loss,
+,10-07-24,Bigfile MSL,Polaris Rhapsody,Flash,Loss,
+,10-07-13,Shinhan09-10 Prole..,Grand Line SE,Horang2,Loss,
