,Date&nbsp;,League,Map,Opponent,Result,
+,11-07-02,Shinhan10-11 Prole..,Neo Aztec,Perfective,Win,
+,11-06-29,Shinhan10-11 Prole..,Neo Beltway,Rush,Win,
+,11-06-29,Shinhan10-11 Prole..,Neo Aztec,Snow,Win,
+,11-06-27,Shinhan10-11 Prole..,Alternative,Canata,Win,
+,11-06-21,Shinhan10-11 Prole..,Neo Beltway,Anytime,Win,
+,11-06-19,Shinhan10-11 Prole..,Neo Aztec,Juni,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,JangBi,Loss,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,s2,Loss,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,s2,Loss,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,s2,Win,
+,11-06-17,2011 Summer ODT Pr..,New Bloody Ridge,sHy,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,sHy,Win,
+,11-06-17,2011 Summer ODT Pr..,Gladiator,ChoiSungWon,Win,
+,11-06-17,2011 Summer ODT Pr..,La Mancha,ChoiSungWon,Win,
+,11-06-13,Shinhan10-11 Prole..,Neo Aztec,Kal,Loss,
+,11-06-11,ABC Mart MSL,Circuit Breaker,Flash,Loss,
+,11-06-11,ABC Mart MSL,La Mancha,Flash,Loss,
+,11-06-11,ABC Mart MSL,Monte Cristo,Flash,Loss,
+,11-06-07,Shinhan10-11 Prole..,Neo Aztec,Fantasy,Win,
+,11-05-26,ABC Mart MSL,Monte Cristo,Jaedong,Win,
+,11-05-26,ABC Mart MSL,La Mancha,Jaedong,Win,
+,11-05-26,ABC Mart MSL,Circuit Breaker,Jaedong,Loss,
+,11-05-26,ABC Mart MSL,Dante&#039;s Pea..,Jaedong,Win,
+,11-05-22,Shinhan10-11 Prole..,Circuit Breaker,Last,Win,
+,11-05-21,ABC Mart MSL,Circuit Breaker,Calm,Win,
+,11-05-21,ABC Mart MSL,Dante&#039;s Pea..,Calm,Win,
+,11-05-21,ABC Mart MSL,Monte Cristo,Calm,Loss,
+,11-05-21,ABC Mart MSL,La Mancha,Calm,Win,
+,11-05-17,Shinhan10-11 Prole..,Alternative,ggaemo,Win,
+,11-05-15,Shinhan10-11 Prole..,Neo Aztec,Action,Loss,
+,11-05-12,ABC Mart MSL,Circuit Breaker,Calm,Loss,
+,11-05-09,Shinhan10-11 Prole..,Alternative,Alone,Win,
+,11-05-07,Shinhan10-11 Prole..,New Bloody Ridge,Jaehoon,Loss,
+,11-05-05,ABC Mart MSL,Monte Cristo,hero,Win,
+,11-05-04,Shinhan10-11 Prole..,Neo Aztec,Bisu,Win,
+,11-05-04,Shinhan10-11 Prole..,Alternative,n.Die_soO,Loss,
+,11-05-02,Shinhan10-11 Prole..,Neo Aztec,Brave,Win,
